threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
1,1,22864390060,28882268,145680,1,15747864,29,11.47622,2.673729
1,2,22835633705,28844871,145716,1,15845197,33,11.4663,2.663362
1,3,22764151515,28711501,145694,1,15439240,28,11.43,2.614925
1,4,22875688706,28786843,145777,1,15727438,26,11.48515,2.678452
1,5,22942014805,28577149,145872,1,15736223,29,11.5165,2.682688
1,6,23008914660,28321065,147635,1,15609836,45,11.54958,2.762474
1,7,23046012037,28347178,147445,1,15865543,30,11.5691,2.754304
1,8,22772591744,28233994,131816,0,15552450,35,11.4345,2.614039
1,9,22769427238,28459146,132418,1,15766886,37,11.433,2.610275
1,10,22815157093,29054394,133611,1,15676993,40,11.4563,2.633812
1,11,23031415931,30258939,135964,1,15729251,45,11.5649,2.696961
1,12,23080362124,31687997,140827,1,15788444,29,11.58779,2.770218
1,13,23316796392,32689734,150404,1,15624051,32,11.70638,2.86041
1,14,23704060690,33289611,169593,1,15713881,29,11.9011,2.976423
1,15,24405019402,34264940,208007,1,16370042,47,12.2511,3.215587
1,16,25718415747,39960789,271176,1,18439262,31,12.90845,3.782973
1,17,27182856403,46597074,297034,1,23618599,32,13.64491,4.359196
1,18,26315726477,49230142,232847,1,31798449,34,13.20605,3.877538
2,1,24976309633,28864795,195896,2,15468884,42,10.67777,1.883331
2,2,24921369758,28819657,194713,1,15460087,31,10.66223,1.859101
2,3,24856253185,28642150,188360,2,15557372,31,10.64394,1.848466
2,4,24247253221,28450916,174638,2,15535779,42,10.48416,1.700737
2,5,24051602576,28032559,159464,2,15539071,29,10.44198,1.644515
2,6,23976328925,28049039,147358,2,15433882,36,10.4423,1.602725
2,7,23883893768,28016309,139918,2,15705283,33,10.4061,1.595376
2,8,23748167743,28024821,135832,2,15608109,38,10.37209,1.564538
2,9,23703558752,28079779,133886,2,15607802,44,10.3601,1.554372
2,10,23755310581,28322527,133265,2,15951366,39,10.388,1.555638
2,11,23855460028,29202244,133770,2,15559648,42,10.4318,1.561331
2,12,23910742217,30850017,135617,2,16087130,42,10.4242,1.59032
2,13,24055788000,32827904,139592,2,15626778,30,10.4619,1.629359
2,14,24387162158,33613175,147787,2,15815568,33,10.57351,1.690301
2,15,24810460769,34670371,164263,2,16113833,32,10.727,1.750371
2,16,25101345977,37113221,164755,2,17908347,33,10.8652,1.7615
2,17,27291978521,46080635,266157,2,24256040,33,11.538,2.247184
2,18,29652623457,55729406,298535,2,32612076,38,12.13461,2.777362
4,1,29633705835,29047202,322512,5,15747848,42,10.3565,1.537805
4,2,27332824574,28985695,315248,4,15610727,35,10.03461,1.244462
4,3,26961752415,28646336,282834,4,15914426,42,9.9938,1.193886
4,4,25536366003,28319574,238247,4,16031708,48,9.80484,1.018668
4,5,25097550464,28006353,197744,4,15745798,37,9.76174,0.960427
4,6,24728728659,27977532,170453,4,15686698,49,9.7218,0.911616
4,7,24536439861,28077647,152738,4,15497883,38,9.6903,0.885381
4,8,24274326389,27949222,142962,3,15883400,41,9.65376,0.857311
4,9,24252530830,27973855,137696,4,16035351,44,9.6796,0.845796
4,10,24182435681,28188170,135067,4,15663678,46,9.66001,0.842297
4,11,24378659407,28821318,134643,4,15754921,55,9.75511,0.84797
4,12,24274794423,30331841,136125,4,16037674,39,9.6749,0.849373
4,13,24474222375,32031240,139853,4,15841362,41,9.73,0.86695
4,14,24739210186,34023972,147917,4,16060651,41,9.78397,0.893796
4,15,24912753246,35789658,164336,4,15984511,32,9.85403,0.89904
4,16,25712702613,37969984,164771,4,18041778,40,10.0801,0.959722
4,17,25750991943,42751123,165520,4,22933137,36,10.2054,0.922703
4,18,27995810511,50300002,167158,4,31907024,47,10.5521,1.186892
8,1,41780797342,29115478,565967,8,16428612,55,10.3432,1.545661
8,2,35141757828,28982296,524791,8,16282467,67,9.90539,1.11811
8,3,33656421035,28570811,410333,8,15712230,52,9.81391,1.021781
8,4,28519860546,28178918,330754,8,15838739,46,9.4963,0.701512
8,5,27083931725,28089354,257125,8,15632260,50,9.432,0.607752
8,6,25762696737,28028426,208156,8,15722992,46,9.32128,0.527756
8,7,25204323519,28005042,175586,8,15651429,52,9.3086,0.490434
8,8,24724911533,28039125,155635,8,15802537,50,9.2702,0.460728
8,9,24536589690,28081820,144405,9,15548648,54,9.2696,0.448169
8,10,24500594684,28206429,138662,8,15749945,57,9.2889,0.450296
8,11,24491892659,28828280,136320,8,15573448,58,9.28508,0.449183
8,12,24490303208,30264733,137069,9,15590014,46,9.2672,0.442594
8,13,24653400460,31531208,140339,8,15613139,49,9.3197,0.447543
8,14,24868414729,33040790,148164,9,15686531,50,9.3769,0.458507
8,15,25346633196,35406155,164477,8,16323399,57,9.4978,0.474987
8,16,25357595737,37819773,164815,9,17785539,49,9.63173,0.456455
8,17,25506298884,41587205,165528,8,22930273,46,9.7201,0.455307
8,18,28139725563,48936339,167063,8,31909267,51,9.9732,0.609444
16,1,57532501600,29340741,990342,15,25056865,155,10.0854,1.276773
16,2,45869724146,29161709,838187,16,20477904,111,9.7111,0.903232
16,3,41969492976,28554449,615836,16,19881688,87,9.57095,0.780888
16,4,35979054642,28175852,466261,18,18141021,86,9.3965,0.589751
16,5,32417115044,28179860,347741,15,16863356,87,9.2745,0.477859
16,6,29772353316,28150956,268074,17,16421153,74,9.2396,0.391358
16,7,28197240542,28131708,212462,17,16142682,75,9.15996,0.344803
