threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
32,1,34802141406,65713744,131304,2,15682763,110,12.4698,0.194718
32,2,36995466547,79338030,170123,2,15613330,108,12.648,0.263303
32,3,33854468818,65479876,131399,2,15543709,113,12.4525,0.203797
32,4,31065464527,56425895,131528,1,15603499,94,12.37396,0.135008
32,5,28426685519,35915452,131790,1,15729982,92,12.31468,0.076674
32,6,28400346289,34878872,132324,1,15556503,84,12.35496,0.073196
32,7,28462119911,35615661,135385,1,15601783,85,12.33147,0.073894
32,8,28589709469,36376623,139525,1,15593317,74,12.34031,0.075508
32,9,28974467683,37067351,147771,1,15689676,85,12.4888,0.07678
32,10,29127565762,37382283,163130,2,15920755,86,12.5185,0.078343
32,11,29294386624,38030636,164682,1,15835520,104,12.6736,0.077929
32,12,29478497306,38664043,165320,1,15658886,91,12.811894,0.079426
32,13,30391066923,41020863,166707,1,15722085,95,12.9668,0.09102
32,14,32573167799,46990653,170328,4,15842650,134,13.25782,0.122362
32,15,36761699392,58865964,182920,3,17178543,210,13.7953,0.180157
32,16,43215169012,75280733,209933,5,21968371,16090,14.839,0.262679
32,17,47962044991,89970043,251525,5,27123814,520,16.63377,0.287324
32,18,59249579053,109076868,313336,7,32457268,356,20.4074,0.334859
16,1,27827587498,34013266,131255,0,15427781,43,12.3378,0.121037
16,2,30716660375,57708841,131272,0,15490164,47,12.4981,0.25903
16,3,31560040154,58687989,131303,1,15449585,48,12.54455,0.324091
16,4,31203411813,60008826,131373,0,15437867,52,12.5153,0.248621
16,5,28643205942,47879367,131496,0,15479248,51,12.3952,0.158087
16,6,28005123016,33904912,131755,1,15524048,44,12.35847,0.124431
16,7,28030155139,34120337,132268,0,15399857,56,12.39674,0.121883
16,8,27995294810,35145309,135360,0,15447468,35,12.37734,0.121755
16,9,28025950898,36004941,139478,0,15417463,38,12.38229,0.122937
16,10,28138282171,36674699,147683,0,15451753,46,12.424351,0.1238
16,11,28393713968,37402767,163121,0,15698530,38,12.537,0.125196
16,12,28609354541,37832189,164647,0,15636171,40,12.699,0.136413
16,13,28822138101,38423256,165353,0,15608966,46,12.872,0.136456
16,14,29259676008,40583339,166705,0,15615138,43,13.0019,0.130883
16,15,30436733378,46604506,170260,1,15750297,59,13.2698,0.158262
16,16,33055807125,58743328,182354,1,17135951,66,13.8367,0.255883
16,17,37108073729,74595651,208871,3,21461821,5782,14.85216,0.298326
16,18,41963994031,90147883,246327,2,26840774,72,16.7411,0.356619
8,1,28397046730,35233755,196790,2,15547363,38,12.759,0.226335
8,2,29814727008,50238644,131238,1,15395141,38,12.62546,0.413471
8,3,29207216342,51452690,131253,0,15418306,41,12.604272,0.358123
8,4,30584672672,60831457,131286,0,15466457,38,12.7192,0.427905
8,5,28735037212,48678366,131358,0,15431873,38,12.5669,0.303005
8,6,28043507070,33419796,131473,0,15644994,47,12.5086,0.237175
8,7,27928027971,33317476,131743,1,15516060,45,12.482672,0.232411
8,8,27973085827,34040569,132274,0,15404131,45,12.50764,0.230717
8,9,27976814014,34977797,135330,1,15415523,39,12.5223,0.231507
8,10,28104342822,35953331,139480,0,15451526,46,12.5554,0.233528
8,11,28185071508,36730117,147727,0,15550045,40,12.56084,0.237409
8,12,28396849745,37485041,163164,0,15630367,40,12.652402,0.243536
8,13,28574910111,37959509,164687,1,15644113,39,12.8033,0.239317
8,14,28838780223,39072852,165374,0,15607625,38,12.98437,0.245057
