threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
1,1,20972984769,28461174,131209,1,15546939,32,10.5341,1.678438
1,2,20909731655,28548657,131211,1,15391231,36,10.50029,1.67967
1,3,20898989469,28490470,131216,1,15394736,27,10.48958,1.678923
1,4,20894002086,28476737,131224,2,15396680,29,10.4886,1.674408
1,5,20919981435,28494547,131240,1,15399099,32,10.5056,1.683088
1,6,21011513799,28058670,131272,1,15418351,33,10.55118,1.730084
1,7,20970013561,28102053,131336,1,15442970,36,10.53061,1.714317
1,8,20960792507,28056925,131464,1,15459213,41,10.5217,1.686252
1,9,21017039579,28412954,131723,1,15513778,38,10.5544,1.694184
1,10,21028102244,29021490,132242,1,15596523,41,10.56006,1.706799
1,11,21127822142,30060415,133278,1,15571655,47,10.61126,1.72952
1,12,21163599397,31588887,135334,1,15572690,27,10.62248,1.79757
1,13,21392392211,32456114,139497,1,15653906,28,10.7418,1.877346
1,14,21638730956,32983531,147786,0,15653222,35,10.8604,1.952474
1,15,22336336853,34015460,207994,1,16037263,39,11.20966,2.142701
1,16,23263695650,37998205,256185,1,17247949,41,11.6755,2.465988
1,17,24521351756,45305952,297523,1,20799028,35,12.3107,2.961664
1,18,25465536907,52306970,299419,1,25562269,44,12.7844,3.298825
2,1,21896615331,28499722,131211,2,15370885,29,9.9588,1.111098
2,2,21149653459,28526276,131214,2,15371473,34,9.7533,0.921118
2,3,20923191005,28523551,131217,2,15378039,38,9.66766,0.849201
2,4,20930842990,28550547,131226,2,15538978,37,9.673478,0.848861
2,5,20941106937,28330968,131241,2,15568000,38,9.6755,0.854129
2,6,21047086748,28052520,131275,2,15406148,39,9.707217,0.872842
2,7,21061562463,28165318,131341,2,15435791,43,9.7224,0.864916
2,8,21051877740,28345193,131470,2,15501273,47,9.7268,0.854256
2,9,21071183190,29047119,131731,2,15556762,49,9.7355,0.860362
2,10,21114718393,29992462,132254,2,15463984,44,9.74945,0.870111
2,11,21129987224,30970031,135338,3,15827674,27,9.7378,0.88397
2,12,21446683609,32204493,139453,2,15586195,39,9.85283,0.923646
2,13,21538022409,32733551,147717,2,15618191,42,9.88322,0.963558
2,14,21745711827,33378799,163536,2,15849230,36,9.9666,0.974558
2,15,22064747844,34940861,164813,2,15849107,45,10.1339,0.959039
2,16,23185243220,38681863,165644,3,16725164,33,10.5211,1.144224
2,17,24191485473,45407177,167308,1,20359056,36,10.806849,1.358617
2,18,24382162498,55951957,170639,2,25150516,44,11.0116,1.255095
4,1,22198604771,28559514,131218,4,15366401,43,9.4899,0.626931
4,2,21218325281,28528040,131221,4,15384944,39,9.3454,0.502364
4,3,21294015354,28559018,131230,4,15444120,41,9.3311,0.475788
4,4,21632202840,28531222,131245,6,15487758,40,9.3808,0.516987
4,5,21346029377,28378173,131276,4,15578016,44,9.32075,0.493064
4,6,21198109738,28051324,131340,5,15544365,38,9.369,0.439534
4,7,21050467731,28347369,131485,4,15567893,43,9.3009,0.437438
4,8,21032485881,29065899,131729,4,15548172,49,9.29787,0.43654
4,9,21092103552,29977261,132258,4,15457254,58,9.30841,0.439356
4,10,21147538486,31005987,135329,4,15425259,42,9.30981,0.447098
4,11,21206527896,31725230,139457,3,15551476,43,9.32853,0.454092
4,12,21557186444,32461048,147678,4,15589074,45,9.4585,0.47007
4,13,21668203707,32943400,163269,4,15630971,46,9.49124,0.483113
4,14,21936116923,34076346,164723,4,15670279,35,9.6346,0.473361
4,15,23620136868,37363437,165461,5,15708879,37,10.287,0.537888
