threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
32,1,111659975891,100994130,1345743,2,22336197,620,10.3667,1.501296
32,2,82314078023,87593230,1079922,1,19757648,489,9.8944,1.042816
32,3,75710337315,70034608,720071,2,18835531,377,9.77386,0.934837
32,4,60789911588,56242296,511486,2,17616851,277,9.5491,0.695758
32,5,51914608589,81086089,364983,1,16804223,239,9.39538,0.55505
32,6,43805717422,92952927,283170,2,16455468,174,9.2694,0.422157
32,7,38391586740,93617834,227647,1,16300576,156,9.18255,0.336944
32,8,33659261901,70776756,192442,2,16118180,125,9.1048,0.267331
32,9,31363293105,59570776,166808,2,16024284,141,9.06855,0.232925
32,10,30834071399,52400262,177000,4,16278373,134,9.196,0.222772
32,11,30475769319,45975217,142527,1,16136295,125,9.10318,0.224323
32,12,30595688319,45748969,140460,2,16041826,136,9.07886,0.218498
32,13,30931878030,46456330,142042,1,16316701,98,9.1216,0.220747
32,14,31266428712,47163582,148979,1,16486968,131,9.15006,0.230564
32,15,31672843923,48166032,164896,1,18575553,105,9.2575,0.228755
32,16,31740797096,49252771,164964,1,23885438,127,9.3972,0.231467
32,17,31960652724,50642641,165578,1,32017870,116,9.5736,0.23502
32,18,32751191994,53758766,167113,1,39317393,124,9.6325,0.248213
16,1,77194482252,97178931,812781,5,16608790,76,10.7472,1.902618
16,2,57755179556,91378591,672963,1,16268470,52,10.1091,1.278687
16,3,55166006151,87793831,433420,2,15759729,45,10.04307,1.198024
16,4,42768567447,61106028,349460,1,15681166,47,9.63377,0.803088
16,5,37839398701,82184145,273713,0,15617165,38,9.482,0.646554
16,6,33148556632,91451086,226159,1,15675578,43,9.35565,0.512257
16,7,30509003036,89667461,190368,1,15597232,42,9.26446,0.421443
16,8,28332070493,69154849,167314,1,15840979,36,9.2185,0.354796
16,9,27608708208,59701267,151651,1,15594408,46,9.307,0.321251
16,10,26870561301,51949885,142732,0,15673413,44,9.16708,0.308936
16,11,26949264956,45779779,138317,1,15634260,49,9.21998,0.327389
16,12,26887813526,45702328,138193,2,15634376,31,9.18446,0.312015
16,13,27248521183,46515677,140894,1,15655124,35,9.2762,0.327538
16,14,27282838662,47265696,148467,0,15728133,42,9.25551,0.315317
16,15,27579283040,48065498,164604,1,16061735,36,9.3522,0.326142
16,16,27626998719,49285773,164864,0,17800655,39,9.4783,0.311479
16,17,27752006820,50759302,165545,0,23003780,35,9.62235,0.315178
16,18,28298694857,54004661,167080,0,31753095,34,9.71929,0.3262
8,1,52654793539,100467246,554758,4,16068830,58,11.1032,2.237924
8,2,41723570254,96163329,491967,1,15918710,42,10.38883,1.535794
8,3,39837890809,98359454,361368,1,15770377,42,10.263,1.423143
8,4,33494324534,70833206,290274,0,15603951,40,9.8676,1.01063
8,5,31453966953,87152783,228402,1,15591058,30,9.72745,0.879474
8,6,29519076682,90792795,189621,0,15557932,36,9.61228,0.760019
8,7,28598015938,88195807,164201,0,15643725,40,9.5738,0.700299
8,8,27637637183,69997902,176280,2,15642077,36,9.621,0.63035
8,9,26837860262,58551454,141590,0,15565823,40,9.46141,0.598871
8,10,26668682754,52157699,137281,0,15645403,44,9.4704,0.590126
8,11,26719904080,45833878,135681,0,15661719,49,9.4982,0.592756
8,12,26743876188,45643291,136751,0,15669820,34,9.48143,0.59001
8,13,26888718740,46451595,140121,0,15679926,32,9.48686,0.600526
8,14,27184048141,47491760,148055,1,15685466,34,9.55031,0.608061
8,15,27517769250,48877584,164413,0,16052650,38,9.6748,0.619181
8,16,27521201197,50046795,164804,0,17660819,33,9.7782,0.606646
8,17,27727336532,51723225,165528,1,23198054,36,9.91957,0.609202
8,18,28300725206,55861057,167064,0,31694497,40,10.03625,0.638295
4,1,38055289294,100099374,335323,2,15826970,43,11.4493,2.59411
4,2,31532170904,87080288,307032,2,15687137,33,10.6421,1.78329
4,3,30938615481,91139187,265321,0,15663324,35,10.5653,1.710539
4,4,28782407248,77084465,230848,1,15592801,26,10.3098,1.425024
4,5,28233767419,75892914,184570,0,15486954,31,10.2107,1.365631
4,6,27861002854,84497631,161341,0,15554611,31,10.15501,1.306013
4,7,27627332292,84743649,147294,0,15510314,36,10.13411,1.272989
