threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
16,1,57857346460,30993010,1047709,17,19902845,146,10.307,1.27204
16,2,45978728431,28994776,838950,17,19099855,117,9.6962,0.906974
16,3,42050136282,28416468,614702,17,17613184,95,9.58918,0.782866
16,4,36004869025,28228448,467061,17,16914463,79,9.3887,0.590835
16,5,32492684645,28230641,346285,17,16562002,82,9.28158,0.480209
16,6,29709229595,28155756,267141,17,16231499,72,9.19996,0.392091
16,7,28244504697,28107099,212068,17,16159163,79,9.17011,0.346315
16,8,27054678598,28070575,177197,18,15908365,74,9.09885,0.310188
16,9,26647099535,28009309,156745,17,15940304,82,9.15653,0.293853
16,10,26409110742,28155425,144906,18,16055486,91,9.1163,0.290939
16,11,26538978452,29093821,139451,16,16051384,85,9.15488,0.298326
16,12,26709637859,30484899,138701,16,16163056,72,9.11644,0.298887
16,13,27069486093,31647126,141131,18,16090169,77,9.1536,0.30693
16,14,27569119047,33227456,148549,18,16407781,98,9.2559,0.320839
16,15,28166089975,36056661,164657,17,18552194,65,9.30026,0.334918
16,16,28952241330,38941640,164862,16,23844174,74,9.4827,0.349847
16,17,30137969851,42467449,165545,16,31783403,70,9.6509,0.381272
16,18,30971523416,49218712,167083,16,39304685,80,9.7672,0.398274
8,1,41884035172,29278894,565914,9,16224584,62,10.33953,1.550322
8,2,35176893302,29105119,524486,8,16203596,56,9.91463,1.118811
8,3,33644363502,28625183,411027,8,15872021,60,9.82162,1.022135
8,4,28551221800,28161856,331162,8,15680115,52,9.51294,0.701604
8,5,27024273897,28035230,256393,8,15558346,46,9.3943,0.607707
8,6,25785547838,28029177,207803,9,15534492,50,9.33369,0.531298
8,7,25187151492,28060321,175353,8,15539779,60,9.2991,0.489745
8,8,24681281090,28043248,155544,8,15526922,56,9.24976,0.460659
8,9,24524814871,28075741,144404,10,15545469,52,9.26218,0.448628
8,10,24532205319,28267259,138532,9,15624907,62,9.3071,0.445513
8,11,24515179797,28785801,136328,8,15575675,62,9.30428,0.452812
8,12,24456918926,30178790,137069,8,15611695,47,9.25008,0.442895
8,13,24589346795,31490406,140346,9,15607098,51,9.29131,0.448338
8,14,24792853170,33024354,148157,9,15719227,44,9.34612,0.457985
8,15,25108604223,35421633,164453,9,15999443,48,9.4494,0.466148
8,16,25245917269,37803116,164808,9,17636156,53,9.58511,0.45622
8,17,26682477995,41780551,165527,8,22972687,52,9.79305,0.533233
8,18,26326222750,48741389,167064,8,31644134,46,9.8652,0.493172
4,1,29627305829,29205988,322933,4,16048824,49,10.3645,1.533884
4,2,27141307767,28895568,315873,4,15733142,40,10.0045,1.215607
4,3,26720902322,28618425,283096,4,15619195,43,9.94621,1.168874
4,4,25493400105,28328000,237985,4,15586779,41,9.8096,1.008713
4,5,25030482697,27874078,197962,4,15507237,38,9.74176,0.954819
4,6,24693634967,27933526,170363,4,15655086,39,9.7084,0.907318
4,7,24543921835,28313961,159566,4,15536857,39,9.704,0.885227
4,8,24225259798,27978074,142760,4,15496840,41,9.63459,0.85557
4,9,24191656754,28001149,137528,4,15513255,41,9.6529,0.844387
4,10,24143633695,28177055,135110,4,15596271,41,9.64458,0.843278
4,11,24223103416,28822428,134645,5,15571534,51,9.68295,0.847261
4,12,24277518876,30495861,136109,4,15591003,37,9.68114,0.847942
4,13,24698673033,32087832,139856,4,15648268,35,9.854,0.86345
4,14,24753556148,34154819,147913,5,15677495,42,9.81812,0.881824
4,15,24949571063,35765237,164332,4,15984833,41,9.8755,0.898883
4,16,25084670944,38042948,164777,4,17705885,41,9.988,0.883566
4,17,25729471707,42767539,166902,5,22941818,40,10.1994,0.922984
4,18,26332580909,50073377,167055,4,31600817,40,10.3424,0.977873
2,1,24950691040,28783717,195804,3,15520864,35,10.66278,1.884447
2,2,24865702164,28740939,194620,3,15523203,44,10.63453,1.860129
2,3,24766032134,28608245,188269,2,15521446,34,10.60858,1.836693
2,4,24237760842,28458887,174530,2,15455932,43,10.47614,1.699602
2,5,24004329343,28026159,159206,2,15498846,36,10.4183,1.648215
2,6,23861728311,28046190,147302,2,15460479,39,10.38791,1.606225
2,7,23864343357,28264961,139800,2,15489124,33,10.4029,1.597028
2,8,23723738159,28269800,135751,2,15482734,30,10.36137,1.564121
2,9,23644416962,28061863,133828,3,15502092,47,10.33226,1.548449
2,10,23747102929,28538717,133277,2,15620701,52,10.3835,1.555397
2,11,23789532684,29106928,133742,3,15558080,60,10.4024,1.561651
2,12,23836228332,30815197,135612,2,15672928,37,10.401,1.579786
2,13,24102714993,32713510,139598,2,15629282,35,10.4765,1.631982
2,14,24297623223,33591235,147791,2,15735163,37,10.53993,1.673784
2,15,24542514888,34692225,164268,2,16135679,37,10.64685,1.70022
2,16,25332414977,37291629,164755,2,17650339,35,10.92392,1.816709
