threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
1,1,21117106410,28565627,131208,1,15372997,28,10.5999,1.734042
1,2,21108139546,28504811,131211,1,15391486,23,10.5995,1.73476
1,3,21151185943,28773370,131216,0,15354977,31,10.6219,1.737378
1,4,21150140845,28732968,131223,0,15366880,27,10.6156,1.742479
1,5,21188360001,28517751,131239,0,15402412,28,10.6395,1.739996
1,6,21186296059,27973699,131271,0,15387933,29,10.63361,1.768803
1,7,21155307672,27986916,131335,1,15439383,29,10.62314,1.763069
1,8,21154898184,28115548,131465,0,15596091,41,10.62396,1.749458
1,9,21213604669,28288983,131722,0,15520342,31,10.6527,1.743634
1,10,21173062190,28874811,132238,1,15691657,32,10.63144,1.750106
1,11,21399756846,30063757,133267,0,15570227,51,10.7469,1.779664
1,12,21350822636,31481116,135328,0,15501788,24,10.72,1.828632
1,13,21584269066,32372845,139448,0,15589397,31,10.8383,1.899899
1,14,21827667749,32945758,147689,0,15628653,29,10.9601,1.984865
1,15,22290538355,33838812,207774,0,15943053,29,11.19074,2.102707
1,16,22645072190,35559029,226322,0,17047301,30,11.3703,2.109903
1,17,22965096409,39491569,230996,0,20556420,31,11.5297,2.166334
1,18,23532135170,46215239,232220,1,25285673,34,11.8149,2.424036
2,1,25719267291,65454631,132143,0,15365944,41,10.932026,2.043899
2,2,23226057609,47250485,131213,0,15359859,32,10.2903,1.419154
2,3,21780470423,33577951,131218,0,15380596,34,9.9265,1.05137
2,4,21557880365,31101212,131227,0,15367008,33,9.9044,0.947251
2,5,21318197612,29717796,131241,0,15380660,26,9.80696,0.928683
2,6,21302737794,28380958,131273,0,15453499,29,9.8033,0.91667
2,7,21283238924,28285492,131338,0,15458025,38,9.8036,0.901537
2,8,21218755880,28386856,131468,0,15496830,37,9.780321,0.889027
2,9,21216360533,28626433,131728,0,15552144,34,9.78005,0.890271
2,10,21268765207,29130788,132251,0,15454675,38,9.8061,0.889139
2,11,21379647763,30409644,133301,1,15557898,46,9.84379,0.905647
2,12,21442994438,31720586,139450,0,15535932,27,9.856223,0.932554
2,13,21658099690,32735784,147684,0,15614540,32,9.92638,0.975859
2,14,22105953560,33602455,164145,0,15654513,29,10.0997,1.030413
2,15,22544762720,34285024,197175,0,15907690,28,10.3025,1.102173
2,16,23501040860,36931094,261647,0,17313419,35,10.739196,1.205962
2,17,23982879839,40551021,264844,0,20629649,36,11.03717,1.207339
2,18,25244783047,48166086,333194,0,25521093,40,11.3789,1.398227
4,1,23932463568,49371887,131219,0,15334586,35,9.7475,0.873161
4,2,21757740283,33577072,131223,0,15388616,44,9.51144,0.631779
4,3,21554325558,33215160,131230,1,15436330,33,9.4185,0.519112
4,4,21778932507,39931354,131244,0,15401923,34,9.41629,0.535976
4,5,21546712993,36671873,131281,0,15440777,36,9.376311,0.502254
4,6,21276429052,28327321,131340,0,15632834,38,9.35114,0.464872
4,7,21217648248,28357455,131475,0,15478779,36,9.32588,0.456616
4,8,21233906288,28666129,131728,0,15575383,38,9.3462,0.452074
4,9,21347108837,29328689,132259,0,15498796,52,9.4039,0.452337
4,10,21374425617,30227232,133293,0,15509121,57,9.41203,0.453842
4,11,21548261887,31664864,135408,2,15537216,58,9.47918,0.465867
4,12,21666779749,32375034,147671,0,15580372,33,9.4848,0.480818
4,13,21907595965,33040899,164185,1,15693224,41,9.56978,0.502109
4,14,22453588918,34196784,197148,0,15734705,41,9.75017,0.537834
4,15,23484491760,36870332,263071,1,16033538,38,10.13719,0.599942
4,16,25236367060,42736454,394910,1,17602706,38,10.8582,0.682533
4,17,26629844553,50040923,464017,0,21069642,64,11.5338,0.712313
4,18,28117949735,61711470,469138,0,25880149,48,11.9835,0.852921
8,1,21117818185,28937057,131229,0,15392151,36,9.0986,0.227734
8,2,22730732567,44005863,131237,0,15459147,35,9.2814,0.377248
8,3,22152734028,41128652,131251,1,15400812,35,9.2224,0.310418
8,4,21848203892,40717330,131286,0,15440718,37,9.1919,0.292315
8,5,21783612370,42105636,131355,1,15677937,51,9.1766,0.297042
8,6,21301638501,28801122,131468,1,15494322,37,9.1469,0.240061
8,7,21281436391,28800273,131750,0,15557534,47,9.1547,0.235385
8,8,21283752519,29434162,132279,1,15560465,47,9.1436,0.233559
8,9,21416545181,30382474,133262,0,15567612,53,9.20403,0.233389
8,10,21503704120,31338498,135391,2,15556188,72,9.24663,0.234741
8,11,21849280619,32823397,139591,2,15841600,75,9.3862,0.245989
8,12,21816114437,33005208,164189,0,15665978,39,9.3193,0.249823
8,13,23105986977,34247839,197138,1,15744113,35,9.886,0.265443
8,14,23511904667,37038337,263042,0,15937571,40,9.9036,0.303167
8,15,25353628604,43405358,394879,0,16539527,34,10.55655,0.357255
8,16,28694145312,54352814,658587,1,18169104,51,11.8845,0.424718
8,17,31791539513,66537329,862366,0,21984644,89,13.3369,0.44704
8,18,33443827330,77075681,872605,0,27211825,69,13.91405,0.492433
16,1,21229804172,29315325,131255,0,15369203,39,9.0161,0.122761
16,2,23731732360,51231557,131271,0,15399708,32,9.1287,0.235563
16,3,23385865231,38796496,131308,2,15606188,51,9.458,0.200088
16,4,21975677799,39087963,131376,0,15443237,39,9.0491,0.174953
16,5,21851078696,40139834,131495,1,15487105,32,9.03933,0.159405
16,6,21334334190,29102083,131759,0,15537004,46,9.01598,0.125801
16,7,21398696625,29654969,132292,1,15444350,52,9.05917,0.123114
16,8,21474284872,30696596,133318,0,15711101,60,9.1025,0.122568
16,9,21607828878,31477834,135416,0,15660355,67,9.1642,0.123221
16,10,21803230957,32363795,139651,2,15807592,81,9.2386,0.12638
16,11,22715935257,33696704,148001,2,15732779,106,9.4854,0.155713
16,12,22371319917,33577451,197151,1,15679816,44,9.4206,0.138782
16,13,23326875166,35774487,263087,0,15980795,39,9.74651,0.147367
16,14,25548263945,43517719,394986,0,16170663,44,10.40379,0.188885
16,15,29226288854,54348610,658604,0,16950598,36,11.733805,0.233081
16,16,35661226370,70560605,1185988,0,19417438,65,14.3355,0.284847
16,17,41479611383,83965162,1659062,1,24148332,156,17.09941,0.296115
16,18,44202095939,93968135,1679549,1,28484553,89,18.392,0.310274
32,1,27726071220,59663966,131303,2,15630460,109,9.0770705,0.189686
32,2,29481396035,75043311,131339,2,15578081,94,9.12913,0.263418
32,3,25821672030,59457598,131402,2,15633612,88,9.0707,0.167173
32,4,23724874813,50417874,131529,2,15697870,86,9.02319,0.123553
32,5,21774915525,31962042,131789,2,15802552,79,8.95623,0.079623
32,6,21737322987,30169165,132316,2,15790181,89,9.0052,0.074558
32,7,22031562415,31353117,133354,2,15804662,92,9.0853,0.074762
32,8,22104284716,32123249,135444,2,16239769,93,9.09161,0.075091
32,9,22482907821,32716872,139597,3,16167488,118,9.2096,0.078231
32,10,23482160027,33725224,148050,4,16503812,87,9.4492,0.089557
32,11,26394659146,35864329,164937,3,16043929,146,9.9317,0.131331
32,12,24694367692,36556929,263157,2,16524910,81,9.7537,0.100535
32,13,28602826430,46857951,394956,1,16745691,121,10.47944,0.153674
32,14,34230228999,60723512,658730,1,17911456,114,11.8198,0.210173
32,15,42497789094,76817021,1185969,1,19900161,131,14.45471,0.267186
32,16,54589812378,93307597,2240664,2,26594403,174,19.5028,0.304585
32,17,66179380389,110951917,3252455,1,31835208,370,25.0345,0.31397
32,18,72232257035,126794494,3293414,3,35659489,267,27.686,0.328105
