threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
1,1,21347042903,28685170,131210,1,15346625,18,10.712,1.748426
1,2,21355041892,28958078,131212,0,15359793,17,10.71469,1.749888
1,3,20905846600,28984477,131216,1,15400054,18,10.492,1.749202
1,4,21395531160,29108806,131224,1,15395529,19,10.73712,1.74955
1,5,21508684684,28797598,131240,2,15392019,20,10.7924,1.751105
1,6,21670532206,28440585,151046,3,15504385,19,10.8745,1.785067
1,7,22051255583,29258987,157553,3,15566780,23,11.065,1.781878
1,8,22537853950,28445072,131475,1,15470283,23,11.314,1.767471
1,9,21924042891,28780337,131729,2,15490050,25,11.005,1.765628
1,10,21588867036,29429529,132242,2,15569251,24,10.835,1.774475
1,11,21711828210,30923703,146611,3,15567166,29,10.8968,1.809094
1,12,23415928495,32321998,138629,2,15590047,19,11.747,2.049538
1,13,27920496243,34540715,197955,3,15891851,28,13.998,2.608633
1,14,28108303095,34772856,226370,2,16108053,25,14.091,2.93116
1,15,28841365535,35704434,229258,2,16235551,26,14.4579,3.114263
1,16,30409860721,40764496,289241,2,17902604,27,15.245,3.977015
1,17,33051029294,47667973,349250,2,21811214,318,17.72,5.452423
1,18,37143580062,56661764,379894,209,26605820,4124,34.95,10.21456
2,1,31385915104,33671536,324213,210,16383649,3429,26.99,2.406823
2,2,22236273401,29385058,167852,31,15659505,340,11.51,0.93907
2,3,21236928294,28177948,131217,2,15362972,24,9.79495,0.882514
2,4,21264052113,28252435,131226,2,15356387,27,9.80191,0.884713
2,5,21271002472,28230902,131242,2,15365141,27,9.80474,0.88579
2,6,21309897022,27777108,131276,2,15353780,29,9.81391,0.897487
2,7,21313328596,27884935,131340,2,15656590,29,9.81824,0.894447
2,8,21291545869,28077721,131470,2,15404218,31,9.81417,0.887972
2,9,21305624110,28679576,131730,2,15448610,34,9.81975,0.887743
2,10,21432818772,29667739,132259,2,15385013,40,9.8801,0.892061
2,11,21407274110,30804098,135349,2,15494990,29,9.85072,0.908935
2,12,21536911042,31981453,139463,2,15492799,26,9.89625,0.930725
2,13,21702441889,32511200,147746,2,15516751,29,9.95697,0.954627
2,14,22024976667,33199107,163507,2,15618794,35,10.0897,0.981935
2,15,22266181712,34868916,164812,2,15742732,224,11.008,1.761661
2,16,23809067850,39211763,247658,1,17007860,354,12.16,2.607837
2,17,24851402351,44922005,249219,3,20888328,406,12.7057,2.968852
2,18,26018032450,53448609,251948,1,25376209,444,13.2718,3.374267
4,1,21967220423,28654416,131218,4,15335320,152,9.98933,1.038507
4,2,21519870239,28792292,131222,3,15334385,138,9.8579,0.909145
4,3,21568259950,29134752,131230,4,15337853,140,9.88728,0.922628
4,4,21685483624,29132472,131245,4,15340150,143,9.88335,0.937054
4,5,21738890443,29267759,131280,5,15405176,148,9.9457,0.938168
4,6,21524139181,28288139,131342,4,15355053,378,9.90663,0.900445
4,7,21474277848,28470624,131471,3,15416091,266,9.88296,0.888271
4,8,21482078564,29041371,131739,4,15497065,262,9.89546,0.883906
4,9,21540155276,29804636,132254,4,15599907,261,9.91813,0.892607
4,10,21545825446,30882296,135348,4,15390559,247,9.91925,0.90788
4,11,21668714867,32086996,139454,3,15478765,254,9.96335,0.924613
4,12,21886413137,33360444,147686,4,15525664,258,10.05024,0.950454
4,13,22369505110,33693692,163298,4,15579331,511,10.2696,0.979734
4,14,22153765971,34365963,164723,5,15631900,416,10.203,0.934491
4,15,23630672600,37448121,182072,5,15702886,443,10.802,1.09807
4,16,24998105047,42932846,166945,5,16788608,501,11.375,1.252124
4,17,25294104651,51827087,170014,5,20496184,504,11.512,1.284853
4,18,26473396693,65884512,213012,8,25601920,547,11.964,1.400237
8,1,21637120228,29023715,131230,8,15435221,250,9.5467,0.441315
8,2,21909462713,29329823,147884,10,15442175,281,9.5806,0.502746
8,3,25292994128,29083522,131256,7,15548695,461,11.305,0.461873
8,4,25081075978,28931763,131285,8,15567126,421,11.1309,0.472434
8,5,25202430815,28732921,131348,9,15612328,426,11.2675,0.460346
8,6,24959724434,28737176,131482,7,15796924,434,11.1637,0.458561
8,7,25003752792,29391154,131733,7,15727947,436,11.1951,0.456356
8,8,25174862675,30489668,132260,7,15650570,418,11.2844,0.452699
8,9,25818435160,32018303,135360,221,15802935,1693,12.34,0.47442
8,10,29221359201,34419530,207450,1829,16112840,4895,21.214,0.547428
8,11,30978491741,36600638,288646,425,16469345,3625,25.455,0.72967
8,12,29952450527,38170229,320239,197,16600131,2745,22.75,0.537437
8,13,21857239610,33287134,164687,8,15697281,49,9.45878,0.228571
8,14,22665586968,35489048,165374,7,15769228,44,9.66708,0.25535
8,15,22761747874,40746319,166758,9,15735557,51,9.77855,0.247273
8,16,25323116318,50256658,169830,8,16815059,57,10.114,0.385148
8,17,25599901738,61763851,178069,8,20667035,54,10.5208,0.346641
8,18,30407309346,74688241,196514,8,26098852,347,11.57975,0.542328
16,1,21819585420,28866230,131255,16,15943493,77,9.072,0.142761
16,2,23960779189,28788738,131272,17,15737906,79,9.16985,0.245493
16,3,23484746473,28856340,131306,16,15846569,80,9.13174,0.210093
16,4,23002691630,28728197,131364,15,15801140,78,9.1439,0.189815
16,5,21913176101,28581410,131495,15,15943243,96,9.0896,0.145405
16,6,21696670644,29221152,131762,16,16152020,79,9.06646,0.133358
16,7,21921359960,30129033,132287,17,15920917,90,9.1508,0.136834
16,8,21911633939,31203906,135353,16,15889940,77,9.07986,0.13917
