threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
16,1,17268031993,55683931,80719,0,16620549,0,5.33112,0.730854
16,2,15646600009,50805032,78413,0,16646276,0,5.17884,0.561723
16,3,15619488802,50215727,70891,0,16636011,0,5.16648,0.56381
16,4,14567280544,52173865,63037,0,16914781,0,5.06653,0.45059
16,5,14433695350,53580493,55045,0,17783641,0,5.072,0.437552
16,6,14378762313,54344167,48198,0,22721776,0,5.037,0.434341
16,7,14717548826,54859370,42043,0,27958307,0,5.08746,0.467158
16,8,15215675626,55784861,37982,0,30668464,0,5.13203,0.518947
16,9,15520430789,57360188,35790,0,32050424,0,5.17217,0.558054
16,10,15785201532,61124626,35021,0,32777574,0,5.22451,0.590344
16,11,16321119372,65889192,35370,0,33161866,0,5.30014,0.656675
16,12,15638867943,70950532,37220,0,33936925,0,5.20618,0.543704
16,13,15820085928,74200798,41205,0,36530681,0,5.26262,0.562074
16,14,16201866435,76244919,41140,0,43375237,0,5.37855,0.602728
16,15,17255614956,77668071,41156,0,51508812,0,5.56655,0.707828
16,16,19318754881,78609292,41252,0,58156731,0,5.79367,0.921882
16,17,21314181215,79100891,41444,0,62225332,0,6.01668,1.128149
16,18,23004193221,79821805,41828,0,64540018,0,6.24589,1.298001
8,1,17232330236,55536848,80171,0,16641161,0,5.33776,0.730969
8,2,15607470057,50714683,78001,0,16635439,0,5.17733,0.562037
8,3,15612197176,50047396,70757,0,16653986,0,5.17549,0.564732
8,4,14538657822,51992392,62113,0,16920830,0,5.07816,0.46021
8,5,14362756412,53371263,54835,0,17776066,0,5.05467,0.439557
8,6,14359484003,54377127,47919,0,22762861,0,5.05403,0.443113
8,7,14650742428,54665431,41902,0,27976250,0,5.07752,0.472621
8,8,15211794592,55769003,37966,0,30684327,0,5.14449,0.524676
8,9,15499196697,57349628,35705,0,32082339,0,5.18413,0.566415
8,10,15742978676,60826817,35025,0,32768774,0,5.22112,0.600433
8,11,16279002542,65759086,35366,0,33159671,0,5.30556,0.671468
8,12,15617828398,71050328,37205,0,33967203,0,5.20951,0.554295
8,13,15800461385,74096640,41185,0,36544661,0,5.26214,0.566605
8,14,16188681173,76310196,41129,0,43403660,0,5.37979,0.600555
8,15,17234632221,77736026,41148,0,51440855,0,5.5772,0.707791
8,16,19282713127,78672961,41244,0,58184967,0,5.8085,0.934161
8,17,21306783386,79262987,41436,0,62283873,0,6.03561,1.136179
8,18,22918543106,79612687,41820,0,64556415,0,6.2552,1.308314
4,1,17238833782,55598017,80340,0,16622230,0,5.33151,0.729409
4,2,15600285617,50696838,78146,0,16640023,0,5.16966,0.562352
4,3,15610981978,50165633,70718,0,16660102,0,5.17191,0.564041
4,4,14547283940,52247844,62776,0,16891744,0,5.05454,0.447933
4,5,14362394639,53485262,55016,0,17780590,0,5.04479,0.433592
4,6,14383959835,54491231,48021,0,22750982,0,5.05054,0.435023
4,7,14680490701,54930840,42076,0,27969252,0,5.08076,0.46089
4,8,15197215140,55722323,37945,0,30667842,0,5.13803,0.519876
4,9,15510833713,57348267,35756,0,32066298,0,5.19104,0.56599
4,10,15803177691,60950808,34980,0,32782195,0,5.2395,0.594117
4,11,16381838024,65852990,35320,0,33179603,0,5.31665,0.66724
4,12,15604869324,71013034,37198,0,33946452,0,5.18887,0.541562
4,13,15800005678,74162996,41174,0,36559785,0,5.25543,0.560016
4,14,16252773021,76165847,41122,0,43422654,0,5.389,0.611152
4,15,17174175149,77586099,41144,0,51517769,0,5.54212,0.692578
4,16,19288748416,78497056,41240,0,58205135,0,5.78465,0.910367
4,17,21303047634,79025869,41432,0,62290704,0,6.04546,1.142608
4,18,22952887955,79792877,41816,0,64560559,0,6.2675,1.31449
2,1,14565378436,52015517,49184,0,16586609,0,5.45629,0.842273
2,2,14063022936,46854510,48856,0,16586444,0,5.35838,0.743641
2,3,14073273005,46442281,47782,0,16603658,0,5.3559,0.745161
2,4,13847920912,47116207,45880,0,16787301,0,5.30466,0.70003
2,5,13802817084,47131729,42971,0,17421776,0,5.30732,0.690424
2,6,13884049007,47486081,39315,0,22591159,0,5.31583,0.709529
2,7,14381518501,47630584,36248,0,27934720,0,5.44257,0.825428
2,8,14786729336,49135549,34748,0,30655864,0,5.52933,0.904644
2,9,14879138375,51920608,34130,0,32049379,0,5.55308,0.931905
2,10,14978842977,55895239,34226,0,32772240,0,5.58083,0.961995
2,11,15565940672,61398118,35034,0,33177650,0,5.7322,1.096533
2,12,15138779981,68863118,37036,0,33957617,0,5.60983,0.955037
2,13,15417163048,73197065,41100,0,36557219,0,5.7102,1.0123
2,14,15930499532,75942291,41100,0,43410094,0,5.88901,1.101149
2,15,16904225546,77583743,41143,0,51530010,0,6.15127,1.288277
2,16,18409232990,78548101,41238,0,58196987,0,6.48245,1.600635
2,17,19645290318,79159307,41430,0,62269752,0,6.73944,1.851953
2,18,20679124422,79722466,41814,0,64542567,0,6.9925,2.05712
1,1,13023588864,31791325,32853,0,16576162,0,5.63647,1.024145
1,2,13003760134,31538095,32855,0,16582786,0,5.63013,1.023503
1,3,13002626566,31784831,32859,0,16587849,0,5.63522,1.024115
1,4,13013160514,31934310,32867,0,16710005,0,5.63706,1.025067
1,5,13038156516,31910507,32883,0,17104168,0,5.64508,1.027567
1,6,13131822074,32279902,32915,0,22461571,0,5.69676,1.078661
1,7,13571072105,33468062,32979,0,27901397,0,5.89557,1.294912
1,8,13902867960,37255022,33107,0,30649758,0,6.06302,1.438997
1,9,14092312299,42611789,33364,0,32046537,0,6.13484,1.518597
1,10,14215640638,47632309,33877,0,32770042,0,6.19913,1.57709
1,11,14938372745,55178446,34903,0,33175010,0,6.51705,1.877131
1,12,14518392185,66574736,36955,0,33981027,0,6.32418,1.663151
1,13,14969876792,72502421,41060,0,36565298,0,6.54035,1.83057
1,14,15605835958,75724987,41092,0,43435288,0,6.86041,2.082692
1,15,16721589784,77535413,41141,0,51479518,0,7.36842,2.503192
1,16,18050531479,78538511,41237,0,58174032,0,7.92138,3.042327
1,17,19008573585,79052951,41429,0,62275275,0,8.31254,3.420991
1,18,19864796341,79729986,41813,0,64558342,0,8.68565,3.737892
