threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
16,1,12162825682,34096504,32882,0,16578217,0,4.75416,0.201218
16,2,12173277038,34986442,32897,0,16572605,0,4.75013,0.207123
16,3,12213289537,34581223,32930,0,16570067,0,4.76277,0.213185
16,4,12294764881,34616568,32995,0,16647110,0,4.78538,0.22637
16,5,12463810047,34638862,33125,0,17040285,0,4.82765,0.254502
16,6,12737833610,35201266,33381,0,22348289,0,4.86836,0.295419
16,7,13031326033,37489036,33908,0,27893133,0,4.92455,0.333235
16,8,13062456947,39194669,36970,0,30679309,0,4.94331,0.34451
16,9,13126748283,41876888,40930,0,32094413,0,4.99082,0.347984
16,10,12933930982,45903225,41098,0,32798802,0,5.00015,0.288311
16,11,12731753239,53006735,41138,0,32673300,0,5.044,0.229572
16,12,13390826252,58683394,41218,0,33163828,0,5.12298,0.296111
16,13,14926430162,61832367,41407,0,34931733,0,5.30359,0.456735
16,14,17243713402,63991241,41742,0,39104148,0,5.591,0.699871
16,15,19812408251,65914634,42520,0,43520147,0,5.93491,0.954334
16,16,21859976944,68687671,44683,0,46203958,0,6.25467,1.140907
16,17,23547410159,74565343,49345,0,49185061,0,6.66015,1.264592
16,18,25402766224,85485998,57246,0,52084666,0,7.29157,1.323043
8,1,12164590533,34083214,32866,0,16568667,0,4.77537,0.20998
8,2,12206573862,35320642,32874,0,16571998,0,4.77316,0.218635
8,3,12248940471,35033872,32888,0,16576249,0,4.77679,0.22093
8,4,12284616414,34863619,32922,0,16628007,0,4.78815,0.231362
8,5,12445273461,34706589,32982,0,17055331,0,4.82347,0.252109
8,6,12643945125,35167205,33115,0,22275722,0,4.85462,0.292218
8,7,12926804155,36886858,33376,0,27863285,0,4.91865,0.330499
8,8,13138270581,40901667,33888,0,30660420,0,4.94296,0.360791
8,9,13058546201,41830113,36964,0,32061169,0,4.94756,0.348661
8,10,13294756473,46141303,40935,0,32791597,0,4.99733,0.365711
8,11,13319793019,53183639,41090,0,33160094,0,5.05367,0.329455
8,12,13238936703,58547773,41130,0,33611520,0,5.10543,0.290369
8,13,14565869067,61756582,41231,0,35086395,0,5.25742,0.433731
8,14,16747121205,63365836,41403,0,39567762,0,5.52208,0.662052
8,15,19476401076,64918570,41748,0,43420863,0,5.9058,0.940612
8,16,21290002083,66671448,42516,0,46322366,0,6.10785,1.121431
8,17,22761744989,69046837,44587,0,48131093,0,6.415,1.226202
8,18,23844131706,74391563,49195,0,49971747,0,6.723,1.311754
4,1,12477762964,43545706,32858,0,16574015,0,4.79425,0.252639
4,2,12256478820,37487982,32863,0,16576550,0,4.78156,0.235435
4,3,12242135084,35628972,32869,0,16581563,0,4.78764,0.229113
4,4,12256116843,35043428,32886,0,16655279,0,4.7816,0.227873
4,5,12380662930,34882101,32918,0,17062310,0,4.80128,0.237975
4,6,12627820682,35074546,32986,0,22162837,0,4.84527,0.276624
4,7,12836270806,36174756,33107,0,27833976,0,4.88959,0.326952
4,8,13093183769,40092892,33369,0,30688262,0,4.92831,0.354237
4,9,13431063594,45096079,33883,0,32050204,0,4.9873,0.403748
4,10,13268606344,45474620,36963,0,32783816,0,4.96093,0.363776
4,11,13744737605,53404486,40936,0,33168826,0,5.04677,0.404948
4,12,13804024676,58495005,41086,0,33712444,0,5.1062,0.390616
4,13,14438523134,61637291,41143,0,35322651,0,5.22883,0.421995
4,14,16484928251,63284481,41235,0,39589738,0,5.45795,0.641339
4,15,19181795224,64663436,41419,0,43092795,0,5.77694,0.915271
4,16,20999547818,65533824,41787,0,46294642,0,6.01006,1.101991
4,17,22099521063,66928961,42557,0,48345979,0,6.18754,1.20213
4,18,22963958349,69066158,44454,0,49323158,0,6.404778,1.263517
2,1,12618796353,48141429,32854,0,16568281,0,5.02669,0.473797
2,2,12039530738,34183340,32856,0,16574895,0,4.918,0.35144
2,3,12030696401,34114628,32860,0,16583555,0,4.90269,0.358018
2,4,12024430893,34236182,32868,0,16655839,0,4.91542,0.357467
2,5,12086471547,34251343,32884,0,17054625,0,4.93087,0.362599
2,6,12220163179,34384118,32916,0,22159972,0,4.97045,0.405979
2,7,12346084327,35572768,32980,0,27804675,0,4.99345,0.440394
2,8,12419010213,38662506,33110,0,30623645,0,5.02391,0.460527
2,9,12479859671,44047308,33368,0,32028240,0,5.05304,0.477914
2,10,12638603241,47470651,33885,0,32738797,0,5.10815,0.523086
2,11,12653207926,52964690,36956,0,33139756,0,5.12587,0.509197
2,12,12733570913,58443834,40955,0,33701490,0,5.17062,0.521157
2,13,12825360566,61399015,41099,0,35492781,0,5.23255,0.500149
2,14,12926540342,62969392,41151,0,39605717,0,5.30593,0.486186
2,15,13886332658,63975704,41255,0,43581593,0,5.5245,0.705096
2,16,16386342399,64801414,41463,0,46289426,0,6.06307,1.214755
2,17,18030184700,65703661,41879,0,48370720,0,6.4426,1.525818
2,18,19060741024,66926576,42712,0,49037164,0,6.69479,1.706692
1,1,12043157927,34075551,32853,0,16572371,0,5.2425,0.688544
1,2,12041107736,34158221,32855,0,16577174,0,5.23713,0.670435
1,3,11980547320,34233977,32859,0,16587361,0,5.22376,0.669704
1,4,11984024129,34311941,32867,0,16661000,0,5.22141,0.671364
1,5,12060471430,34236938,32883,0,17070862,0,5.24973,0.675181
1,6,12033108639,34632959,32915,0,22164787,0,5.2402,0.685857
1,7,12095125615,35398711,32979,0,27737788,0,5.29169,0.740146
1,8,12164184515,38716939,33107,0,30615494,0,5.32698,0.772104
1,9,12195306623,43536325,33363,0,31960713,0,5.35057,0.789964
1,10,12241574798,47247348,33877,0,32718642,0,5.39614,0.81675
1,11,12557514051,51033618,34904,0,33111105,0,5.53307,0.93918
1,12,12534126750,58370456,36954,0,33598868,0,5.5048,0.90187
1,13,12673332715,61400335,41069,0,35527777,0,5.5908,0.951984
1,14,12922188244,62930603,41109,0,39756199,0,5.7392,1.008439
1,15,13065308016,63701592,41173,0,43889825,0,5.8524,1.033866
1,16,13783045176,64371126,41301,0,46752863,0,6.1474,1.326879
1,17,15825479368,65064654,41557,0,48407304,0,6.9949,2.148934
1,18,17308819525,65923767,42069,0,48787124,0,7.6333,2.736145
