threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
1,1,29276162088,28767675,173026,0,15521248,36,14.6951,16.638846
1,2,29270138251,28708154,173028,0,15500157,41,14.69003,16.638478
1,3,29448218704,29301656,173060,0,15553857,41,14.7803,16.814138
1,4,29305957884,28788398,173075,0,15517420,38,14.7091,16.684579
1,5,29312801825,28684585,173073,0,15542514,42,14.707,16.684338
1,6,29437759347,28075738,173287,2,15553532,33,14.7748,16.841378
1,7,29355927415,28191013,173312,0,15581006,39,14.733699,16.815301
1,8,29118789539,28242916,131882,1,15441643,46,14.6153,16.469577
1,9,29127927813,28467595,132574,0,15478032,43,14.6195,16.433326
1,10,29179146447,28965864,138202,1,15579623,46,14.645,16.503516
1,11,29259369269,30382097,136609,0,15564808,60,14.6872,16.583798
1,12,29225088966,31698902,143550,0,15634994,33,14.6677,16.780539
1,13,29337838475,32488581,155839,0,15669093,47,14.72546,17.008578
1,14,29605411175,33375743,184937,3,15820945,33,14.8543,17.411813
1,15,29981986071,34166507,223358,0,16163720,38,15.0481,17.72333
1,16,30277799357,36368190,256607,0,18025485,43,15.19618,18.14795
1,17,31593727903,41197028,315237,1,23573399,43,15.856,18.700763
1,18,31460832288,49266251,266383,0,31999340,36,15.7883,20.17128
2,1,34509356726,94330218,227409,1,15638107,48,13.2569,22.513807
2,2,32779307605,60626429,216206,0,15597772,43,12.817,20.728936
2,3,34532693541,118086475,206825,1,15579311,41,13.2758,22.063776
2,4,33084399041,83970656,188783,1,15585088,50,12.8829,20.240065
2,5,32493885326,70524168,174961,0,15559439,39,12.74805,19.344986
2,6,32316392807,74097988,167125,0,15567913,41,12.727831,19.06137
2,7,32374768540,78971699,163553,1,15637328,43,12.68689,19.183731
2,8,31701033594,63348593,133735,0,15490552,48,12.52777,18.165079
2,9,31655727994,56373808,133341,0,15519727,52,12.5489,18.051116
2,10,31556779958,50534963,134065,0,15646437,39,12.4999,17.90195
2,11,31679512930,46223753,136098,0,15648112,62,12.5854,17.937317
2,12,31715114931,46115762,142341,0,15722298,38,12.5662,18.101269
2,13,31837370185,47521229,153209,0,15770080,36,12.6243,18.25878
2,14,32119397770,48613780,174979,0,15850044,41,12.7078,18.569749
2,15,32539067290,49748456,218918,0,16275497,44,12.8803,18.826435
2,16,32907365304,52194436,259636,0,18185680,43,13.0259,19.167446
2,17,32933625950,53059153,249978,1,23374967,41,13.0825,18.865914
2,18,33574925712,59507292,251352,1,31996918,41,13.2874,19.732798
4,1,36184439518,93243655,328306,0,15694204,44,11.3825,21.969966
4,2,35998853503,84163339,297279,3,15627066,54,11.3701,22.086442
4,3,35383386395,99204004,243299,0,15571198,36,11.2759,21.112704
4,4,34134460810,90065373,198234,0,15471755,52,11.1274,19.24431
4,5,33574603430,85630290,169152,1,15466646,40,11.0567,18.376461
4,6,32532242499,78958605,152318,2,15443245,40,10.97697,17.182403
4,7,32646102626,85337595,142348,1,15457668,41,10.95495,17.222091
4,8,32103278770,67482836,137053,0,15488360,43,10.8692,16.492947
4,9,31933969469,58149697,134372,1,15549783,56,10.8642,16.230955
4,10,31657200576,48568309,133272,0,15584827,57,10.86988,15.911893
4,11,31941175927,45813258,133226,2,15548119,51,10.887343,16.182417
4,12,31910563564,45677134,135707,0,15617429,38,10.8665,16.20979
4,13,32056503388,46634836,139650,2,15646278,41,10.9294,16.275554
4,14,32146733490,47940966,147814,1,15694755,37,10.93047,16.407792
4,15,32420262837,49042100,164281,1,15967866,36,11.039499,16.500635
4,16,32258816231,48073856,164768,1,17701500,41,11.1664,16.070612
4,17,32737729528,51948998,165915,1,23085375,43,11.29554,16.164414
4,18,33213279029,57029005,167057,0,31727511,43,11.4135,16.667798
8,1,54127771164,103679107,556546,1,15909100,64,11.3666,40.581659
8,2,46476564939,108562500,450415,1,15731225,57,10.85742,32.072221
8,3,41258394314,89489440,344780,1,15573766,43,10.53741,26.127034
8,4,36993810757,67245943,264455,1,15524298,40,10.27288,21.218516
8,5,35318631476,86025963,208154,1,15479464,35,10.2025,19.145531
8,6,33816924888,89041711,175419,1,15486282,44,10.085,17.442581
8,7,33211762606,87407903,155159,1,15519495,37,10.0601,16.652194
8,8,32465041808,68555070,143879,0,15498428,43,10.0117,15.798562
8,9,32140237389,58384565,138061,0,15528208,40,9.9862,15.395322
8,10,32077307969,52296516,135127,1,15623044,35,9.9907,15.303772
8,11,32106855609,45835046,134069,0,15588260,50,10.00866,15.30363
8,12,32117710966,45598928,136209,0,15622659,33,10.00518,15.311273
8,13,32200077193,46368912,139913,0,15655936,38,10.03509,15.366076
8,14,32339895329,47279249,147968,1,15679785,44,10.0838,15.458721
8,15,32511632445,48710519,164351,1,16038912,39,10.15241,15.502068
8,16,32705097183,49992714,164792,1,17681170,44,10.3409,15.280676
8,17,32793904317,51575529,165530,0,23075680,35,10.42093,15.169803
8,18,33405682144,55887971,167066,2,31739094,47,10.5409,15.656195
16,1,65489416480,95857558,957487,4,16327321,69,10.5826,50.655182
16,2,59745671335,90411832,660822,2,16083087,54,10.38548,44.538453
16,3,52143159822,72297583,462406,4,15753134,62,10.15965,36.420159
16,4,43588132817,62964602,346835,3,15640277,52,9.88418,27.320515
16,5,41313349124,91950515,256123,2,15608465,43,9.82974,24.833742
16,6,36397957011,92397205,211506,0,15551933,44,9.66608,19.584595
16,7,34483193921,89444138,177646,0,15538231,40,9.61492,17.497846
16,8,33120499451,69087619,157155,3,15541780,43,9.55979,16.008477
16,9,32494284684,58397335,145419,1,15534597,46,9.55156,15.294438
16,10,32251909267,52265704,138840,2,15639791,54,9.5666,15.033413
16,11,32251203044,45903240,135819,0,15588846,53,9.57256,14.994601
16,12,32285361851,45483599,137211,1,15611215,33,9.5803,14.997766
16,13,32314484293,46229646,140449,2,15654748,35,9.58155,14.999201
16,14,32418538377,46859068,148220,0,15680378,46,9.61843,15.068882
16,15,32647390190,47753124,164480,3,16009976,53,9.70984,15.174164
16,16,32625400140,48920149,164844,0,17677594,42,9.8327,14.859182
16,17,32715905922,50617563,165547,0,23045363,37,9.9578,14.648008
16,18,33278690909,53933843,167083,1,31726436,41,10.0681,15.051288
32,1,98509266576,99299930,1533499,2,20607305,420,10.36582,83.512258
32,2,84171958307,86189328,1032942,1,17946873,436,10.1603,68.685876
32,3,73122196596,65947124,715269,2,17500964,355,9.9602,57.282907
32,4,62332131764,60971318,491123,1,16646257,273,9.77437,46.175581
32,5,55580014069,96350979,340110,1,16244482,237,9.685181,39.152181
32,6,47181457602,96798707,265972,1,16209467,173,9.54084,30.488646
32,7,42248517380,93788859,212415,1,16145698,184,9.4775,25.366217
32,8,38875751664,70386379,178583,1,15914714,174,9.42817,21.791053
32,9,37463562383,59223167,157069,1,15941942,158,9.4019,20.320877
32,10,37004411085,52393784,145138,2,16071686,144,9.39478,19.838982
32,11,37064678297,45821999,139039,3,15948243,161,9.4542,19.771137
32,12,37098623176,45574669,138905,1,15999671,126,9.401015,19.910347
32,13,37424463499,46249696,141215,2,16082368,134,9.446485,20.167162
32,14,37731395680,46871920,148628,2,16399895,193,9.4821,20.437735
32,15,38066241041,47816207,164677,1,18595523,129,9.566372,20.593891
32,16,38104724250,48953631,164911,1,24005000,165,9.69442,20.351677
32,17,38222367294,50622170,165578,2,31927333,145,9.85179,20.189578
32,18,38907370214,53728124,167115,1,39425788,139,9.9715,20.744423
1,1,22942527807,28654475,147084,0,15404160,34,11.5196,16.638846
1,2,22880508548,28674249,147105,0,15414301,38,11.4872,16.638478
1,3,22905344971,28599807,147188,0,15391444,35,11.5014,16.814138
1,4,22994887882,28634330,147238,0,15466834,34,11.5451,16.684579
1,5,22917695512,28569484,147244,0,15468766,40,11.50606,16.684338
1,6,23102246587,27922215,148160,0,15405548,29,11.5991,16.841378
1,7,23003719119,28066363,148088,1,15506966,27,11.5497,16.815301
1,8,22883951750,28095178,131813,1,15520402,35,11.49012,16.469577
1,9,22928272983,28206968,132412,0,15416677,38,11.511,16.433326
1,10,22991316452,28922268,133610,2,15586250,37,11.5437,16.503516
1,11,23093069570,30176356,135966,3,15589184,34,11.59098,16.583798
1,12,23208280180,31638496,140833,0,15553580,43,11.6471,16.780539
1,13,23426145799,32539275,150438,0,15624352,38,11.7571,17.008578
1,14,23921227236,33070976,169562,0,15742536,30,12.0045,17.411813
1,15,24241282496,34018534,208072,0,16101167,27,12.1598,17.72333
1,16,24783874407,36182611,230509,0,17837611,33,12.4413,18.14795
1,17,25225395692,40707641,231342,0,23069191,38,12.6588,18.700763
1,18,26459232743,48941015,232724,0,31732146,36,13.2803,20.17128
2,1,29259646339,95940048,214525,0,15561381,32,11.7936,22.513807
2,2,29239112601,94558703,213124,1,15679378,30,11.7974,20.728936
2,3,28506831754,91078438,202798,1,15573778,40,11.59933,22.063776
2,4,27740775820,84311219,184069,1,15547692,32,11.4237,20.240065
2,5,27112171460,69404933,164864,1,15534757,33,11.25028,19.344986
2,6,26930729571,73971211,152880,0,15511173,30,11.22785,19.06137
2,7,27105506258,78001732,147489,0,15539670,47,11.276,19.183731
2,8,26402684071,63417440,134945,0,15482799,34,11.0772,18.165079
2,9,26187352665,56407429,134120,1,15596127,39,11.03224,18.051116
2,10,26216562696,50125532,134624,0,15629913,38,11.0628,17.90195
2,11,26282904735,45994837,136993,0,15654615,49,11.08256,17.937317
2,12,26399475230,45740525,142414,0,15652458,33,11.1005,18.101269
2,13,26762652564,47291902,153220,0,15737707,41,11.2244,18.25878
2,14,27042053754,48347114,175120,0,15813338,42,11.3164,18.569749
2,15,27590177196,49706413,218881,0,16256762,56,11.51325,18.826435
2,16,27835901109,51494407,252492,1,18086202,37,11.61984,19.167446
2,17,28056919374,52858267,248583,1,23214174,40,11.7694,18.865914
2,18,28780251607,58881236,250908,0,31965313,39,12.0238,19.732798
4,1,32301331745,94083777,322266,0,15539243,36,10.6818,21.969966
4,2,33892887751,88629371,309617,2,15692771,40,10.8736,22.086442
4,3,32134096014,114609708,262943,1,15558603,42,10.6785,21.112704
4,4,29762834218,79602723,218632,1,15510393,38,10.3883,19.24431
4,5,28628469310,85142347,183911,0,15473308,40,10.2545,18.376461
4,6,27963293639,86718363,160800,1,15457347,45,10.1637,17.182403
4,7,27676407301,84717578,147094,0,15467580,40,10.11537,17.222091
4,8,26826924365,68087497,140068,1,15483328,38,10.0014,16.492947
4,9,26503636877,57539292,136134,1,15553322,38,9.98331,16.230955
4,10,26406629886,51360364,134424,1,15573082,39,9.9801,15.911893
4,11,26557205595,45532468,134313,0,15536012,50,10.02667,16.182417
4,12,26583393001,45456139,135925,1,15586974,38,10.019,16.20979
4,13,26780273998,46453046,139747,1,15599125,40,10.0553,16.275554
4,14,27017816587,47707897,147866,2,15655925,29,10.1059,16.407792
4,15,27321755223,48826123,164306,0,15897952,43,10.2334,16.500635
4,16,27130786692,47640998,164766,0,17542019,36,10.3156,16.070612
4,17,27645094495,51675562,165520,0,22907456,34,10.4799,16.164414
