threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
1,1,24474326872,28718229,157104,1,15465542,32,12.2883,3.375128
1,2,24371448041,28598544,157045,0,15425929,28,12.2342,3.368259
1,3,24369003077,28595153,157098,0,15449734,35,12.22922,3.372005
1,4,24372945372,28702709,157007,0,15467874,24,12.2312,3.36888
1,5,24446867403,28655327,157111,0,15460447,37,12.2712,3.37833
1,6,24493369941,28063874,157799,0,15479861,32,12.2908,3.424685
1,7,24552392085,28070136,157843,0,15509699,39,12.3218,3.423482
1,8,24340621024,28092020,131980,0,15429290,31,12.2154,3.347727
1,9,24392738018,28335982,132744,0,15540896,39,12.2451,3.3309
1,10,24303993039,28907966,134276,0,15541891,42,12.1967,3.321286
1,11,24379212569,30108991,137274,0,15518282,42,12.2402,3.335724
1,12,24356215048,31575179,139465,0,15537989,36,12.22794,3.348267
1,13,24408340772,32446680,147691,1,15576983,29,12.24939,3.366321
1,14,24595369078,32821722,164182,1,15618408,34,12.3474,3.386262
1,15,24808166718,33491116,190985,0,15848585,29,12.4532,3.415526
1,16,24877053208,35011267,197935,0,16828406,30,12.4884,3.325969
1,17,25176460389,38948155,199257,0,20466417,35,12.6251,3.418114
1,18,26061638248,45833737,200971,0,25163714,31,13.07704,3.723892
2,1,26220451729,31982586,164008,1,15385915,31,11.0325,4.277825
2,2,27272317910,41039407,164030,0,15421442,29,11.393,4.830395
2,3,27022949801,38810281,164070,0,15404681,31,11.402,4.681659
2,4,26907767437,41014229,164081,0,15435251,29,11.25733,4.655532
2,5,26681432383,39082381,164114,0,15452438,28,11.1603,4.500482
2,6,26539655112,30966612,164177,0,15484341,42,11.1754,4.40404
2,7,26388900821,30747305,164140,0,15504775,38,11.10238,4.367966
2,8,26312168856,31068318,164401,0,15659138,67,11.07767,4.324103
2,9,26228554500,31049294,164887,0,15710304,88,11.0344,4.307498
2,10,26418353354,31882025,165895,0,15502989,92,11.1185,4.337805
2,11,26484388925,33465993,180292,0,15627735,96,11.1306,4.36115
2,12,26524818523,34931937,187458,0,15694119,42,11.14357,4.392164
2,13,26755103594,36117744,200292,0,15788564,74,11.2646,4.437347
2,14,27091627997,37263365,226981,0,16031539,147,11.40382,4.552436
2,15,27548820216,38452536,236409,0,16270757,182,11.644,4.612651
2,16,28581189214,43035769,288274,0,18195183,591,12.0228,5.04201
2,17,29344945666,48537918,290975,1,22392376,789,12.31471,5.328158
2,18,30969194141,57186349,292821,0,27762821,573,12.9442,5.838225
4,1,26251747581,31848779,163994,0,15403503,38,9.9836,4.307717
4,2,27352851050,40951710,166050,0,15426103,36,10.2254,4.86974
4,3,26670750317,35526506,166065,0,15429288,26,10.0739,4.553216
4,4,26822680763,40876824,165074,0,15457470,32,10.0723,4.607741
4,5,26549185269,39016192,162320,0,15511482,51,10.05317,4.472822
4,6,26363243926,30953740,163858,1,15543409,45,9.9893,4.392211
4,7,26466502695,31056789,165148,1,15698436,125,10.0272,4.406687
4,8,26383334844,31292297,164894,1,15770053,138,9.9929,4.37269
4,9,26505538351,31881135,165261,0,15483901,267,10.0575,4.38207
4,10,26460589337,33178728,166124,0,15453532,234,10.0492,4.354668
4,11,26335170705,34021407,168103,1,15592266,30,10.01377,4.332921
4,12,26478760837,35349235,172541,1,15661218,52,10.064635,4.3626
4,13,26764909516,36127997,180754,4,15760541,58,10.16428,4.397582
4,14,27119382771,37088297,195542,0,15900502,43,10.33763,4.451906
