threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
1,1,25945885505,32491900,187179,0,15433386,27,13.026,2.445293
1,2,25942267534,32481871,194107,1,15517951,35,13.0174,2.481725
1,3,26010203575,33038849,190530,1,15515840,36,13.057,2.479345
1,4,25990342939,32793439,190927,1,15506743,38,13.0472,2.481325
1,5,26061205807,32665088,191636,0,15453814,35,13.0795,2.483075
1,6,26269884910,32628099,193140,0,15532657,33,13.1871,2.603626
1,7,26306631702,32746508,193374,0,15610735,45,13.2042,2.606937
1,8,26187856808,32648384,193374,0,15483997,31,13.14518,2.576719
1,9,26160781085,32714014,193959,0,15522393,52,13.1315,2.557121
1,10,26200703591,32616325,195853,1,15584310,47,13.152556,2.570196
1,11,26376565383,32864909,199784,1,15789123,49,13.2408,2.613103
1,12,26348908980,32907222,202126,1,15630849,33,13.2266,2.651882
1,13,26522696612,33024316,211268,0,15619163,32,13.31246,2.728216
1,14,26796951824,34144971,218624,0,15833819,34,13.45271,2.803053
1,15,27176024864,35163908,257033,0,16053863,38,13.6351,2.988569
1,16,27555106102,37018373,263310,0,17785839,34,13.83138,3.195178
1,17,28285928983,41590055,266962,0,23171470,37,14.1968,3.477701
1,18,29511090377,49396000,277659,0,32132782,39,14.80673,4.007035
2,1,33386541704,101782337,224565,1,16613962,2061,13.726,3.135003
2,2,32392638288,97905766,249654,0,17464406,5181,13.4535,2.869838
2,3,31746634930,103043524,233910,0,16939137,6087,13.2998,2.703004
2,4,30473334254,82490000,218044,0,16400031,4798,13.0126,2.430292
2,5,30372632237,75371666,212823,0,16154840,3286,12.9615,2.371065
2,6,30374928398,78402597,209968,0,15848862,1908,12.9354,2.354242
2,7,30348308215,79162172,207859,0,15919833,893,12.9491321,2.383351
2,8,29834487405,67055033,202921,1,16247529,481,12.8004,2.224316
2,9,29479382106,57384676,201826,0,15702280,223,12.76266,2.178493
2,10,29567427885,52569386,202759,0,15859809,144,12.7903,2.16143
2,11,30049522908,50572579,256239,1,16139351,74,13.072,2.158537
2,12,29687482543,47766679,210845,0,15900099,66,12.8429,2.218997
2,13,29832972305,48335141,221259,1,15818887,47,12.88254,2.274241
2,14,30075574636,49453597,240518,1,16028665,48,12.96706,2.323536
