threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed,wall_time
1,1,21048644478,28556722,131209,1,15370784,32,10.5721,1.678443
1,2,21022826536,28548615,131212,2,15379141,29,10.5569,1.680372
1,3,21066551779,28523532,131216,1,15378733,30,10.5788,1.67995
1,4,21033612114,28507829,131223,1,15450406,28,10.56163,1.680608
1,5,21032246690,28495345,131239,1,15379080,31,10.5615,1.682608
1,6,21085424950,27998725,131271,1,15462114,26,10.58931,1.72219
1,7,21044491405,27999345,131336,1,15471497,35,10.56374,1.701688
1,8,21041017327,28179444,131464,1,15492635,28,10.56633,1.696001
1,9,21121690358,28515382,131724,2,15515677,32,10.6065,1.694806
1,10,21105521717,28992811,132241,1,15607690,43,10.5984,1.706272
1,11,21307354699,30201027,133277,0,15627820,36,10.7004,1.746475
1,12,21334082821,31627620,135334,1,15600346,27,10.71323,1.808623
1,13,21559431819,32499239,139497,1,15657277,33,10.82492,1.885082
1,14,21835345221,33066147,147785,1,15659673,35,10.96408,1.990477
1,15,22468403874,34073157,208164,1,16027215,34,11.2814,2.152159
1,16,22811490227,36705893,210457,1,17106205,33,11.454,2.225778
1,17,22654151188,39275675,166025,1,20404462,33,11.3748,1.999249
1,18,23727297186,46360114,233918,1,25309153,39,11.90772,2.402527
2,1,24796048791,52194231,131212,2,15353766,37,10.7115,1.82155
2,2,21711411088,34143686,131214,2,15368648,31,9.9204,1.055844
2,3,21240448452,30524683,131218,2,15381363,34,9.7865,0.913634
2,4,21045769672,29520113,131226,2,15379541,30,9.7244,0.857533
2,5,21039244089,29023899,131241,2,15374777,36,9.7259,0.863604
2,6,21124579571,28121232,131274,2,15395355,31,9.74886,0.8735
2,7,21099428190,28111948,131340,2,15427200,36,9.745394,0.86387
2,8,21067957595,28314361,131469,2,15453758,42,9.7366,0.855412
2,9,21092198336,28567703,131729,2,15527782,45,9.748902,0.85437
2,10,21200723711,29138679,132258,2,15443415,45,9.7987,0.858994
2,11,21162136481,30086140,135346,2,15516018,40,9.76783,0.881636
2,12,21356997477,31706781,139457,2,15555130,37,9.8326,0.91278
2,13,21575728632,32570811,147746,2,15583248,38,9.91423,0.947961
2,14,21853104951,33147309,163515,2,15696022,34,10.027192,0.985002
2,15,22145380533,33694067,164812,2,15828806,31,10.2014,1.007855
2,16,22502062910,35213905,165644,1,16727050,36,10.40044,1.036338
2,17,23141541402,39297687,167308,2,20358231,39,10.64198,1.164353
2,18,24248987500,46596514,170638,2,25052943,33,11.08091,1.352212
4,1,24845483955,58464382,131217,4,15338792,45,9.8701,1.007489
4,2,22222454947,38038385,131220,4,15426698,39,9.53532,0.6749
4,3,22379972188,36988082,131229,4,15384882,39,9.49937,0.632023
4,4,22077253026,39844438,131244,4,15381424,34,9.4822,0.610938
4,5,22092215764,44133591,131282,5,15394632,41,9.464776,0.599127
4,6,21176928582,28511666,131341,3,15491629,41,9.32779,0.456431
4,7,21154876729,28538929,131473,5,15438569,44,9.327,0.446742
4,8,21131508438,28734939,131735,4,15514676,51,9.32756,0.438233
4,9,21196399440,29289593,132261,4,15442475,54,9.36552,0.446852
4,10,21175204941,30133564,135334,4,15471625,36,9.34668,0.450192
4,11,21287889462,31199530,139451,5,15502675,35,9.37106,0.45468
4,12,21453197135,32269641,147712,4,15555425,34,9.42092,0.467892
4,13,21712909444,32822979,163286,4,15601161,42,9.523087,0.483774
4,14,21950458482,33319029,164723,4,15588682,39,9.67514,0.482517
4,15,22356536845,34804197,165459,4,15644374,39,9.8837,0.506154
4,16,22935631702,38784320,166931,4,16693270,45,10.04081,0.564844
4,17,24094663629,45653458,169995,3,20333982,51,10.39183,0.668839
4,18,26036762635,58968852,177619,3,25213225,44,11.0199,0.825942
8,1,21035078768,29171960,131229,8,15369315,42,9.090397,0.223628
8,2,22969924601,41709803,131238,8,15372773,51,9.2757,0.411769
8,3,22230027312,40965937,131256,7,15386104,44,9.21819,0.333108
8,4,23770376344,56050576,131283,8,15534793,52,9.3028,0.419016
8,5,21917084645,41976828,131350,8,15421119,55,9.1992,0.292662
8,6,21183535078,28743467,131482,7,15448975,56,9.11931,0.232866
8,7,21173393219,28738489,131741,8,15494326,61,9.1209,0.22739
8,8,21201970760,29306463,132267,5,15462227,56,9.15453,0.225228
8,9,21314819811,30246414,135363,7,15522039,49,9.19524,0.227515
8,10,21299142516,31134485,139457,9,15407207,55,9.1683,0.230955
8,11,21384618731,31901694,147710,8,15520311,47,9.18328,0.234699
8,12,21667449665,32545676,163170,9,15592421,48,9.2914,0.240489
8,13,21816370025,32924174,164686,6,15584096,45,9.4219,0.237612
8,14,22140406164,33857102,165374,8,15525695,52,9.6208,0.239502
8,15,22766442505,37438267,166753,9,15760783,48,9.7924,0.268761
8,16,23862327087,43884529,169823,10,16899652,50,10.0696,0.321549
8,17,25903038186,56259695,178125,8,20625092,43,10.59725,0.407158
8,18,29310973828,72028142,196544,9,26027828,478,11.7228,0.504597
16,1,21047969418,29423760,131254,13,15362883,59,8.9773,0.117409
16,2,24474986987,57379279,131271,13,15385821,51,9.15523,0.281627
16,3,25308851032,57155732,131307,13,15412093,67,9.20754,0.335591
16,4,24464936106,54425465,131363,13,15423836,61,9.1487,0.245775
16,5,22033652166,44919752,131501,16,15454570,83,9.023044,0.162751
16,6,21253916674,29057231,131755,16,15503368,78,9.00944,0.122845
16,7,21297068357,29511823,132282,16,15413748,88,9.05492,0.12067
16,8,21228606319,30328502,135363,14,15373634,71,9.01351,0.120523
16,9,21298171631,31281775,139484,15,15393495,63,9.0431,0.123892
16,10,21398192860,31970968,147761,16,15417589,65,9.07198,0.122999
16,11,21635824515,32346087,163147,15,15536546,66,9.1760868,0.124235
16,12,21790261812,32703830,164646,14,15802745,72,9.31478,0.122719
16,13,22007968060,33228815,165352,15,15532523,76,9.48056,0.122241
16,14,22474536551,35440574,166691,12,15537710,59,9.60494,0.130861
