input,thread,time1,time2,time3,time4,time5
1000,1,384,347,389,406,406
1000,2,423,435,366,384,409
1000,4,441,416,447,398,421
1000,8,383,403,393,386,405
1000,16,388,443,506,385,450
1000,32,339,425,422,447,429
1000,64,430,470,297,437,351
1000,128,419,389,372,408,330
2000,1,502,576,512,593,533
2000,2,606,530,563,558,523
2000,4,513,586,526,526,520
2000,8,534,592,594,576,489
2000,16,555,545,505,561,574
2000,32,603,553,534,591,513
2000,64,607,728,589,516,516
2000,128,578,531,722,491,512
3000,1,776,726,805,797,713
3000,2,670,818,819,897,722
3000,4,733,878,689,743,880
3000,8,748,933,822,808,816
3000,16,810,833,814,874,801
3000,32,806,1065,802,834,752
3000,64,786,711,857,844,1331
3000,128,739,779,754,861,800
4000,1,1015,1230,1217,1305,1032
4000,2,1079,948,975,1127,988
4000,4,1349,1078,1238,956,1056
4000,8,1021,958,1070,1019,1102
4000,16,1277,990,1040,1184,1028
4000,32,1299,1124,1120,1054,1073
4000,64,1255,1195,1109,1225,1128
4000,128,963,1030,1070,1043,1173
5000,1,1363,1459,1588,1765,1531
5000,2,1365,1389,3820,1537,1493
5000,4,1545,1396,1518,1502,1389
5000,8,1290,1348,1804,1353,4651
5000,16,1324,1662,1515,1506,1627
5000,32,1313,1409,1609,1351,1378
5000,64,1418,1510,1454,1431,1430
5000,128,1630,1358,1482,1407,1364
6000,1,1969,2033,1865,1895,2089
6000,2,1831,1744,1984,1785,1898
6000,4,1793,2086,1914,2350,1979
6000,8,2090,2199,2028,2082,1795
6000,16,1941,2129,1798,2004,1879
6000,32,2155,3635,2102,2093,1754
6000,64,1949,1835,2113,2100,2056
6000,128,1854,1914,2102,2078,2142
7000,1,2451,2256,2742,2630,4103
7000,2,2339,2422,2614,2501,3189
7000,4,2457,2523,2752,2909,2556
7000,8,2572,2440,2724,2643,3261
7000,16,2244,2825,2444,2452,2432
7000,32,2678,2793,2422,2955,2631
7000,64,2539,3480,2996,2254,2451
7000,128,2541,8997,2865,2519,2577
8000,1,3378,2843,3206,2929,3222
8000,2,3312,3110,3114,3243,3217
8000,4,3722,3402,2986,3351,3197
8000,8,2886,3357,3519,3075,3565
8000,16,2981,3302,3148,3576,3561
8000,32,2928,2979,3150,3341,2899
8000,64,4335,2994,4180,3117,3053
8000,128,3929,3249,2769,3212,3820
9000,1,3715,3532,3589,3694,4749
9000,2,3757,3530,4781,4979,4280
9000,4,3424,4345,3959,3455,4168
9000,8,3502,3871,4097,3764,3540
9000,16,3862,5431,3444,4253,4018
9000,32,5259,3391,3955,3884,3851
9000,64,5036,4830,3488,3836,3419
9000,128,4571,3955,3742,3716,3912
10000,1,4259,4423,4274,5035,6295
10000,2,4692,5065,4235,4390,4310
10000,4,4925,4557,4264,4281,4863
10000,8,4097,4307,4431,5370,4582
10000,16,4292,4818,4627,4648,4107
10000,32,4215,4082,4134,4077,4330
10000,64,4415,4628,4335,4199,4506
10000,128,4505,4351,4942,4118,4716
