input,thread,time1,time2,time3,time4,time5
1000,1,122,113,122,121,103
1000,2,88,77,89,79,102
1000,4,73,87,72,70,63
1000,8,78,69,88,78,88
1000,16,93,212,93,105,90
1000,32,128,137,104,100,103
2000,1,378,396,377,354,378
2000,2,228,218,224,234,232
2000,4,152,162,155,162,157
2000,8,142,149,140,186,163
2000,16,163,335,172,161,203
2000,32,160,212,437,241,212
3000,1,815,831,851,842,819
3000,2,450,425,422,449,444
3000,4,320,312,292,279,304
3000,8,246,238,246,276,230
3000,16,249,277,256,248,254
3000,32,330,269,269,290,296
4000,1,1437,1463,1442,1402,1417
4000,2,627,776,727,696,684
4000,4,441,434,475,451,457
4000,8,372,390,423,414,350
4000,16,365,366,335,397,370
4000,32,421,340,387,425,355
5000,1,1966,2137,2034,2063,2220
5000,2,926,1233,1251,1123,1194
5000,4,641,604,651,653,619
5000,8,547,534,537,537,568
5000,16,502,536,552,543,586
5000,32,590,532,530,541,533
6000,1,2977,2834,2943,2861,2775
6000,2,1607,1521,1619,1676,1521
6000,4,932,955,945,924,925
6000,8,710,729,773,724,721
6000,16,655,674,667,725,705
6000,32,866,744,744,751,755
7000,1,3945,3879,3955,3980,3926
7000,2,2185,1976,1750,2024,2323
7000,4,1174,1274,1282,1257,1271
7000,8,981,1000,985,950,988
7000,16,874,864,852,906,891
7000,32,945,1156,951,946,941
8000,1,4869,4841,4811,4813,4797
8000,2,3097,2778,2567,2654,2713
8000,4,1603,1672,1619,1686,1739
8000,8,1312,1247,1270,1294,1261
8000,16,1282,1220,1340,1197,1268
8000,32,1481,1183,1225,1169,1194
