input,thread,time1,time2,time3,time4,time5
256,1,97,99,97,94,101
256,2,90,85,90,92,90
256,4,100,93,94,95,111
256,8,107,100,102,105,102
256,16,106,101,100,109,98
256,32,120,110,112,110,109
512,1,152,153,151,153,156
512,2,124,121,124,129,125
512,4,135,130,120,134,131
512,8,144,139,142,137,139
512,16,155,166,154,164,163
512,32,167,161,149,165,160
1024,1,329,340,345,338,361
1024,2,226,227,226,219,227
1024,4,191,180,168,191,194
1024,8,182,191,177,172,177
1024,16,196,199,197,213,197
1024,32,253,246,235,242,256
2048,1,1079,1083,1079,1079,1079
2048,2,588,588,584,588,583
2048,4,420,387,375,429,388
2048,8,299,295,284,270,265
2048,16,286,276,295,286,267
2048,32,329,347,325,377,416
4096,1,3998,4000,3997,4002,4001
4096,2,2051,2052,2049,2057,2055
4096,4,1350,1124,1149,1499,1177
4096,8,665,727,688,669,727
4096,16,519,508,547,521,538
4096,32,494,479,487,455,485
8192,1,15608,15630,15630,15609,15620
8192,2,7862,7870,7865,7888,7884
8192,4,4068,4320,4094,4249,4069
8192,8,2373,2446,2232,2678,2204
8192,16,1307,1204,1439,1333,1287
8192,32,902,942,847,842,843
16384,1,61868,61864,61880,61859,61864
16384,2,30909,30990,31047,31083,31038
16384,4,16289,16826,18666,16237,24739
16384,8,8487,8830,8886,9093,8658
16384,16,4636,4704,4889,5187,5269
16384,32,2585,2826,2581,2419,2702
