input,thread,time1,time2,time3,time4,time5
256,1,90,94,91,93,91
256,2,79,89,91,85,83
256,4,81,84,83,83,84
256,8,83,83,84,83,82
256,16,96,99,95,96,94
256,32,109,116,99,108,121
512,1,152,147,153,147,145
512,2,118,115,117,118,119
512,4,110,104,106,98,108
512,8,118,113,111,107,107
512,16,152,147,174,145,153
512,32,163,160,158,170,173
1024,1,340,340,342,338,346
1024,2,213,218,217,217,218
1024,4,169,169,169,159,155
1024,8,138,148,147,149,144
1024,16,197,192,178,187,193
1024,32,264,255,243,239,257
2048,1,1073,1074,1072,1078,1075
2048,2,587,582,581,590,578
2048,4,350,358,354,350,353
2048,8,242,244,253,246,239
2048,16,270,265,246,245,276
2048,32,348,386,344,327,331
4096,1,3996,3995,3999,3988,3994
4096,2,2034,2042,2042,2045,2048
4096,4,1111,1447,1160,1332,1114
4096,8,642,893,690,699,634
4096,16,469,477,461,515,484
4096,32,458,477,444,456,443
8192,1,15596,15626,15620,15631,15609
8192,2,7874,7864,7860,7867,7868
8192,4,4226,4076,4157,4144,4336
8192,8,2783,2510,2289,2261,2323
8192,16,1199,1302,1242,1239,1224
8192,32,866,847,840,875,896
16384,1,61780,61878,61817,61873,61904
16384,2,30945,30968,30940,30944,30963
16384,4,16914,21294,15839,17149,16313
16384,8,8543,10282,8812,8354,9020
16384,16,4594,4642,4663,5162,5102
16384,32,2862,2747,2389,2681,2892
