input,thread,time1,time2
256,1,96,96
256,2,87,83
256,4,84,82
256,8,88,87
256,16,100,94
256,32,121,104
512,1,149,153
512,2,115,118
512,4,112,109
512,8,117,114
512,16,148,148
512,32,153,163
1024,1,336,335
1024,2,220,218
1024,4,160,160
1024,8,159,146
1024,16,174,188
1024,32,264,263
2048,1,1065,1080
2048,2,575,581
2048,4,374,359
2048,8,247,254
2048,16,275,259
2048,32,350,369
4096,1,3994,3993
4096,2,2047,2031
4096,4,1100,1155
4096,8,716,714
4096,16,465,476
4096,32,500,500
8192,1,15605,15608
8192,2,7853,7866
8192,4,4143,4994
8192,8,2386,2367
8192,16,1235,1227
8192,32,836,854
16384,1,61838,61779
16384,2,30992,30979
16384,4,16759,16198
16384,8,8066,8835
16384,16,6309,5004
16384,32,2313,2343
32768,1,245652,245830
32768,2,123165,123251
32768,4,74664,98649
32768,8,33920,34066
32768,16,18448,21125
32768,32,11253,8748
65536,1,979253,979518
65536,2,490276,489784
65536,4,249101,301671
65536,8,144258,135079
65536,16,70368,73114
65536,32,37986,34584
131072,1,3911222,3907013
131072,2,1958270,1958004
131072,4,992591,996898
131072,8,524949,551486
131072,16,289598,264142
131072,32,129932,121933
262144,1,15642644,15643421
262144,2,7841776,7820311
262144,4,4219287,4063619
262144,8,2068344,2124688
262144,16,1206837,1174879
262144,32,546418,676649
