input,thread,time1,time2,time3,time4,time5
256,1,32,30,29,32,31
256,2,39,37,39,35,40
256,4,45,47,47,45,46
256,8,45,41,41,45,35
256,16,44,45,34,43,34
256,32,44,44,34,46,44
512,1,51,52,52,52,50
512,2,49,49,47,45,45
512,4,44,47,51,47,48
512,8,55,56,45,54,47
512,16,52,50,44,58,54
512,32,51,48,46,55,47
1024,1,119,118,124,121,122
1024,2,86,91,84,84,96
1024,4,70,73,72,76,64
1024,8,74,65,62,77,66
1024,16,73,68,64,71,68
1024,32,69,67,67,71,72
2048,1,400,401,395,399,403
2048,2,223,240,225,224,227
2048,4,150,148,140,165,156
2048,8,129,119,120,132,117
2048,16,118,112,107,110,133
2048,32,104,107,104,102,102
4096,1,1502,1506,1505,1507,1508
4096,2,775,779,781,779,773
4096,4,435,486,546,442,461
4096,8,308,298,306,360,303
4096,16,216,215,216,209,217
4096,32,194,179,186,183,186
8192,1,5858,5864,5867,5866,5865
8192,2,2960,2967,2951,2964,2960
8192,4,1928,1549,1551,1638,1550
8192,8,1034,878,982,926,911
8192,16,533,568,565,598,609
8192,32,426,440,425,422,432
16384,1,23141,23144,23139,23179,23162
16384,2,11604,11591,11603,11607,11620
16384,4,6245,5897,7128,5905,5900
16384,8,3429,3223,3351,3323,3887
16384,16,1971,1868,1823,1899,1753
16384,32,1274,1325,1346,1324,1306
32768,1,91927,92230,91968
32768,2,46134,46271,46080
32768,4,29438,25904,26657
32768,8,12466,13665,13426
32768,16,6850,7325,7446
32768,32,4658,4949,4931
