input,thread,time1,time2,time3,time4,time5
256,1,24,29,28,28,29
256,2,28,28,28,28,29
256,4,29,29,29,30,30
256,8,30,30,28,30,28
256,16,28,28,32,28,29
256,32,29,28,29,28,28
512,1,49,48,48,49,49
512,2,39,37,39,40,38
512,4,41,36,34,36,34
512,8,38,35,35,35,36
512,16,35,37,41,40,37
512,32,33,36,38,37,34
1024,1,119,122,121,121,120
1024,2,86,75,78,75,81
1024,4,57,58,57,58,59
1024,8,50,52,55,51,52
1024,16,54,50,58,64,51
1024,32,60,62,61,50,64
2048,1,398,397,399,398,402
2048,2,219,222,218,220,220
2048,4,140,144,138,143,139
2048,8,101,95,103,100,103
2048,16,91,95,98,94,104
2048,32,97,102,97,105,102
4096,1,1500,1507,1498,1502,1501
4096,2,772,773,770,763,772
4096,4,469,424,427,417,435
4096,8,275,250,263,282,274
4096,16,219,227,222,227,215
4096,32,190,187,180,175,172
8192,1,5872,5869,5867,5867,5861
8192,2,2961,2956,2951,2948,2952
8192,4,1567,1941,1534,1531,1714
8192,8,889,934,976,892,828
8192,16,573,622,625,597,584
8192,32,424,423,430,431,407
16384,1,23120,23412,23161,23188,23182
16384,2,11586,11586,11583,11596,11602
16384,4,5881,5889,8325,7473,5870
16384,8,3857,3540,4861,3813,3931
16384,16,1972,1952,2022,1970,1990
16384,32,1292,1332,1280,1276,1332
32768,1,92160,92244,91990
32768,2,46205,46087,46249
32768,4,30035,29624,23211
32768,8,13947,16034,14693
32768,16,6580,6676,7116
32768,32,4620,4897,4751
