input,thread,time1,time2,time3,time4,time5
1000,1,980,967,963,1024,972
1000,2,658,656,659,632,676
1000,4,565,605,464,535,506
1000,8,559,488,490,557,564
1000,16,491,406,420,436,454
1000,32,485,451,414,414,429
2000,1,3025,2926,3021,3065,3000
2000,2,1639,1616,1681,1622,1629
2000,4,959,924,990,955,1002
2000,8,761,715,720,740,714
2000,16,576,579,525,536,519
2000,32,584,508,546,531,540
3000,1,6016,5999,6031,6073,6177
3000,2,3103,3272,3133,3273,3175
3000,4,1804,1721,1780,1805,1758
3000,8,1132,1107,1120,1090,1167
3000,16,735,842,726,759,780
3000,32,687,632,649,631,683
4000,1,10135,10122,10116,10020,10314
4000,2,5350,5355,5183,5335,5150
4000,4,2840,2814,2908,2688,2884
4000,8,1530,1666,1641,1674,1632
4000,16,1011,964,994,986,981
4000,32,809,761,772,782,771
5000,1,16019,15801,15825,15792,15797
5000,2,7806,7772,7788,7772,7994
5000,4,4102,4004,4036,4037,4191
5000,8,2247,2297,2291,2375,2294
5000,16,1343,1352,1373,1353,1409
5000,32,978,1018,981,948,888
6000,1,21633,21919,21711,21894,21657
6000,2,11276,10941,11271,10920,11227
6000,4,5589,5632,5821,5770,5790
6000,8,3040,3072,3157,3101,3134
6000,16,1734,1680,1740,1721,1649
6000,32,1218,1254,1219,1181,1196
7000,1,29405,29444,29427,29402,29090
7000,2,15455,15150,14642,14618,14664
7000,4,7459,7760,7722,7171,7741
7000,8,4089,3973,3947,4027,4114
7000,16,2218,2225,2191,2036,2490
7000,32,1485,1463,1452,1503,1510
8000,1,37999,39333,37675,34789,37669
8000,2,19018,19940,18891,18947,18930
8000,4,8903,10157,8913,9656,8886
8000,8,4688,5101,5104,5082,5194
8000,16,2897,2725,2777,2821,2850
8000,32,1728,1755,1674,1793,1726
9000,1,47574,47768,47756,47262,47287
9000,2,23723,23761,24560,25151,25126
9000,4,11099,11104,11116,11174,11228
9000,8,5803,6262,6256,6289,6632
9000,16,3344,3481,3523,3648,3457
9000,32,1995,2067,2098,2345,2013
10000,1,58650,58327,58609,58490,58096
10000,2,29126,29169,30152,27027,29135
10000,4,13633,13603,15243,13647,13634
10000,8,7060,6997,7079,7088,7095
10000,16,3753,3874,4247,4109,4099
10000,32,2651,2402,2401,2637,2585
