input,thread,time1,time2,time3,time4,time5
2500,1,4382,4300,4435,4324,4452
2500,2,2262,2329,2288,2302,2283
2500,4,1326,1328,1365,1368,1282
2500,8,774,742,781,724,809
2500,16,672,712,598,634,668
2500,32,545,595,631,555,571
5000,1,15766,15287,15295,15236,15739
5000,2,7665,7655,7911,7648,7932
5000,4,4028,4049,4111,4175,3987
5000,8,2242,2202,2128,2220,2160
5000,16,1294,1332,1358,1370,1376
5000,32,927,1043,989,936,1001
7500,1,33204,33232,33219,33235,33159
7500,2,15884,17310,17281,16680,15395
7500,4,8459,7870,7848,8458,7861
7500,8,4030,4433,4139,4640,4138
7500,16,2464,2283,2441,2496,2712
7500,32,1621,1660,1501,1522,1621
10000,1,58089,58052,58018,58063,58093
10000,2,26987,29091,30200,30677,26795
10000,4,13561,14735,14601,13573,14752
10000,8,6980,6968,6988,6919,7527
10000,16,4034,3803,3890,3852,3899
10000,32,2504,2460,2404,2345,2617
12500,1,89878,89902,89908
12500,2,46550,44982,41434
12500,4,20866,22533,22596
12500,8,12174,12146,11896
12500,16,5686,5667,5669
12500,32,3481,3556,3637
15000,1,128672,128650,128698
15000,2,66851,64429,64403
15000,4,32374,32514,32406
15000,8,16439,16363,15218
15000,16,8930,7998,7908
15000,32,4820,4852,4379
