input,thread,time1,time2,time3,time4,time5
2500,1,1185,1204,1184,1185,1203
2500,2,1032,1014,838,881,839
2500,4,766,613,834,632,809
2500,8,379,375,346,330,366
2500,16,281,304,300,282,330
2500,32,310,300,299,304,308
5000,1,3997,3999,4004,3994,4013
5000,2,2366,2204,2030,2172,2485
5000,4,1678,1668,1385,1688,1537
5000,8,1406,948,811,1131,874
5000,16,602,532,860,702,514
5000,32,539,462,479,522,529
7500,1,7383,7270,7635,7648,7638
7500,2,4060,4625,4584,4362,4485
7500,4,2775,2637,2707,2656,2746
7500,8,1365,1411,1349,1405,1299
7500,16,1010,1006,1004,856,847
7500,32,675,810,672,694,789
10000,1,14180,14170,14164,13988,14166
10000,2,7830,6784,8533,7634,6362
10000,4,4341,4293,4153,4091,3986
10000,8,2327,2138,2094,2334,2442
10000,16,1380,1391,1438,1481,1408
10000,32,997,1311,1264,984,993
12500,1,18787,22467,20062
12500,2,12016,11997,12001
12500,4,5161,6424,6147
12500,8,4030,3194,3147
12500,16,2111,1927,1955
12500,32,1409,1417,1408
15000,1,28851,28817,28860
15000,2,16599,16740,16957
15000,4,8482,7908,8670
15000,8,4315,3961,4324
15000,16,2472,2493,2661
15000,32,1866,2278,1887
