input,thread,time1,time2,time3,time4,time5
2500,1,1201,1181,1201,1195,1130
2500,2,906,955,949,1140,1092
2500,4,739,836,738,600,563
2500,8,312,281,266,276,257
2500,16,305,287,271,308,310
2500,32,272,303,265,273,271
5000,1,3995,3997,3998,3989,3989
5000,2,2175,2217,2188,1912,2165
5000,4,1846,1429,1702,1599,1507
5000,8,1287,868,753,1147,889
5000,16,537,686,558,606,488
5000,32,465,514,455,418,499
7500,1,7300,7633,7634,7633,7631
7500,2,4481,4444,3310,4070,4436
7500,4,2464,2452,2761,2372,2621
7500,8,1392,1266,1323,1393,1351
7500,16,970,1251,1048,995,992
7500,32,747,668,685,672,765
10000,1,14182,12390,14178,14189,14198
10000,2,7535,7734,7063,7742,7989
10000,4,4308,4196,4296,3786,4232
10000,8,2127,2269,2213,2353,2409
10000,16,1445,1413,1669,1427,1440
10000,32,1265,959,1215,972,993
12500,1,20128,18791,18777
12500,2,11835,11909,10270
12500,4,6536,6335,5876
12500,8,3165,3093,3233
12500,16,1920,1951,1984
12500,32,1387,1400,1607
15000,1,28854,33249,28848
15000,2,16654,16386,17223
15000,4,7823,7423,8243
15000,8,3382,4436,4428
15000,16,2787,2781,2812
15000,32,1868,2040,1857
