1000,MiB Mem :  15690.9 total,   5998.1 free,   7602.9 used,   3179.9 buff/cache     
1000,MiB Mem :  15690.9 total,   5992.8 free,   7608.2 used,   3171.4 buff/cache     
1000,MiB Mem :  15690.9 total,   5989.7 free,   7611.4 used,   3171.4 buff/cache     
1000,MiB Mem :  15690.9 total,   5977.1 free,   7623.8 used,   3171.6 buff/cache     
1000,MiB Mem :  15690.9 total,   5956.8 free,   7643.9 used,   3159.1 buff/cache     
2000,MiB Mem :  15690.9 total,   5965.1 free,   7635.8 used,   3159.3 buff/cache     
2000,MiB Mem :  15690.9 total,   5957.6 free,   7643.2 used,   3159.3 buff/cache     
2000,MiB Mem :  15690.9 total,   6003.1 free,   7597.7 used,   3159.3 buff/cache     
2000,MiB Mem :  15690.9 total,   5995.2 free,   7605.1 used,   3164.4 buff/cache     
2000,MiB Mem :  15690.9 total,   6016.1 free,   7584.3 used,   3163.5 buff/cache     
3000,MiB Mem :  15690.9 total,   6012.0 free,   7588.5 used,   3163.6 buff/cache     
3000,MiB Mem :  15690.9 total,   6009.4 free,   7590.9 used,   3167.2 buff/cache     
3000,MiB Mem :  15690.9 total,   5994.0 free,   7606.7 used,   3167.0 buff/cache     
3000,MiB Mem :  15690.9 total,   6010.3 free,   7590.1 used,   3148.7 buff/cache     
3000,MiB Mem :  15690.9 total,   6044.9 free,   7555.4 used,   3132.1 buff/cache     
4000,MiB Mem :  15690.9 total,   6058.4 free,   7542.1 used,   3132.0 buff/cache     
4000,MiB Mem :  15690.9 total,   6042.3 free,   7558.1 used,   3134.3 buff/cache     
4000,MiB Mem :  15690.9 total,   6055.2 free,   7545.2 used,   3130.7 buff/cache     
4000,MiB Mem :  15690.9 total,   6052.4 free,   7548.2 used,   3130.4 buff/cache     
4000,MiB Mem :  15690.9 total,   6120.9 free,   7479.4 used,   3120.0 buff/cache     
5000,MiB Mem :  15690.9 total,   6096.6 free,   7503.8 used,   3119.7 buff/cache     
5000,MiB Mem :  15690.9 total,   6103.8 free,   7496.5 used,   3121.9 buff/cache     
5000,MiB Mem :  15690.9 total,   6119.3 free,   7481.0 used,   3124.0 buff/cache     
5000,MiB Mem :  15690.9 total,   6108.3 free,   7492.0 used,   3121.9 buff/cache     
5000,MiB Mem :  15690.9 total,   6106.5 free,   7493.8 used,   3122.0 buff/cache     
6000,MiB Mem :  15690.9 total,   6106.8 free,   7493.7 used,   3123.8 buff/cache     
6000,MiB Mem :  15690.9 total,   6108.6 free,   7491.7 used,   3124.2 buff/cache     
6000,MiB Mem :  15690.9 total,   6105.3 free,   7495.0 used,   3122.4 buff/cache     
6000,MiB Mem :  15690.9 total,   6097.5 free,   7502.7 used,   3118.4 buff/cache     
6000,MiB Mem :  15690.9 total,   6185.5 free,   7414.7 used,   3044.1 buff/cache     
7000,MiB Mem :  15690.9 total,   6183.4 free,   7416.8 used,   3044.1 buff/cache     
7000,MiB Mem :  15690.9 total,   6195.5 free,   7404.8 used,   3046.0 buff/cache     
7000,MiB Mem :  15690.9 total,   6186.1 free,   7414.3 used,   3048.4 buff/cache     
7000,MiB Mem :  15690.9 total,   6171.8 free,   7428.5 used,   3050.0 buff/cache     
7000,MiB Mem :  15690.9 total,   6174.4 free,   7425.9 used,   3048.0 buff/cache     
8000,MiB Mem :  15690.9 total,   6167.2 free,   7433.1 used,   3047.8 buff/cache     
8000,MiB Mem :  15690.9 total,   6170.6 free,   7429.9 used,   3047.5 buff/cache     
8000,MiB Mem :  15690.9 total,   6164.5 free,   7435.7 used,   3047.9 buff/cache     
8000,MiB Mem :  15690.9 total,   6165.1 free,   7435.2 used,   3048.1 buff/cache     
8000,MiB Mem :  15690.9 total,   6199.8 free,   7400.5 used,   3048.1 buff/cache     
9000,MiB Mem :  15690.9 total,   6193.3 free,   7406.9 used,   3047.9 buff/cache     
9000,MiB Mem :  15690.9 total,   6199.1 free,   7401.3 used,   3048.0 buff/cache     
9000,MiB Mem :  15690.9 total,   6200.5 free,   7399.7 used,   3047.9 buff/cache     
9000,MiB Mem :  15690.9 total,   6191.2 free,   7409.1 used,   3048.0 buff/cache     
9000,MiB Mem :  15690.9 total,   6193.8 free,   7406.0 used,   3048.4 buff/cache     
10000,MiB Mem :  15690.9 total,   6178.1 free,   7421.7 used,   3048.7 buff/cache     
10000,MiB Mem :  15690.9 total,   6171.7 free,   7427.9 used,   3050.6 buff/cache     
10000,MiB Mem :  15690.9 total,   6164.8 free,   7435.0 used,   3048.6 buff/cache     
10000,MiB Mem :  15690.9 total,   6178.5 free,   7421.0 used,   3042.6 buff/cache     
10000,MiB Mem :  15690.9 total,   6192.3 free,   7407.2 used,   3034.5 buff/cache     
