input,thread,free_mem,pid_mem
256,1,56617436,16384.0
256,1,56600080,15616.0
256,1,56622544,14848.0
256,1,56620792,14336.0
256,1,56626856,15872.0
256,2,56642692,13824.0
256,2,56635100,15616.0
256,2,56634000,16128.0
256,2,56639208,16640.0
256,2,56633700,12032.0
256,4,56635516,13824.0
256,4,56632440,15872.0
256,4,56648528,13056.0
256,4,56648044,16896.0
256,4,56652076,16128.0
256,8,56638100,15616.0
256,8,56643444,13824.0
256,8,56652080,16640.0
256,8,56642136,13056.0
256,8,56649428,16640.0
256,16,56648892,16128.0
256,16,56664592,14592.0
256,16,56655212,16896.0
256,16,56661196,16128.0
256,16,56654224,16384.0
256,32,56648520,15360.0
256,32,56671376,15872.0
256,32,56657020,16128.0
256,32,56668008,15104.0
256,32,56655936,16384.0
512,1,56659392,16128.0
512,1,56663764,16896.0
512,1,56668616,15872.0
512,1,56651520,16896.0
512,1,56628080,15616.0
512,2,56626168,16896.0
512,2,56634284,14336.0
512,2,56646612,13824.0
512,2,56637768,13824.0
512,2,56632280,14848.0
512,4,56636608,15616.0
512,4,56629048,15360.0
512,4,56622776,15872.0
512,4,56653952,15872.0
512,4,56656768,15872.0
512,8,56664616,15872.0
512,8,56663508,13056.0
512,8,56672176,16896.0
512,8,56670652,15360.0
512,8,56657096,15872.0
512,16,56646680,15104.0
512,16,56646868,14336.0
512,16,56635136,15360.0
512,16,56665184,13056.0
512,16,56674776,15360.0
512,32,56669232,15104.0
512,32,56673336,16896.0
512,32,56667764,14336.0
512,32,56657772,15872.0
512,32,56652876,13312.0
1024,1,56669468,15104.0
1024,1,56665916,14336.0
1024,1,56675200,16896.0
1024,1,56676328,15872.0
1024,1,56696756,16384.0
1024,2,56681676,15872.0
1024,2,56684308,15616.0
1024,2,56674360,14336.0
1024,2,56649644,15360.0
1024,2,56676708,15360.0
1024,4,56678132,13824.0
1024,4,56674096,16128.0
1024,4,56687628,17408.0
1024,4,56684952,15616.0
1024,4,56680560,15360.0
1024,8,56674408,15872.0
1024,8,56675096,17408.0
1024,8,56648924,15616.0
1024,8,56652816,16896.0
1024,8,56641660,14336.0
1024,16,56665460,14336.0
1024,16,56659208,13312.0
1024,16,56659724,16896.0
1024,16,56672672,13824.0
1024,16,56676052,16896.0
1024,32,56658188,13056.0
1024,32,56624752,16384.0
1024,32,56622528,15872.0
1024,32,56625632,15616.0
1024,32,56609980,18688.0
2048,1,56613648,12800.0
2048,1,56617132,16128.0
2048,1,56610916,15360.0
2048,1,56645864,13312.0
2048,1,56667012,16640.0
2048,2,56664536,17664.0
2048,2,56659000,15872.0
2048,2,56673268,14336.0
2048,2,56676028,15616.0
2048,2,56680256,12544.0
2048,4,56680952,15872.0
2048,4,56650152,13312.0
2048,4,56651768,13056.0
2048,4,56648140,13824.0
2048,4,56664964,14336.0
2048,8,56695700,16896.0
2048,8,56694336,16384.0
2048,8,56703656,17152.0
2048,8,56700832,16384.0
2048,8,56700992,13824.0
2048,16,56689920,14336.0
2048,16,56671940,15872.0
2048,16,56672044,11776.0
2048,16,56670396,15616.0
2048,16,56645156,15872.0
2048,32,56641448,14336.0
2048,32,56653524,16384.0
2048,32,56660264,14336.0
2048,32,56644112,18432.0
2048,32,56644804,16896.0
4096,1,56640388,14592.0
4096,1,56646068,48384.0
4096,1,56667712,16896.0
4096,1,56653772,48128.0
4096,1,56673308,16896.0
4096,1,56658508,48384.0
4096,1,56697604,18432.0
4096,1,56681616,48384.0
4096,1,56708344,16128.0
4096,1,56682972,48384.0
4096,2,56695828,12032.0
4096,2,56687520,14336.0
4096,2,56670452,15872.0
4096,2,56694416,13312.0
4096,2,56693020,16384.0
4096,4,56698192,15104.0
4096,4,56698300,13824.0
4096,4,56689092,15104.0
4096,4,56686440,13568.0
4096,4,56688648,16128.0
4096,8,56678912,13312.0
4096,8,56685196,13312.0
4096,8,56685996,15360.0
4096,8,56685220,14336.0
4096,8,56695228,14336.0
4096,16,56692688,14336.0
4096,16,56703136,15360.0
4096,16,56686328,18176.0
4096,16,56686548,16640.0
4096,16,56690508,15360.0
4096,32,56699536,13056.0
4096,32,56695876,15360.0
4096,32,56710536,16384.0
4096,32,56679128,15616.0
4096,32,56667428,17920.0
8192,1,56668620,14336.0
8192,1,56639340,54528.0
8192,1,56643556,54528.0
8192,1,56650240,54528.0
8192,1,56654720,54528.0
8192,1,56661504,54528.0
8192,1,56698860,16896.0
8192,1,56674992,54528.0
8192,1,56675144,54528.0
8192,1,56675160,54528.0
8192,1,56675496,54528.0
8192,1,56676540,54528.0
8192,1,56715616,16384.0
8192,1,56683424,54528.0
8192,1,56685488,54528.0
8192,1,56686172,54528.0
8192,1,56686860,54528.0
8192,1,56686372,54528.0
8192,1,56717784,15360.0
8192,1,56685344,55040.0
8192,1,56686096,55040.0
8192,1,56686912,55040.0
8192,1,56687184,55040.0
8192,1,56688528,55040.0
8192,1,56719452,16384.0
8192,1,56687084,54528.0
8192,1,56686848,54528.0
8192,1,56686464,54528.0
8192,1,56687536,54528.0
8192,1,56689736,54528.0
8192,2,56722352,20480.0
8192,2,56681028,54784.0
8192,2,56681748,54784.0
8192,2,56713304,13312.0
8192,2,56671884,54784.0
8192,2,56672264,54784.0
8192,2,56673788,
8192,2,56682348,16896.0
8192,2,56659380,54784.0
8192,2,56659516,55040.0
