input,free_mem,pid_mem
16384,56908036,45312
16384,56909100,45312
16384,56908876,45312
16384,56909248,45568
16384,56910140,45568
16384,56906680,45568
16384,56906328,45568
16384,56907152,45568
16384,56906452,45824
16384,56905948,45824
16384,56902460,45824
16384,56902712,45824
16384,56898948,46080
16384,56900288,46080
16384,56901536,46080
16384,56902816,46336
16384,56899728,46592
256,56324708,24832
256,56326940,15360
256,56312648,15360
256,56315132,16384
256,56296692,15360
512,56274068,14336
512,56279988,15616
512,56299888,15616
512,56292324,15360
512,56276468,14592
1024,56287052,15360
1024,56291724,15360
1024,56286632,14336
1024,56301824,14336
1024,56293944,13568
2048,56291180,15360
2048,56300520,13056
2048,56303548,16896
2048,56296632,13824
2048,56308344,14336
4096,56293300,14080
4096,56275128,45056
4096,56275400,45056
4096,56304612,16896
4096,56281224,45056
4096,56282256,45056
4096,56303468,12032
4096,56285508,45056
4096,56292728,45056
4096,56313676,16384
4096,56282544,44544
4096,56286184,44544
4096,56310436,15360
4096,56286956,45056
4096,56289400,45056
8192,56314360,13056
8192,56297188,45056
8192,56296224,45312
8192,56297212,45312
8192,56298720,45312
8192,56300056,45312
8192,56301148,45312
8192,56299600,45312
8192,56300968,45312
8192,56301688,45312
8192,56303844,45312
8192,56306660,45312
8192,56333524,14336
8192,56308660,45056
8192,56311184,45056
8192,56312284,45056
8192,56312796,45056
8192,56309620,45056
8192,56310840,45056
8192,56312308,45056
8192,56313380,45056
8192,56314692,45056
8192,56314980,45056
8192,56316936,45056
8192,56341036,15360
8192,56317024,45056
8192,56316540,45056
8192,56316848,45056
8192,56314716,45056
8192,56316084,45056
8192,56314780,45056
8192,56314588,45056
8192,56303988,45056
8192,56305512,45056
8192,56306828,45056
8192,56308820,45056
8192,56333196,13312
8192,56314828,45312
8192,56314940,45312
8192,56316528,45312
8192,56316528,45312
8192,56316976,45312
8192,56316364,45312
8192,56316616,45312
8192,56317876,45312
8192,56317844,45312
8192,56319832,45312
8192,56318224,45312
8192,56330084,15872
8192,56315604,45568
8192,56324608,45568
8192,56325364,45568
8192,56320092,45568
8192,56319788,45568
8192,56320240,45568
8192,56322040,45568
8192,56322052,45568
8192,56319144,45568
8192,56319396,45568
8192,56320944,45568
16384,56341988,14336
16384,56325356,44800
16384,56320936,44800
16384,56321412,44800
16384,56322432,44800
16384,56322948,44800
16384,56323368,44800
16384,56322816,44800
16384,56321652,44800
16384,56322408,44800
16384,56323048,44800
16384,56303608,44800
16384,56313184,44800
16384,56313436,44800
16384,56314224,44800
16384,56355452,44800
16384,56786960,44800
16384,56785476,44800
16384,56786312,44800
16384,56786376,44800
16384,56786376,44800
16384,56782456,44800
16384,56782232,44800
16384,56782232,44800
16384,56782428,44800
16384,56782280,44800
16384,56782396,44800
16384,56782200,44800
16384,56781948,44800
16384,56783208,44800
16384,56783336,44800
16384,56783256,44800
16384,56783760,44800
16384,56783768,44800
16384,56783536,44800
16384,56784288,44800
16384,56784216,44800
16384,56791164,44800
16384,56791744,44800
16384,56792248,44800
16384,56792752,44800
16384,56792504,44800
16384,56792616,44800
16384,56792616,44800
16384,56792948,44800
16384,56811404,13824
16384,56794964,45312
16384,56795232,45312
16384,56796344,45312
16384,56796092,45312
16384,56796344,45312
16384,56796376,45312
16384,56795876,45312
16384,56796320,45312
16384,56796768,45312
16384,56796768,45312
16384,56796812,45312
16384,56797064,45312
16384,56797064,45312
16384,56797212,45312
16384,56796960,45312
16384,56796708,45312
16384,56796540,45312
16384,56796820,45312
16384,56796612,45312
16384,56796956,45312
16384,56797124,45312
16384,56797800,45312
16384,56797548,45312
16384,56797396,45312
16384,56798152,45312
16384,56797680,45312
16384,56798040,45312
16384,56798272,45312
16384,56798704,45312
16384,56799456,45312
16384,56800056,45312
16384,56799984,45312
16384,56799984,45312
16384,56801396,45312
16384,56801844,45312
16384,56801844,45312
16384,56802472,45312
16384,56802932,45312
16384,56802192,45312
16384,56803040,45312
16384,56803116,45312
16384,56803624,45312
16384,56804160,45312
16384,56804288,45312
16384,56819648,17152
16384,56796040,45056
16384,56796436,45056
16384,56796016,45056
16384,56796444,45056
16384,56796204,45056
16384,56796160,45056
16384,56796700,45056
16384,56799020,45056
16384,56799336,45056
16384,56801040,45056
16384,56801940,45056
16384,56802368,45056
16384,56801076,45056
16384,56801452,45056
16384,56801704,45056
16384,56801956,45056
16384,56802208,45056
16384,56802208,45056
16384,56802472,45056
16384,56802256,45056
16384,56802760,45056
16384,56802920,45056
16384,56803340,45056
16384,56804256,45056
16384,56804256,45056
16384,56804620,45056
16384,56804728,45056
16384,56804672,45056
16384,56803716,45056
16384,56804200,45056
16384,56803752,45056
16384,56803332,45056
16384,56803624,45056
16384,56803736,45056
16384,56804008,45056
16384,56803520,45056
16384,56803672,45056
16384,56800664,45056
16384,56800664,45056
16384,56801364,45056
16384,56801536,45056
16384,56801288,45056
16384,56801980,45056
16384,56802008,45056
16384,56831524,15616
16384,56806848,44544
16384,56806848,44544
16384,56807872,44544
16384,56806988,44544
16384,56807384,44544
16384,56806948,44544
16384,56806712,44544
16384,56807408,44544
16384,56808952,44544
16384,56812076,44544
16384,56812884,44544
