input,thread,free_mem,pid_mem
16384,1,51751140,171848.0
16384,1,51750636,172872.0
16384,1,51742064,172872.0
16384,1,52488288,172872.0
16384,1,52428816,172872.0
16384,1,52354164,172872.0
16384,1,52265268,172872.0
16384,1,52130696,172872.0
16384,1,52095232,172872.0
16384,1,52054732,172872.0
16384,1,52041848,172872.0
16384,1,51997908,172872.0
16384,1,51984476,172872.0
256,1,51924268,25600.0
16384,1,51918200,172872.0
256,1,51937748,16128.0
16384,1,51921368,172872.0
256,2,51939488,15616.0
16384,1,51922888,172872.0
256,2,51940256,16640.0
16384,1,51923908,172872.0
256,4,51935552,15872.0
16384,1,51934036,172872.0
256,4,51961208,16384.0
16384,1,51961208,172872.0
16384,1,51965524,172872.0
256,8,51965524,16128.0
16384,1,51950612,179180.0
256,8,51956404,13312.0
16384,1,51969008,175584.0
256,16,51968032,13568.0
16384,1,51968868,175584.0
256,16,51968112,14848.0
16384,1,51929308,175584.0
256,32,51926036,15360.0
16384,1,51922340,175584.0
256,32,51920072,16128.0
16384,1,51944216,175584.0
512,1,51943712,14336.0
16384,1,51946292,175584.0
512,1,51943772,16384.0
512,2,52099236,14080.0
512,2,52107928,16128.0
512,4,52081576,17408.0
512,4,52085024,16128.0
512,8,52119968,14080.0
512,8,52130168,16640.0
512,16,52147472,15872.0
512,16,52148380,13312.0
512,32,52146140,13568.0
512,32,52142248,12032.0
1024,1,52147832,16896.0
1024,1,52133976,16384.0
1024,2,52115932,14848.0
1024,2,52122340,16128.0
1024,4,52127184,16896.0
1024,4,52136112,16896.0
1024,8,52141164,15616.0
1024,8,52138312,16896.0
1024,16,52139744,16896.0
1024,16,52143512,16640.0
1024,32,52137480,16896.0
1024,32,52128884,16128.0
2048,1,52126332,21504.0
2048,1,52091844,56300.0
2048,1,52114524,15872.0
2048,1,52085148,57340.0
2048,2,52118740,14592.0
2048,2,52118896,16640.0
2048,4,52106284,14848.0
2048,4,52109616,15872.0
2048,8,52130280,16896.0
2048,8,52110704,16128.0
2048,16,52126712,16640.0
2048,16,52126024,14336.0
2048,32,52132896,16384.0
2048,32,52141856,18944.0
4096,1,52149312,11776.0
4096,1,52113120,54528.0
4096,1,52110312,60492.0
4096,1,52113392,63308.0
4096,1,52116856,73772.0
4096,1,52158652,16896.0
4096,1,52123804,55224.0
4096,1,52123196,60316.0
4096,1,52116768,63132.0
4096,1,52111984,74240.0
4096,2,52173928,13824.0
4096,2,52139116,64896.0
4096,2,52125236,74880.0
4096,2,52173956,17152.0
4096,2,52137060,66580.0
4096,2,52121032,77076.0
4096,4,52175040,16640.0
4096,4,52098892,85136.0
4096,4,52143044,16640.0
4096,4,52071184,90204.0
4096,8,52138332,16640.0
4096,8,52144236,16896.0
4096,16,52118956,17408.0
4096,16,52111804,15872.0
4096,32,52068448,17408.0
4096,32,52067184,16384.0
8192,1,52063772,16640.0
8192,1,52042316,53248.0
8192,1,52029208,69760.0
8192,1,52026252,71552.0
8192,1,52032524,73344.0
8192,1,52042032,72860.0
8192,1,52050128,75164.0
8192,1,52050312,77724.0
8192,1,52052336,80540.0
8192,1,52057964,83356.0
8192,1,52053832,85916.0
8192,1,52059780,87964.0
8192,1,52063236,91804.0
8192,1,52064688,93596.0
8192,1,52060692,101532.0
8192,1,52062360,104840.0
8192,1,52142092,16640.0
8192,1,52115260,52736.0
8192,1,52099800,66648.0
8192,1,52101356,68440.0
8192,1,52095184,70232.0
8192,1,52096576,72024.0
8192,1,52099408,74328.0
8192,1,52101108,76888.0
8192,1,52095492,79704.0
8192,1,52094724,82520.0
8192,1,52089724,85080.0
8192,1,52090732,86872.0
8192,1,52083296,88920.0
8192,1,52084208,90712.0
8192,1,52076740,100184.0
8192,1,52076992,104956.0
8192,2,52158596,16640.0
8192,2,52110312,71480.0
8192,2,52102320,80440.0
8192,2,52098940,85816.0
8192,2,52084884,92728.0
8192,2,52086332,98572.0
8192,2,52073344,106252.0
8192,2,52075788,114956.0
8192,2,52157960,16896.0
8192,2,52125752,70704.0
8192,2,52117504,79920.0
8192,2,52115276,85296.0
8192,2,52103760,91952.0
8192,2,52086436,99888.0
8192,2,52088260,105776.0
8192,2,52078528,114992.0
8192,4,52171292,16896.0
8192,4,52127892,85452.0
8192,4,52093112,118840.0
8192,4,52069896,133824.0
8192,4,52062280,147136.0
8192,4,52169904,16640.0
8192,4,52116760,86112.0
8192,4,52095396,103776.0
8192,4,52078780,113248.0
8192,4,52066052,131424.0
8192,4,52040116,
8192,8,52158952,16640.0
8192,8,52050992,136036.0
8192,8,52027236,170852.0
8192,8,52145820,17152.0
8192,8,52029244,142344.0
8192,8,51998624,173064.0
8192,16,52150448,16896.0
8192,16,52007060,165356.0
8192,16,52129248,16896.0
8192,16,51997736,169872.0
8192,32,52120208,16384.0
8192,32,52127800,17664.0
16384,1,52124824,16896.0
16384,1,52086532,51968.0
16384,1,52083972,55296.0
16384,1,52076160,58112.0
16384,1,52078804,62444.0
16384,1,52071748,71692.0
16384,1,52066780,79884.0
16384,1,52060832,91660.0
16384,1,52055340,100876.0
16384,1,52049328,102412.0
16384,1,52050840,101328.0
16384,1,52053248,102864.0
16384,1,52054528,104656.0
16384,1,52057572,106192.0
16384,1,52052020,107984.0
16384,1,52052584,109520.0
16384,1,52055340,111312.0
16384,1,52055644,113104.0
16384,1,52057620,114896.0
16384,1,52050096,116432.0
16384,1,52050900,118480.0
16384,1,52051984,120272.0
16384,1,52052744,122320.0
16384,1,52046984,127672.0
16384,1,52050032,129976.0
16384,1,52049528,131224.0
16384,1,52041968,133528.0
16384,1,52044368,136088.0
16384,1,52045632,138648.0
16384,1,52048152,141208.0
16384,1,52044120,144024.0
16384,1,52045252,146840.0
16384,1,52039796,149656.0
16384,1,52033928,169368.0
16384,1,52034292,171928.0
16384,1,52037224,172952.0
16384,1,52038616,172952.0
16384,1,52038092,172952.0
16384,1,52038968,172952.0
16384,1,52038948,172952.0
16384,1,52039560,172952.0
16384,1,52040360,172952.0
16384,1,52040424,172952.0
16384,1,52040512,172952.0
16384,1,52040532,172952.0
16384,1,52040284,172952.0
16384,1,52041316,172952.0
16384,1,52041736,172952.0
16384,1,52041872,172952.0
16384,1,52041620,172952.0
16384,1,52040864,172952.0
16384,1,52040864,172952.0
16384,1,52042088,172952.0
16384,1,52042340,172952.0
16384,1,52037048,176764.0
16384,1,52036292,176764.0
16384,1,52037060,176764.0
16384,1,52043240,176764.0
16384,1,52042488,176764.0
16384,1,52042672,176764.0
16384,1,52043176,176764.0
16384,1,52201636,16384.0
16384,1,52170392,52224.0
16384,1,52166612,55552.0
16384,1,52157792,58624.0
16384,1,52156824,62684.0
16384,1,52146392,71440.0
16384,1,52138328,79632.0
16384,1,52130272,91408.0
16384,1,52122460,100624.0
16384,1,52114348,102416.0
16384,1,52115608,101344.0
16384,1,52115448,102880.0
16384,1,52115196,104672.0
16384,1,52115452,106208.0
16384,1,52108288,108000.0
16384,1,52107912,109536.0
16384,1,52108416,111328.0
16384,1,52109412,112864.0
16384,1,52110228,114656.0
16384,1,52102444,116448.0
16384,1,52104768,118240.0
16384,1,52105272,120032.0
16384,1,52106164,122080.0
16384,1,52096984,129248.0
16384,1,52097320,131296.0
16384,1,52098604,132596.0
