05-18 19:49:42,0,256,1,49912312,15104
05-18 19:49:43,1,256,1,49890624,17408
05-18 19:49:45,2,256,1,49909048,16128
05-18 19:49:46,3,256,1,49904928,13056
05-18 19:49:47,4,256,1,49893872,16896
05-18 19:49:48,0,256,2,49886084,17408
05-18 19:49:49,1,256,2,49893924,17152
05-18 19:49:50,2,256,2,49891732,16896
05-18 19:49:51,3,256,2,49901636,17152
05-18 19:49:52,4,256,2,49891916,16640
05-18 19:49:53,0,256,4,49880788,17152
05-18 19:49:54,1,256,4,49867100,17408
05-18 19:49:55,2,256,4,49883636,15872
05-18 19:49:56,3,256,4,49868628,16896
05-18 19:49:57,4,256,4,49835008,16128
05-18 19:49:58,0,256,8,49842356,16896
05-18 19:49:59,1,256,8,49863144,16896
05-18 19:50:00,2,256,8,49861944,17152
05-18 19:50:01,3,256,8,49861280,16896
05-18 19:50:02,4,256,8,49860412,16640
05-18 19:50:03,0,256,16,49863636,16896
05-18 19:50:04,1,256,16,49849296,16896
05-18 19:50:05,2,256,16,49842944,16384
05-18 19:50:06,3,256,16,49826028,17152
05-18 19:50:07,4,256,16,49824928,19968
05-18 19:50:08,0,256,32,49832736,18944
05-18 19:50:09,1,256,32,49831800,16384
05-18 19:50:10,2,256,32,49855088,16384
05-18 19:50:11,3,256,32,49839140,16896
05-18 19:50:12,4,256,32,49835460,14848
05-18 19:50:13,0,512,1,49830800,17152
05-18 19:50:14,1,512,1,49836868,16896
05-18 19:50:15,2,512,1,49837424,17920
05-18 19:50:16,3,512,1,49820200,17152
05-18 19:50:17,4,512,1,49843340,14336
05-18 19:50:18,0,512,2,49854552,16896
05-18 19:50:19,1,512,2,49842944,16384
05-18 19:50:20,2,512,2,49865436,16640
05-18 19:50:21,3,512,2,49849012,16896
05-18 19:50:23,4,512,2,49859056,15616
05-18 19:50:24,0,512,4,49861928,16896
05-18 19:50:25,1,512,4,49858324,17152
05-18 19:50:26,2,512,4,49865676,16128
05-18 19:50:27,3,512,4,49871768,16896
05-18 19:50:28,4,512,4,49871804,16896
05-18 19:50:29,0,512,8,49863872,16896
05-18 19:50:30,1,512,8,49863944,16384
05-18 19:50:31,2,512,8,49867588,16896
05-18 19:50:32,3,512,8,49873796,16384
05-18 19:50:33,4,512,8,49870828,15872
05-18 19:50:34,0,512,16,49856396,16896
05-18 19:50:35,1,512,16,49853564,19968
05-18 19:50:36,2,512,16,49856676,16896
05-18 19:50:37,3,512,16,49862456,17152
05-18 19:50:38,4,512,16,49864824,18688
05-18 19:50:39,0,512,32,49864372,15616
05-18 19:50:40,1,512,32,49846576,15872
05-18 19:50:41,2,512,32,49869896,15360
05-18 19:50:42,3,512,32,49875936,17408
05-18 19:50:43,4,512,32,49873020,16896
05-18 19:50:44,0,1024,1,49856184,16640
05-18 19:50:45,1,1024,1,49855976,16896
05-18 19:50:46,2,1024,1,49856732,16896
05-18 19:50:47,3,1024,1,49856300,16896
05-18 19:50:48,4,1024,1,49845176,18688
05-18 19:50:49,0,1024,2,49865276,17920
05-18 19:50:50,1,1024,2,49873196,15616
05-18 19:50:51,2,1024,2,49877884,16896
05-18 19:50:52,3,1024,2,49880952,17664
05-18 19:50:53,4,1024,2,49885552,17152
05-18 19:50:54,0,1024,4,49880672,17408
05-18 19:50:55,1,1024,4,49883168,13568
05-18 19:50:56,2,1024,4,49869020,17408
05-18 19:50:57,3,1024,4,49889632,16128
05-18 19:50:58,4,1024,4,49884024,17408
05-18 19:50:59,0,1024,8,49883500,16896
05-18 19:51:00,1,1024,8,49857172,15872
05-18 19:51:02,2,1024,8,49844608,16896
05-18 19:51:03,3,1024,8,49854068,15616
05-18 19:51:04,4,1024,8,49847136,16640
05-18 19:51:05,0,1024,16,49844840,16640
05-18 19:51:06,1,1024,16,49842856,17920
05-18 19:51:07,2,1024,16,49852344,17920
05-18 19:51:08,3,1024,16,49844884,16640
05-18 19:51:09,4,1024,16,49847876,16640
05-18 19:51:10,0,1024,32,49870056,16640
05-18 19:51:11,1,1024,32,49875984,17920
05-18 19:51:12,2,1024,32,49880992,19456
05-18 19:51:13,3,1024,32,49883552,15616
05-18 19:51:14,4,1024,32,49858720,16128
05-18 19:51:15,0,2048,1,49878164,17152
05-18 19:51:16,1,2048,1,49875736,16896
05-18 19:51:17,2,2048,1,49875548,19968
05-18 19:51:18,3,2048,1,49868224,15104
05-18 19:51:19,4,2048,1,49868192,16384
