input,total_mem,free_mem,pid_mem
1,131680096,70689172,26112.0
1,131680096,70659452,72448.0
1,131680096,70676800,19200.0
1,131680096,70642732,75844.0
1,131680096,70695252,17152.0
1,131680096,70634908,78832.0
1,131680096,70690928,17152.0
1,131680096,70627624,77280.0
1,131680096,70675588,16896.0
1,131680096,70620128,77544.0
2,131680096,70654328,18432.0
2,131680096,70651236,18176.0
2,131680096,70660956,18944.0
2,131680096,70656200,17408.0
2,131680096,70659040,18688.0
4,131680096,70664016,17664.0
4,131680096,70651876,18944.0
4,131680096,70633544,17920.0
4,131680096,70652840,18944.0
4,131680096,70659704,17920.0
8,131680096,70659840,18176.0
8,131680096,70649800,17664.0
8,131680096,70609168,18432.0
8,131680096,70618940,17664.0
8,131680096,70602216,17920.0
16,131680096,70623052,18176.0
16,131680096,70613136,16640.0
16,131680096,70602136,19200.0
16,131680096,70595308,21504.0
16,131680096,70551352,16896.0
32,131680096,70564680,16640.0
32,131680096,70598488,20224.0
32,131680096,70618644,18944.0
32,131680096,70632036,20224.0
32,131680096,70649668,18944.0
1,131680096,70655700,19712.0
1,131680096,70616304,67536.0
1,131680096,70602568,81104.0
1,131680096,70607808,93036.0
1,131680096,70651592,18944.0
1,131680096,70615816,67164.0
1,131680096,70607684,80988.0
1,131680096,70595012,93788.0
1,131680096,70656320,18432.0
1,131680096,70616492,69168.0
1,131680096,70605452,82480.0
1,131680096,70607932,95024.0
1,131680096,70679344,16640.0
1,131680096,70641672,69556.0
1,131680096,70633164,82868.0
1,131680096,70620592,95736.0
1,131680096,70666108,17408.0
1,131680096,70622872,67524.0
1,131680096,70617148,81348.0
1,131680096,70609028,94148.0
2,131680096,70675716,16896.0
2,131680096,70628496,72292.0
2,131680096,70670768,16896.0
2,131680096,70626900,78880.0
2,131680096,70675744,16896.0
2,131680096,70625020,76752.0
2,131680096,70670848,16640.0
2,131680096,70629756,75416.0
2,131680096,70672676,16896.0
2,131680096,70623916,79132.0
4,131680096,70661264,18432.0
4,131680096,70595180,98388.0
4,131680096,70673144,17152.0
4,131680096,70581308,98288.0
4,131680096,70662376,18944.0
4,131680096,70602252,95764.0
4,131680096,70651252,17408.0
4,131680096,70575500,96428.0
4,131680096,70644848,16896.0
4,131680096,70587680,96968.0
8,131680096,70655496,18432.0
8,131680096,70669476,16896.0
8,131680096,70664452,17408.0
8,131680096,70631728,16896.0
8,131680096,70693404,19200.0
16,131680096,70650288,18432.0
16,131680096,70662260,16896.0
16,131680096,70668020,16640.0
16,131680096,70662628,16384.0
16,131680096,70649356,16128.0
32,131680096,70630988,16640.0
32,131680096,70663272,18176.0
32,131680096,70693416,19712.0
32,131680096,70699044,16640.0
32,131680096,70696168,17664.0
1,131680096,70705976,16896.0
1,131680096,70666456,66048.0
1,131680096,70657504,76288.0
1,131680096,70653624,84736.0
1,131680096,70651264,93696.0
1,131680096,70655924,100192.0
1,131680096,70648512,
1,131680096,70724668,17408.0
1,131680096,70688788,63156.0
1,131680096,70679940,73396.0
1,131680096,70670148,81588.0
1,131680096,70672216,90548.0
1,131680096,70664400,98484.0
1,131680096,70655344,106420.0
1,131680096,70734952,16896.0
1,131680096,70708208,63748.0
1,131680096,70693932,74244.0
1,131680096,70686444,82180.0
1,131680096,70686176,91140.0
1,131680096,70680672,97368.0
1,131680096,70679960,106840.0
1,131680096,70764472,18688.0
1,131680096,70737404,64164.0
