input,thread,free_mem,pid_mem
1000,1,100445736,14848.0
1000,1,100394716,77448.0
1000,1,100441500,13568.0
1000,1,100406848,77492.0
1000,1,100446884,15616.0
1000,1,100399860,77808.0
1000,1,100432020,13056.0
1000,1,100380988,75932.0
1000,1,100408444,13312.0
1000,1,100384320,76636.0
1000,2,100443080,13312.0
1000,2,100443352,14336.0
1000,2,100442232,15872.0
1000,2,100406024,15616.0
1000,2,100421588,13824.0
1000,4,100439344,14848.0
1000,4,100437912,15616.0
1000,4,100434384,14336.0
1000,4,100415896,15360.0
1000,4,100409592,17152.0
1000,8,100374924,15616.0
1000,8,100377852,11776.0
1000,8,100415464,16640.0
1000,8,100413976,16128.0
1000,8,100420900,15360.0
1000,16,100434792,16896.0
1000,16,100432796,11776.0
1000,16,100416160,16640.0
1000,16,100430844,13312.0
1000,16,100427456,13056.0
1000,32,100383632,13824.0
1000,32,100377100,14336.0
1000,32,100393040,13056.0
1000,32,100394632,15104.0
1000,32,100408176,14336.0
2000,1,100406668,13056.0
2000,1,100367252,68560.0
2000,1,100354784,85456.0
2000,1,100347164,97232.0
2000,1,100418556,13824.0
2000,1,100387756,67072.0
2000,1,100376056,83712.0
2000,1,100366360,96000.0
2000,1,100426712,14336.0
2000,1,100393248,66928.0
2000,1,100376088,83312.0
2000,1,100367216,94744.0
2000,1,100436884,15104.0
2000,1,100395344,68140.0
2000,1,100373348,84268.0
2000,1,100362020,97564.0
2000,1,100426940,15360.0
2000,1,100393240,67060.0
2000,1,100370060,82932.0
2000,1,100362024,95988.0
2000,2,100437396,16384.0
2000,2,100384032,77156.0
2000,2,100421976,15360.0
2000,2,100378220,76476.0
2000,2,100420140,13312.0
2000,2,100384228,78148.0
2000,2,100419408,13056.0
2000,2,100368812,76952.0
2000,2,100393444,15104.0
2000,2,100335620,74928.0
2000,4,100379356,14336.0
2000,4,100339824,95072.0
2000,4,100408924,16128.0
2000,4,100342460,96392.0
2000,4,100405620,15616.0
2000,4,100349676,93364.0
2000,4,100388284,14336.0
2000,4,100360316,92496.0
2000,4,100412088,15616.0
2000,4,100368348,89956.0
2000,8,100423444,16384.0
2000,8,100428948,16896.0
2000,8,100407276,16128.0
2000,8,100419100,15104.0
2000,8,100400028,14336.0
2000,16,100397540,16128.0
2000,16,100424348,18944.0
2000,16,100421928,16896.0
2000,16,100415884,15872.0
2000,16,100418864,16896.0
2000,32,100420100,15872.0
2000,32,100421340,15360.0
2000,32,100430392,12032.0
2000,32,100419032,11776.0
2000,32,100409140,16896.0
3000,1,100424116,12032.0
3000,1,100376948,61368.0
3000,1,100359412,73672.0
3000,1,100354264,81608.0
3000,1,100353924,90056.0
3000,1,100339824,101320.0
3000,1,100333500,109512.0
3000,1,100401324,15872.0
3000,1,100386964,61360.0
3000,1,100374616,74160.0
3000,1,100364516,81840.0
3000,1,100364444,90288.0
3000,1,100351120,101552.0
3000,1,100343856,108732.0
3000,1,100430612,14848.0
3000,1,100393824,67120.0
3000,1,100375176,79408.0
3000,1,100375104,87600.0
3000,1,100364116,96236.0
3000,1,100355776,107500.0
3000,1,100349892,113764.0
3000,1,100435108,13312.0
3000,1,100402824,62004.0
3000,1,100383172,74036.0
3000,1,100383896,82228.0
3000,1,100373772,91444.0
3000,1,100358712,103220.0
3000,1,100351004,110948.0
3000,1,100434752,16640.0
3000,1,100401280,62220.0
3000,1,100381760,74048.0
3000,1,100371936,82496.0
3000,1,100360688,91456.0
3000,1,100348004,102976.0
3000,1,100338600,111424.0
3000,2,100422784,14336.0
3000,2,100377532,71680.0
3000,2,100344880,94208.0
3000,2,100336068,111104.0
3000,2,100418288,16896.0
3000,2,100375080,74652.0
3000,2,100341380,94620.0
3000,2,100336096,112284.0
3000,2,100400704,15104.0
3000,2,100359976,71004.0
3000,2,100338052,91528.0
3000,2,100329868,108424.0
3000,2,100407192,17152.0
3000,2,100372888,70460.0
3000,2,100348448,91008.0
3000,2,100340888,108672.0
3000,2,100425508,14336.0
3000,2,100397152,68000.0
3000,2,100371200,89248.0
3000,2,100362940,106144.0
3000,4,100426848,17152.0
3000,4,100382524,83112.0
3000,4,100422756,15360.0
3000,4,100383724,79320.0
3000,4,100435928,16896.0
3000,4,100385708,86180.0
3000,4,100436632,12032.0
3000,4,100391160,84128.0
3000,4,100443816,16896.0
3000,4,100396068,83464.0
3000,8,100442248,12032.0
3000,8,100388940,113232.0
3000,8,100467004,15616.0
3000,8,100371824,109976.0
3000,8,100433856,15872.0
3000,8,100349940,111372.0
3000,8,100426928,16896.0
3000,8,100335952,120136.0
3000,8,100418640,15872.0
3000,8,100358668,113360.0
3000,16,100421092,16640.0
3000,16,100422888,15872.0
3000,16,100434540,13824.0
3000,16,100418788,14592.0
3000,16,100403648,13056.0
3000,32,100396640,16128.0
3000,32,100396812,13312.0
3000,32,100410032,16128.0
3000,32,100397400,16896.0
3000,32,100410084,16384.0
4000,1,100424564,14080.0
4000,1,100393052,62824.0
4000,1,100385652,73320.0
4000,1,100369260,79464.0
4000,1,100369740,85652.0
4000,1,100358904,93588.0
4000,1,100358076,99732.0
4000,1,100353956,106900.0
4000,1,100341176,113556.0
4000,1,100340420,119700.0
4000,1,100332744,122848.0
4000,1,100424188,13312.0
4000,1,100400336,64388.0
4000,1,100384096,74628.0
4000,1,100379524,80772.0
4000,1,100379524,87428.0
4000,1,100370820,95620.0
4000,1,100364256,99168.0
4000,1,100367308,105568.0
4000,1,100361400,111968.0
4000,1,100359384,118368.0
4000,1,100352076,124440.0
4000,1,100450552,16896.0
4000,1,100419408,65976.0
4000,1,100407724,76728.0
4000,1,100399244,83128.0
4000,1,100389644,89272.0
4000,1,100384072,92860.0
4000,1,100378880,99004.0
4000,1,100370928,106684.0
4000,1,100363376,113340.0
4000,1,100364704,119996.0
4000,1,100357560,125900.0
4000,1,100461404,11776.0
4000,1,100433852,64932.0
4000,1,100425592,75428.0
4000,1,100415700,81572.0
4000,1,100413704,87860.0
4000,1,100405920,96052.0
4000,1,100400208,99880.0
4000,1,100396476,107560.0
4000,1,100389228,113960.0
4000,1,100389328,120360.0
4000,1,100383472,125524.0
4000,1,100476524,15360.0
4000,1,100438192,65924.0
4000,1,100423272,75908.0
4000,1,100421096,82052.0
4000,1,100413348,88360.0
4000,1,100403512,96808.0
4000,1,100395788,102556.0
4000,1,100394272,109468.0
4000,1,100383200,115612.0
4000,1,100375648,122268.0
4000,1,100376088,126356.0
4000,2,100475696,15360.0
4000,2,100429628,68300.0
4000,2,100413044,84940.0
4000,2,100391444,97996.0
4000,2,100375580,114124.0
4000,2,100363552,126924.0
4000,2,100459168,13056.0
4000,2,100428208,69680.0
4000,2,100404680,85296.0
4000,2,100392152,97992.0
4000,2,100385924,113608.0
4000,2,100361316,125896.0
4000,2,100461720,16128.0
4000,2,100422124,64564.0
4000,2,100406020,80692.0
4000,2,100389892,93680.0
4000,2,100367968,108784.0
4000,2,100357900,121840.0
4000,2,100445780,15616.0
4000,2,100417096,67320.0
4000,2,100405772,82680.0
4000,2,100386468,95748.0
4000,2,100367332,111108.0
4000,2,100357180,123908.0
4000,2,100455744,13568.0
4000,2,100419456,66724.0
4000,2,100401304,83620.0
4000,2,100381052,97188.0
4000,2,100366956,112804.0
4000,2,100355492,125860.0
4000,4,100446056,13312.0
4000,4,100399536,78404.0
4000,4,100367880,107332.0
4000,4,100437736,11776.0
4000,4,100402400,77696.0
4000,4,100377444,105792.0
4000,4,100440964,15360.0
4000,4,100392348,76428.0
4000,4,100359124,104676.0
4000,4,100393668,16896.0
4000,4,100355712,82716.0
4000,4,100336364,112412.0
4000,4,100407236,16896.0
4000,4,100370944,76268.0
4000,4,100339928,104808.0
4000,8,100409644,15104.0
4000,8,100346996,99448.0
4000,8,100427700,16128.0
4000,8,100366280,97508.0
4000,8,100419280,17152.0
4000,8,100351008,101048.0
4000,8,100419808,17920.0
4000,8,100362044,101588.0
4000,8,100374488,11776.0
4000,8,100324048,100104.0
4000,16,100383576,14592.0
4000,16,100303456,117612.0
4000,16,100378000,11520.0
4000,16,100300524,121012.0
4000,16,100384240,16128.0
4000,16,100295136,130724.0
4000,16,100397944,14336.0
4000,16,100338212,119792.0
4000,16,100424772,14336.0
4000,16,100327352,113440.0
4000,32,100384896,11776.0
4000,32,100395248,14848.0
4000,32,100408376,13312.0
4000,32,100389368,13056.0
4000,32,100385908,11008.0
5000,1,100392368,13056.0
5000,1,100375616,61888.0
5000,1,100378688,68032.0
5000,1,100375564,73920.0
5000,1,100367752,79040.0
5000,1,100369916,83764.0
5000,1,100360944,88472.0
5000,1,100363232,93848.0
5000,1,100355140,98456.0
5000,1,100356244,103832.0
5000,1,100345252,109208.0
5000,1,100347656,113816.0
5000,1,100338608,119192.0
5000,1,100340260,124568.0
5000,1,100333920,129432.0
5000,1,100333304,134552.0
5000,1,100440444,15360.0
5000,1,100396556,60776.0
5000,1,100394368,67432.0
5000,1,100388520,72808.0
5000,1,100390804,78184.0
5000,1,100383096,84236.0
5000,1,100382880,86904.0
5000,1,100379576,92280.0
5000,1,100370004,97656.0
5000,1,100371452,103288.0
5000,1,100363940,107832.0
5000,1,100367172,113208.0
5000,1,100358736,118584.0
5000,1,100360216,124216.0
5000,1,100352528,128824.0
5000,1,100351772,134456.0
5000,1,100458308,14336.0
5000,1,100430140,62828.0
5000,1,100424808,68972.0
5000,1,100414388,74604.0
5000,1,100415352,79468.0
5000,1,100410540,84192.0
5000,1,100406604,87052.0
5000,1,100395532,92172.0
5000,1,100395276,96780.0
5000,1,100387484,102412.0
5000,1,100387292,107084.0
5000,1,100379768,111948.0
5000,1,100378576,117324.0
5000,1,100379532,122188.0
5000,1,100372372,126796.0
5000,1,100367492,132172.0
5000,1,100473928,15360.0
5000,1,100429420,63000.0
5000,1,100425856,68888.0
5000,1,100424928,74264.0
5000,1,100420416,79896.0
5000,1,100417004,84760.0
5000,1,100408456,88588.0
5000,1,100399732,93964.0
5000,1,100390956,98572.0
5000,1,100390376,103948.0
5000,1,100381452,106964.0
5000,1,100381980,111572.0
5000,1,100372524,116948.0
5000,1,100369856,122324.0
5000,1,100362068,127188.0
5000,1,100362116,132308.0
5000,1,100460960,14336.0
5000,1,100428228,63184.0
5000,1,100423280,69328.0
5000,1,100415432,74960.0
5000,1,100415528,80080.0
5000,1,100407368,84944.0
5000,1,100405512,88056.0
5000,1,100396536,93432.0
5000,1,100395684,98296.0
5000,1,100386396,103928.0
5000,1,100385572,108608.0
5000,1,100377976,113472.0
5000,1,100376252,118848.0
5000,1,100367972,124480.0
5000,1,100369104,128832.0
5000,1,100357684,134208.0
5000,2,100469952,14336.0
5000,2,100433712,63540.0
5000,2,100425440,76596.0
5000,2,100406080,87084.0
5000,2,100407480,99884.0
5000,2,100387940,110380.0
5000,2,100379884,119152.0
5000,2,100359788,129904.0
5000,2,100471840,15360.0
5000,2,100432920,66792.0
5000,2,100423168,79592.0
5000,2,100411172,89928.0
5000,2,100405312,102728.0
5000,2,100387464,113224.0
5000,2,100385368,121024.0
5000,2,100370664,131776.0
5000,2,100466844,16640.0
5000,2,100430416,67840.0
5000,2,100412100,80640.0
5000,2,100392604,91392.0
5000,2,100376488,105472.0
5000,2,100372196,115456.0
5000,2,100351984,123916.0
5000,2,100351204,137228.0
5000,2,100464404,12032.0
5000,2,100422888,63876.0
5000,2,100409748,76932.0
5000,2,100392224,87104.0
5000,2,100391328,100416.0
5000,2,100371272,110656.0
5000,2,100372412,120144.0
5000,2,100366380,130640.0
5000,2,100463104,16128.0
5000,2,100427008,64940.0
5000,2,100417580,77996.0
5000,2,100400408,88512.0
5000,2,100393012,101568.0
5000,2,100384016,111808.0
5000,2,100368236,121792.0
5000,2,100346832,132032.0
5000,4,100436672,14080.0
5000,4,100387788,75556.0
5000,4,100365144,99364.0
5000,4,100332440,121124.0
5000,4,100301176,144420.0
5000,4,100427128,15616.0
5000,4,100388572,70932.0
5000,4,100366060,96016.0
5000,4,100338484,117008.0
5000,4,100314096,136976.0
5000,4,100417620,15104.0
5000,4,100382868,75900.0
5000,4,100372092,98904.0
5000,4,100348428,119896.0
5000,4,100327328,142680.0
5000,4,100436284,12032.0
5000,4,100391752,76704.0
5000,4,100362676,101536.0
5000,4,100353284,122784.0
5000,4,100312168,146592.0
5000,4,100415748,13824.0
5000,4,100374280,70872.0
5000,4,100354280,94528.0
5000,4,100319876,115520.0
5000,4,100305212,138048.0
5000,8,100408528,14336.0
5000,8,100353196,89268.0
5000,8,100301040,135348.0
5000,8,100408892,16128.0
5000,8,100359040,95556.0
5000,8,100305144,141892.0
5000,8,100395856,13312.0
5000,8,100349112,89428.0
5000,8,100305296,133352.0
5000,8,100399132,13056.0
5000,8,100347128,90572.0
5000,8,100285332,134092.0
5000,8,100396620,13056.0
5000,8,100347280,89440.0
5000,8,100296944,133148.0
5000,16,100388724,14592.0
5000,16,100327420,106880.0
5000,16,100424992,14336.0
5000,16,100333836,104724.0
5000,16,100398036,16640.0
5000,16,100338004,106748.0
5000,16,100416232,14336.0
5000,16,100327068,113908.0
5000,16,100404548,15360.0
5000,16,100306332,124504.0
5000,32,100402852,13824.0
5000,32,100298584,138380.0
5000,32,100409280,13312.0
5000,32,100314284,134224.0
5000,32,100406912,13312.0
5000,32,100312460,129528.0
