input,free_mem,pid_mem
1000,100598592,15360.0
1000,100596348,15360.0
1000,100596896,13056.0
1000,100570940,60524.0
1000,100602672,11776.0
1000,100597164,
1000,100598240,13056.0
1000,100570412,61052.0
2000,100605836,15104.0
2000,100575108,61756.0
2000,100558476,71228.0
2000,100588528,14336.0
2000,100563232,58764.0
2000,100554664,63372.0
2000,100555456,67724.0
2000,100548176,72332.0
2000,100570856,14848.0
2000,100537692,61144.0
2000,100521564,70616.0
2000,100566944,15360.0
2000,100541708,60076.0
2000,100536268,69804.0
2000,100588940,12032.0
2000,100559048,60956.0
2000,100547252,70428.0
3000,100589220,13312.0
3000,100554392,65640.0
3000,100546580,72040.0
3000,100547708,78440.0
3000,100542368,84840.0
3000,100537108,91496.0
3000,100529128,94580.0
3000,100602200,15872.0
3000,100571732,65764.0
3000,100559636,72164.0
3000,100560392,78564.0
3000,100552328,84964.0
3000,100544264,91620.0
3000,100537040,96276.0
3000,100606892,15872.0
3000,100570464,60824.0
3000,100562404,67480.0
3000,100556300,73880.0
3000,100558144,80280.0
3000,100550660,86680.0
3000,100544004,93080.0
3000,100614844,15872.0
3000,100577112,68592.0
3000,100569180,74480.0
3000,100562216,80880.0
3000,100563224,87280.0
3000,100555664,93680.0
3000,100547944,96260.0
3000,100618264,14336.0
3000,100595840,59908.0
3000,100588600,63492.0
3000,100589872,66564.0
3000,100582564,69636.0
3000,100582996,72452.0
3000,100583804,75524.0
3000,100576144,78596.0
3000,100576260,81668.0
3000,100568700,84996.0
3000,100568704,87556.0
3000,100569400,90628.0
4000,100627204,16896.0
4000,100595956,62400.0
4000,100593236,67776.0
4000,100589960,72640.0
4000,100581988,77504.0
4000,100574096,81744.0
4000,100575104,86608.0
4000,100567492,91472.0
4000,100560176,96336.0
4000,100560680,101200.0
4000,100552868,106320.0
4000,100643444,15360.0
4000,100613824,61836.0
4000,100610520,67212.0
4000,100602960,72076.0
4000,100594684,76940.0
4000,100595068,81804.0
4000,100587924,84540.0
4000,100587588,89404.0
4000,100579524,94268.0
4000,100572428,99132.0
4000,100571560,103996.0
4000,100639040,15872.0
4000,100612384,58276.0
4000,100608340,60580.0
4000,100604888,62884.0
4000,100605412,65188.0
4000,100597848,67492.0
4000,100598100,69540.0
