input,thread,free_mem,pid_mem
1000,1,99638020,16896.0
1000,1,99633188,13056.0
1000,1,99635844,14336.0
1000,1,99638924,14336.0
1000,1,99638196,16640.0
1000,2,99639672,16128.0
1000,2,99649184,16128.0
1000,2,99638232,15872.0
1000,2,99635836,15360.0
1000,2,99635604,13824.0
1000,4,99640812,14336.0
1000,4,99649372,15872.0
1000,4,99644492,13056.0
1000,4,99614500,14080.0
1000,4,99590496,15616.0
1000,8,99593296,15104.0
1000,8,99622760,15872.0
1000,8,99613372,14336.0
1000,8,99613116,15616.0
1000,8,99609432,16384.0
1000,16,99601540,16384.0
1000,16,99578600,14592.0
1000,16,99573400,15360.0
1000,16,99573004,15616.0
1000,16,99583464,16128.0
1000,32,99574744,15872.0
1000,32,99545860,15360.0
1000,32,99560972,14336.0
1000,32,99559976,14848.0
1000,32,99569364,14848.0
2000,1,99567984,16128.0
2000,1,99570752,14336.0
2000,1,99561960,17152.0
2000,1,99571184,15360.0
2000,1,99537612,14336.0
2000,2,99531760,16640.0
2000,2,99500760,65404.0
2000,2,99542940,16640.0
2000,2,99555528,14080.0
2000,2,99524948,64372.0
2000,2,99561436,13056.0
2000,2,99575588,16640.0
2000,4,99580276,15104.0
2000,4,99588120,16896.0
2000,4,99586568,13824.0
2000,4,99596784,17408.0
2000,4,99593320,16128.0
2000,8,99599052,15360.0
2000,8,99599096,16640.0
2000,8,99579340,13312.0
2000,8,99584352,15360.0
2000,8,99593932,13824.0
2000,16,99601888,14336.0
2000,16,99609720,17152.0
2000,16,99635040,15104.0
2000,16,99622764,15616.0
2000,16,99619732,12544.0
2000,32,99619612,15872.0
2000,32,99605264,14336.0
2000,32,99595348,15104.0
2000,32,99581012,13056.0
2000,32,99589556,16128.0
3000,1,99597580,15872.0
3000,1,99559100,62748.0
3000,1,99591520,15872.0
3000,1,99553340,62584.0
3000,1,99573932,13056.0
3000,1,99538940,62532.0
3000,1,99578472,15872.0
3000,1,99550944,62216.0
3000,1,99584440,13312.0
3000,1,99557492,63036.0
3000,2,99585008,16896.0
3000,2,99545400,65740.0
3000,2,99573612,16384.0
3000,2,99555008,66052.0
3000,2,99587680,14592.0
3000,2,99555828,65424.0
3000,2,99594220,15872.0
3000,2,99568400,65992.0
3000,2,99604168,15104.0
3000,2,99574360,65680.0
3000,4,99610908,12800.0
3000,4,99616104,14336.0
3000,4,99598956,13312.0
3000,4,99549296,
3000,4,99587824,13824.0
3000,4,99599904,12032.0
3000,4,99555248,69844.0
3000,8,99594632,19200.0
3000,8,99572012,12032.0
3000,8,99580124,16640.0
3000,8,99571784,13312.0
3000,8,99592476,14336.0
3000,16,99608288,13824.0
3000,16,99609692,15872.0
3000,16,99591404,12032.0
3000,16,99576664,15360.0
3000,16,99592064,15872.0
3000,32,99615620,13824.0
3000,32,99614556,14080.0
3000,32,99603032,12800.0
3000,32,99605312,13568.0
3000,32,99602048,13056.0
4000,1,99588420,12032.0
4000,1,99561508,60508.0
4000,1,99559328,65884.0
4000,1,99599852,14336.0
4000,1,99561312,61164.0
4000,1,99559728,66796.0
4000,1,99598020,17152.0
4000,1,99559284,61740.0
4000,1,99546180,67372.0
4000,1,99593880,16896.0
4000,1,99570044,61700.0
4000,1,99569852,67076.0
4000,1,99606492,15104.0
4000,1,99574800,61908.0
4000,1,99573672,67284.0
4000,2,99583456,12032.0
4000,2,99554440,61912.0
4000,2,99554544,72664.0
4000,2,99602420,14848.0
4000,2,99567964,62484.0
4000,2,99570656,16128.0
4000,2,99556384,63640.0
4000,2,99596272,15104.0
4000,2,99569644,64020.0
4000,2,99592420,15360.0
4000,2,99560252,62156.0
4000,2,99555756,
4000,4,99596804,15872.0
4000,4,99542696,69992.0
4000,4,99582900,15360.0
4000,4,99541288,67384.0
4000,4,99575976,16128.0
4000,4,99549388,68724.0
4000,4,99600000,13312.0
