input,free_mem,pid_mem
1000,99633336,16128.0
1000,99621520,16128.0
1000,99622304,12544.0
1000,99618192,12800.0
1000,99613624,11520.0
2000,99619620,13312.0
2000,99585924,49152.0
2000,99602328,13312.0
2000,99577060,49408.0
2000,99599580,14336.0
2000,99575760,49152.0
2000,99606416,17152.0
2000,99589960,49408.0
2000,99609376,16128.0
2000,99594868,49152.0
3000,99609988,15616.0
3000,99591808,49408.0
3000,99591892,49408.0
3000,99615960,13056.0
3000,99599356,49152.0
3000,99599104,49152.0
3000,99620484,14336.0
3000,99595564,49408.0
3000,99596780,49408.0
3000,99615468,14592.0
3000,99597636,49152.0
3000,99598036,49408.0
3000,99619088,14336.0
3000,99602000,49408.0
3000,99601540,49408.0
4000,99629832,14592.0
4000,99604940,49152.0
4000,99605848,49408.0
4000,99606100,49664.0
4000,99604864,49664.0
4000,99631076,15872.0
4000,99611296,48896.0
4000,99611108,49152.0
4000,99612152,49408.0
4000,99611944,49408.0
4000,99640072,18176.0
4000,99616196,49152.0
4000,99616740,49408.0
4000,99617052,49664.0
4000,99618616,49664.0
4000,99637352,16640.0
4000,99613188,49152.0
4000,99614200,49664.0
4000,99615264,49920.0
4000,99615264,49920.0
4000,99637408,14592.0
4000,99611124,49152.0
4000,99611880,49408.0
4000,99613800,49664.0
4000,99614516,49664.0
5000,99635232,13824.0
5000,99609464,49152.0
5000,99609304,49408.0
5000,99610576,49408.0
5000,99611248,49664.0
5000,99608184,49664.0
5000,99609692,49920.0
5000,99636772,16128.0
5000,99620284,49152.0
5000,99620892,49664.0
5000,99620188,49920.0
5000,99620996,49920.0
5000,99616744,49920.0
5000,99617632,50176.0
5000,99645500,14080.0
5000,99631256,49152.0
5000,99631508,49408.0
5000,99631880,49408.0
5000,99630876,49664.0
5000,99631804,49664.0
5000,99632248,49920.0
5000,99651496,17152.0
5000,99632764,48896.0
5000,99631072,49152.0
5000,99631616,49152.0
5000,99631756,49408.0
5000,99630020,49408.0
5000,99630068,49664.0
5000,99652672,13824.0
5000,99627748,49152.0
5000,99627692,49408.0
5000,99628200,49408.0
5000,99629048,49664.0
5000,99628636,49664.0
5000,99628744,49920.0
6000,99656524,15360.0
6000,99631164,49152.0
6000,99630672,49664.0
6000,99629968,49664.0
6000,99632460,49920.0
6000,99632688,49920.0
6000,99633488,49920.0
6000,99633300,50176.0
6000,99633636,50176.0
6000,99633900,50176.0
6000,99653408,15872.0
6000,99621500,48640.0
6000,99620840,48896.0
6000,99620848,48896.0
6000,99619956,49152.0
6000,99620472,49152.0
6000,99620612,49152.0
6000,99620768,49408.0
6000,99620688,49408.0
6000,99620692,49664.0
6000,99641084,16128.0
6000,99625524,49152.0
6000,99624784,49408.0
6000,99625080,49408.0
6000,99625084,49664.0
6000,99625744,49664.0
6000,99624856,49664.0
6000,99624824,49920.0
6000,99624852,49920.0
6000,99625460,50176.0
6000,99643964,15360.0
6000,99619188,48896.0
6000,99619516,49152.0
6000,99620188,49152.0
6000,99620508,49408.0
6000,99620352,49408.0
6000,99620860,49408.0
6000,99620996,49664.0
6000,99620588,49664.0
6000,99621028,49664.0
6000,99640512,17664.0
6000,99609368,48896.0
6000,99609992,49152.0
6000,99610984,49152.0
6000,99611576,49408.0
6000,99610944,49408.0
6000,99610968,49408.0
6000,99610844,49664.0
6000,99611252,49664.0
6000,99611788,49664.0
7000,99638056,15872.0
7000,99614068,49152.0
7000,99615344,49408.0
7000,99617016,49408.0
7000,99618848,49664.0
7000,99619444,49664.0
7000,99619644,49664.0
7000,99617892,49920.0
7000,99599336,49920.0
7000,99595572,49920.0
7000,99595464,49920.0
7000,99596552,50176.0
7000,99597696,50176.0
7000,99599588,
7000,99619660,14336.0
7000,99596216,49152.0
7000,99597536,49408.0
7000,99600108,49408.0
7000,99594260,49664.0
7000,99596828,49664.0
7000,99596528,49664.0
7000,99598596,49920.0
7000,99600968,49920.0
7000,99603672,49920.0
7000,99607300,49920.0
7000,99608204,50176.0
7000,99609684,50176.0
7000,99604220,
7000,99632048,14336.0
7000,99617156,48640.0
7000,99616888,48896.0
7000,99616772,48896.0
7000,99616824,49152.0
7000,99616512,49152.0
7000,99616484,49152.0
7000,99617676,49408.0
7000,99617772,49408.0
7000,99617296,49408.0
7000,99616120,49664.0
7000,99617132,49664.0
7000,99618344,49664.0
7000,99617280,
7000,99639760,14336.0
7000,99628020,48896.0
7000,99627436,49152.0
7000,99627752,49152.0
7000,99627884,49408.0
7000,99628600,49408.0
7000,99628604,49408.0
7000,99628908,49664.0
7000,99629380,49664.0
7000,99629672,49664.0
7000,99629532,49664.0
7000,99629532,49920.0
7000,99635308,49920.0
7000,99638968,50176.0
7000,99660192,15872.0
7000,99635620,49408.0
7000,99635372,49408.0
7000,99635560,49408.0
7000,99635524,49664.0
7000,99635904,49664.0
7000,99636268,49664.0
7000,99643440,49920.0
7000,99642288,49920.0
7000,99644108,49920.0
7000,99645072,50176.0
7000,99646576,50176.0
7000,99647172,50176.0
7000,99639256,
8000,99660048,15104.0
8000,99642472,49152.0
8000,99642636,49408.0
8000,99642888,49408.0
8000,99642344,49664.0
8000,99641336,49664.0
8000,99640712,49664.0
8000,99640928,49920.0
8000,99640440,49920.0
8000,99640160,49920.0
8000,99638904,49920.0
8000,99639700,50176.0
8000,99639700,50176.0
8000,99639404,50176.0
8000,99640236,50176.0
8000,99640312,50432.0
8000,99640736,50432.0
8000,99667544,14336.0
8000,99641368,49152.0
8000,99642160,49408.0
8000,99642348,49408.0
8000,99641944,49664.0
8000,99642320,49664.0
8000,99641832,49664.0
8000,99642044,49920.0
8000,99642020,49920.0
8000,99642504,49920.0
8000,99641632,49920.0
8000,99642340,50176.0
8000,99642724,50176.0
8000,99642996,50176.0
8000,99642948,50176.0
8000,99642196,50176.0
8000,99642584,50432.0
8000,99662688,15616.0
8000,99628556,48896.0
8000,99627908,48896.0
8000,99628064,48896.0
8000,99627952,49152.0
8000,99627452,49152.0
8000,99627696,49152.0
8000,99628540,49408.0
8000,99629244,49408.0
8000,99629048,49408.0
8000,99627872,49408.0
8000,99628452,49664.0
8000,99627916,49664.0
8000,99629164,49664.0
8000,99629928,49664.0
8000,99631764,49920.0
8000,99631024,49920.0
8000,99651764,15360.0
8000,99626856,48896.0
8000,99627660,49152.0
8000,99628124,49152.0
8000,99628500,49152.0
8000,99628600,49408.0
8000,99629228,49408.0
8000,99629140,49408.0
8000,99629480,49664.0
8000,99629400,49664.0
8000,99630808,49664.0
8000,99631184,49664.0
8000,99631716,49920.0
8000,99631296,49920.0
8000,99631432,49920.0
8000,99631516,49920.0
8000,99632400,50176.0
8000,99657304,16128.0
8000,99638020,49152.0
8000,99637480,49408.0
8000,99636640,49408.0
8000,99636944,49664.0
8000,99636676,49664.0
8000,99637268,49664.0
8000,99636436,49920.0
8000,99635368,49920.0
8000,99635176,49920.0
8000,99634948,49920.0
8000,99635204,50176.0
8000,99635600,50176.0
8000,99635676,50176.0
8000,99636168,50176.0
8000,99635744,50176.0
8000,99635504,50432.0
9000,99655860,13056.0
9000,99639824,49152.0
9000,99637732,49408.0
9000,99638352,49408.0
9000,99638020,49408.0
9000,99638460,49408.0
9000,99637548,49408.0
9000,99638428,49664.0
9000,99644108,49664.0
9000,99643652,49664.0
9000,99643268,49664.0
9000,99644108,49664.0
9000,99644484,49920.0
9000,99644528,49920.0
9000,99644392,49920.0
9000,99644392,50176.0
9000,99644212,50176.0
9000,99644304,50176.0
9000,99643356,50176.0
9000,99643920,50176.0
9000,99644240,50432.0
9000,99644492,50432.0
9000,99663156,13312.0
9000,99629880,48640.0
9000,99630708,48896.0
9000,99631300,48896.0
9000,99630644,48896.0
9000,99630232,49152.0
9000,99628604,49152.0
9000,99630268,49152.0
9000,99632356,49408.0
9000,99632984,49408.0
9000,99634724,49408.0
9000,99635636,49408.0
9000,99636284,49408.0
9000,99636360,49664.0
9000,99636476,49664.0
9000,99636596,49664.0
9000,99636364,49664.0
9000,99636156,49920.0
9000,99636232,49920.0
9000,99635344,49920.0
9000,99628456,49920.0
9000,99630128,50176.0
9000,99652744,15360.0
9000,99635588,48896.0
9000,99634552,49152.0
9000,99634272,49152.0
9000,99634288,49152.0
9000,99634032,49408.0
9000,99634712,49408.0
9000,99641492,49408.0
9000,99641900,49664.0
9000,99641856,49664.0
9000,99640904,49664.0
9000,99641208,49664.0
9000,99641208,49664.0
9000,99641056,49920.0
9000,99640800,49920.0
9000,99639300,49920.0
9000,99639604,49920.0
9000,99639500,50176.0
9000,99639360,50176.0
9000,99639064,50176.0
9000,99638908,50176.0
9000,99639424,50432.0
9000,99659296,15360.0
9000,99639972,48896.0
9000,99639468,49152.0
9000,99639644,49152.0
9000,99640156,49408.0
9000,99639796,49408.0
9000,99639820,49408.0
9000,99640800,49408.0
9000,99640848,49664.0
9000,99640600,49664.0
9000,99640640,49664.0
9000,99640664,49664.0
9000,99640528,49664.0
9000,99640032,49920.0
9000,99639972,49920.0
9000,99635956,49920.0
9000,99635656,50176.0
9000,99635832,50176.0
9000,99636112,50176.0
9000,99636028,50176.0
9000,99636680,50176.0
9000,99636988,50432.0
9000,99661956,15616.0
9000,99641796,49152.0
9000,99641560,49408.0
9000,99641524,49408.0
9000,99641736,49664.0
9000,99641508,49664.0
9000,99641408,49664.0
9000,99640424,49664.0
9000,99638276,49920.0
9000,99638292,49920.0
9000,99638768,49920.0
9000,99638808,49920.0
9000,99638848,50176.0
9000,99639676,50176.0
9000,99640060,50176.0
9000,99636476,50176.0
9000,99636080,50432.0
9000,99636084,50432.0
9000,99636348,50432.0
9000,99636588,50432.0
9000,99636704,50432.0
9000,99636948,50688.0
10000,99656200,15872.0
10000,99639684,49152.0
10000,99640608,49152.0
10000,99641028,49152.0
10000,99640712,49408.0
10000,99640984,49408.0
10000,99640316,49408.0
10000,99637924,49408.0
10000,99636496,49408.0
10000,99628824,49664.0
10000,99627708,49664.0
10000,99627720,49664.0
10000,99626468,49664.0
10000,99627328,49920.0
10000,99627620,49920.0
10000,99628292,49920.0
10000,99623524,49920.0
10000,99624220,50176.0
10000,99624908,50176.0
10000,99618188,50176.0
10000,99607512,50176.0
10000,99615004,50432.0
10000,99625604,50432.0
10000,99625248,50432.0
10000,99625912,50432.0
10000,99626292,50432.0
10000,99626800,50432.0
10000,99644676,15104.0
10000,99629356,49152.0
10000,99629720,49152.0
10000,99629320,49152.0
10000,99630384,49408.0
10000,99630752,49408.0
10000,99630872,49408.0
10000,99626084,49408.0
10000,99620332,49408.0
10000,99616076,49664.0
10000,99616000,49664.0
10000,99617140,49664.0
10000,99616960,49664.0
10000,99617584,49920.0
10000,99617080,49920.0
10000,99617092,49920.0
10000,99616332,49920.0
10000,99616332,50176.0
10000,99616704,50176.0
10000,99617672,50176.0
10000,99618212,50176.0
10000,99618708,50432.0
10000,99619436,50432.0
10000,99619664,50432.0
10000,99619084,50432.0
10000,99615556,50432.0
10000,99616736,50432.0
10000,99638412,13824.0
10000,99617532,48640.0
10000,99617416,48896.0
10000,99618316,48896.0
10000,99618820,48896.0
10000,99618252,49152.0
10000,99618520,49152.0
10000,99619492,49152.0
10000,99620596,49152.0
10000,99621240,49408.0
10000,99621800,49408.0
10000,99621988,49408.0
10000,99622080,49408.0
10000,99621404,49408.0
10000,99622052,49664.0
10000,99621300,49664.0
10000,99622304,49664.0
10000,99622312,49664.0
10000,99621912,49920.0
10000,99621860,49920.0
10000,99622012,49920.0
10000,99622236,49920.0
10000,99622912,49920.0
10000,99624140,50176.0
10000,99624136,50176.0
10000,99624240,50176.0
10000,99624044,50176.0
10000,99652296,15616.0
10000,99633260,49152.0
10000,99633036,49152.0
10000,99633288,49152.0
10000,99633704,49408.0
10000,99634460,49408.0
10000,99634408,49408.0
10000,99636044,49408.0
10000,99635148,49408.0
10000,99626832,49664.0
10000,99627144,49664.0
10000,99626912,49664.0
10000,99627260,49664.0
10000,99627588,49920.0
10000,99628268,49920.0
10000,99629332,49920.0
10000,99629344,49920.0
10000,99629204,50176.0
10000,99629548,50176.0
10000,99629124,50176.0
10000,99629468,50176.0
10000,99621504,50176.0
10000,99622496,50176.0
10000,99623872,50432.0
10000,99624928,50432.0
10000,99626676,50432.0
10000,99627588,50432.0
10000,99650336,15872.0
10000,99626140,49152.0
10000,99625284,49408.0
10000,99623872,49408.0
10000,99623836,49408.0
10000,99629940,49664.0
10000,99630204,49664.0
10000,99629336,49664.0
10000,99629308,49664.0
10000,99629084,49920.0
10000,99628932,49920.0
10000,99629016,49920.0
10000,99630452,49920.0
10000,99630216,50176.0
10000,99630648,50176.0
10000,99631700,50176.0
10000,99631972,50176.0
10000,99630864,50176.0
10000,99622872,50432.0
10000,99624084,50432.0
10000,99624364,50432.0
10000,99626364,50432.0
10000,99626208,50432.0
10000,99626868,50432.0
10000,99628256,50688.0
10000,99629224,50688.0
10000,99629336,50688.0
