input,thread,total_mem,free_mem,used_mem,buff_cache
1000,1,15690.9,6171.4,7385.7,3140.4
1000,1,15690.9,6175.9,7381.2,3140.3
1000,1,15690.9,6169.1,7388.0,3140.6
1000,1,15690.9,6201.0,7356.1,3132.6
1000,1,15690.9,6215.7,7341.4,3132.8
1000,2,15690.9,6198.2,7358.9,3132.3
1000,2,15690.9,6228.0,7329.0,3108.2
1000,2,15690.9,6203.2,7353.9,3108.1
1000,2,15690.9,6186.9,7370.1,3108.2
1000,2,15690.9,6154.5,7402.6,3109.8
1000,4,15690.9,6180.4,7376.6,3110.0
1000,4,15690.9,6182.3,7374.8,3107.6
1000,4,15690.9,6179.3,7377.8,3107.8
1000,4,15690.9,6191.3,7365.9,3107.6
1000,4,15690.9,6208.3,7348.8,3108.6
1000,8,15690.9,6224.0,7333.2,3106.5
1000,8,15690.9,6201.2,7355.9,3106.6
1000,8,15690.9,6195.1,7362.1,3106.4
1000,8,15690.9,6195.5,7361.6,3109.1
1000,8,15690.9,6187.3,7369.9,3110.8
1000,16,15690.9,6204.8,7352.2,3111.0
1000,16,15690.9,6194.8,7362.4,3110.9
1000,16,15690.9,6172.3,7384.9,3110.9
1000,16,15690.9,6205.0,7352.1,3110.9
1000,16,15690.9,6200.4,7356.7,3110.7
1000,32,15690.9,6168.2,7388.7,3110.8
1000,32,15690.9,6166.0,7390.9,3110.8
1000,32,15690.9,6180.9,7376.0,3112.9
1000,32,15690.9,6188.3,7369.0,3113.7
1000,32,15690.9,6195.2,7361.9,3113.8
2000,1,15690.9,6231.1,7326.0,3113.8
2000,1,15690.9,6178.6,7378.4,3113.8
2000,1,15690.9,6130.1,7426.4,3114.4
2000,1,15690.9,6159.5,7396.9,3114.5
2000,1,15690.9,6189.8,7366.6,3114.3
2000,2,15690.9,6187.8,7368.7,3114.2
2000,2,15690.9,6175.3,7381.2,3114.0
2000,2,15690.9,6172.6,7383.9,3113.3
2000,2,15690.9,6172.6,7383.9,3113.3
2000,2,15690.9,6181.5,7375.0,3113.4
2000,4,15690.9,6182.8,7373.7,3109.5
2000,4,15690.9,6190.1,7366.4,3109.5
2000,4,15690.9,6183.0,7373.4,3109.6
2000,4,15690.9,6168.7,7387.5,3117.8
2000,4,15690.9,6155.0,7401.1,3115.8
2000,8,15690.9,6150.8,7405.4,3118.0
2000,8,15690.9,6144.2,7412.0,3117.9
2000,8,15690.9,6116.5,7439.7,3120.3
2000,8,15690.9,6137.0,7419.0,3120.4
2000,8,15690.9,6110.5,7445.7,3116.8
2000,16,15690.9,6109.2,7446.8,3116.8
2000,16,15690.9,6124.6,7431.4,3116.8
2000,16,15690.9,6107.9,7448.0,3118.9
2000,16,15690.9,6079.4,7476.5,3119.0
2000,16,15690.9,6096.0,7460.0,3118.8
2000,32,15690.9,6130.9,7425.0,3118.9
2000,32,15690.9,6153.9,7402.2,3118.8
2000,32,15690.9,6159.2,7397.0,3118.7
