input,total_mem,free_mem,used_mem,buff_cache
1000,MiB Mem :  15690.9 total,5998.1,7602.9,3179.9
1000,MiB Mem :  15690.9 total,5992.8,7608.2,3171.4
1000,MiB Mem :  15690.9 total,5989.7,7611.4,3171.4
1000,MiB Mem :  15690.9 total,5977.1,7623.8,3171.6
1000,MiB Mem :  15690.9 total,5956.8,7643.9,3159.1
2000,MiB Mem :  15690.9 total,5965.1,7635.8,3159.3
2000,MiB Mem :  15690.9 total,5957.6,7643.2,3159.3
2000,MiB Mem :  15690.9 total,6003.1,7597.7,3159.3
2000,MiB Mem :  15690.9 total,5995.2,7605.1,3164.4
2000,MiB Mem :  15690.9 total,6016.1,7584.3,3163.5
3000,MiB Mem :  15690.9 total,6012.0,7588.5,3163.6
3000,MiB Mem :  15690.9 total,6009.4,7590.9,3167.2
3000,MiB Mem :  15690.9 total,5994.0,7606.7,3167.0
3000,MiB Mem :  15690.9 total,6010.3,7590.1,3148.7
3000,MiB Mem :  15690.9 total,6044.9,7555.4,3132.1
4000,MiB Mem :  15690.9 total,6058.4,7542.1,3132.0
4000,MiB Mem :  15690.9 total,6042.3,7558.1,3134.3
4000,MiB Mem :  15690.9 total,6055.2,7545.2,3130.7
4000,MiB Mem :  15690.9 total,6052.4,7548.2,3130.4
4000,MiB Mem :  15690.9 total,6120.9,7479.4,3120.0
5000,MiB Mem :  15690.9 total,6096.6,7503.8,3119.7
5000,MiB Mem :  15690.9 total,6103.8,7496.5,3121.9
5000,MiB Mem :  15690.9 total,6119.3,7481.0,3124.0
5000,MiB Mem :  15690.9 total,6108.3,7492.0,3121.9
5000,MiB Mem :  15690.9 total,6106.5,7493.8,3122.0
6000,MiB Mem :  15690.9 total,6106.8,7493.7,3123.8
6000,MiB Mem :  15690.9 total,6108.6,7491.7,3124.2
6000,MiB Mem :  15690.9 total,6105.3,7495.0,3122.4
6000,MiB Mem :  15690.9 total,6097.5,7502.7,3118.4
6000,MiB Mem :  15690.9 total,6185.5,7414.7,3044.1
7000,MiB Mem :  15690.9 total,6183.4,7416.8,3044.1
7000,MiB Mem :  15690.9 total,6195.5,7404.8,3046.0
7000,MiB Mem :  15690.9 total,6186.1,7414.3,3048.4
7000,MiB Mem :  15690.9 total,6171.8,7428.5,3050.0
7000,MiB Mem :  15690.9 total,6174.4,7425.9,3048.0
8000,MiB Mem :  15690.9 total,6167.2,7433.1,3047.8
8000,MiB Mem :  15690.9 total,6170.6,7429.9,3047.5
8000,MiB Mem :  15690.9 total,6164.5,7435.7,3047.9
8000,MiB Mem :  15690.9 total,6165.1,7435.2,3048.1
8000,MiB Mem :  15690.9 total,6199.8,7400.5,3048.1
9000,MiB Mem :  15690.9 total,6193.3,7406.9,3047.9
9000,MiB Mem :  15690.9 total,6199.1,7401.3,3048.0
9000,MiB Mem :  15690.9 total,6200.5,7399.7,3047.9
9000,MiB Mem :  15690.9 total,6191.2,7409.1,3048.0
9000,MiB Mem :  15690.9 total,6193.8,7406.0,3048.4
10000,MiB Mem :  15690.9 total,6178.1,7421.7,3048.7
10000,MiB Mem :  15690.9 total,6171.7,7427.9,3050.6
10000,MiB Mem :  15690.9 total,6164.8,7435.0,3048.6
10000,MiB Mem :  15690.9 total,6178.5,7421.0,3042.6
10000,MiB Mem :  15690.9 total,6192.3,7407.2,3034.5
