input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
256,1,,751,15,6768,0,116645,909430,589604144,426605223,,,0.215479795,0.366921,0.076191,0.7235451571045945
256,1,,753,22,6741,0,119729,867740,586230141,421903454,,,0.21670356,0.389009,0.064493,0.7196891194988898
256,1,,748,18,6700,0,119757,899206,592637619,430794067,,,0.216045516,0.374309,0.080136,0.7269097559599907
256,1,,716,16,6634,0,117265,847951,574171952,411686228,,,0.208108938,0.358243,0.069403,0.7170086009356306
256,1,,772,15,6710,0,120788,927918,580805677,415136020,,,0.217608631,0.352551,0.087417,0.714758888281321
256,2,,864,11,6988,0,138538,953609,678755510,473894482,,,0.206428375,0.438474,0.060681,0.6981814143947059
256,2,,934,12,6880,0,139430,944774,671037536,460933660,,,0.199399409,0.39484,0.070035,0.68689698455259
256,2,,906,10,6878,0,137139,977031,664955859,463930227,,,0.207546306,0.427186,0.065563,0.6976857496942515
256,2,,984,13,6914,0,140231,995358,687689919,481005386,,,0.21029448,0.455753,0.068363,0.699450977410649
256,2,,972,12,7072,0,140042,992121,693971731,483842668,,,0.207211157,0.419752,0.082808,0.6972080365619389
256,4,,1203,18,7324,0,169405,3288716,897219750,548761723,,,0.214168361,0.585615,0.077345,0.6116246582846622
256,4,,1205,16,7504,0,177547,2277085,815853780,536498045,,,0.21435433,0.534381,0.07287,0.657590928854923
256,4,,1144,16,7289,0,172276,2613520,852350805,540689627,,,0.209062206,0.543835,0.076835,0.6343510486858753
256,4,,1117,16,7198,0,165315,3555119,872361368,524078489,,,0.212811079,0.554224,0.075302,0.6007584794836994
256,4,,1294,18,7435,0,180819,4557517,959389535,549281608,,,0.229763701,0.623316,0.078939,0.5725324156261513
256,8,,1357,26,8203,0,222433,10178900,1378331416,631716552,,,0.225095809,0.86997,0.088813,0.45831978047288446
256,8,,1437,26,8001,0,227513,8002353,1218799668,649025288,,,0.220368376,0.803871,0.082293,0.5325118680619791
256,8,,1792,22,8293,0,270735,7759745,1247031137,685347472,,,0.225792891,0.781146,0.119492,0.5495832875903562
256,8,,1486,13,8141,0,226604,8892063,1321095972,614171048,,,0.220844763,0.864972,0.098069,0.4648951030182991
256,8,,1519,25,8180,0,217849,8217789,1237957335,650409333,,,0.217879264,0.773836,0.113244,0.5253891346748231
256,16,,2235,46,9287,0,352104,10889080,1976880532,742884384,,,0.229338359,1.291866,0.115166,0.3757861802849703
256,16,,2443,47,9088,0,359932,10350899,1772252592,746264014,,,0.224659989,1.147372,0.124583,0.4210821963915627
256,16,,2402,41,9197,0,368151,11038565,1778672917,745746910,,,0.220453165,1.141715,0.126178,0.4192715270314087
256,16,,2060,32,10015,0,375456,9534951,1765160753,773433377,,,0.229753126,1.171091,0.132219,0.43816597195779594
256,16,,2302,26,9151,0,364003,9532003,1836376424,756588176,,,0.215850073,1.139697,0.114267,0.4120005931855723
256,32,,3308,770,11552,0,538104,11376910,3270368450,842509104,,,0.2364839,1.714537,0.172138,0.25761901659735004
256,32,,4597,943,11274,0,576019,11339853,2697639319,879914803,,,0.229911789,1.38666,0.201659,0.3261795588470958
256,32,,4131,932,10850,0,593845,11338269,2880916337,873749948,,,0.226292404,1.437804,0.18745,0.3032889004023861
256,32,,4683,996,10503,0,541752,11510723,2862301362,845071571,,,0.227193859,1.453282,0.219438,0.29524199730300793
256,32,,4135,1022,10632,0,520983,12212554,2945948476,826238132,,,0.22205695,1.478386,0.176095,0.28046591402775095
512,1,,885,10,7179,0,134292,1044161,840475022,660470730,,,0.269671203,0.566587,0.077905,0.7858302896715947
512,1,,849,12,7454,0,136142,1015435,831558511,652955462,,,0.271194269,0.535116,0.084492,0.7852189032552636
512,1,,859,13,7219,0,139460,1000105,842731312,660656523,,,0.267671003,0.558293,0.071421,0.7839468091343448
512,1,,876,8,7236,0,138466,1011128,848777231,665994401,,,0.272547234,0.598184,0.072263,0.7846515866305089
512,1,,835,14,7324,0,134853,1162484,824927976,645572000,,,0.269117016,0.50973,0.090706,0.7825798357940524
512,2,,969,9,7515,0,149734,1128801,930850436,700371705,,,0.242792095,0.61373,0.081433,0.7523998248414636
512,2,,942,15,7406,0,149004,1144300,934565709,710434558,,,0.237031617,0.570345,0.086203,0.7601761450890127
512,2,,1001,12,7455,0,148575,1186738,928697817,702520806,,,0.239018223,0.600918,0.085698,0.7564579060488952
512,2,,840,18,7549,0,148542,2771966,942804402,711677140,,,0.247792835,0.63556,0.080834,0.7548513122025071
512,2,,1154,14,7712,0,159725,1303048,972230456,737388339,,,0.243955716,0.631223,0.100673,0.7584501539211193
512,4,,1303,11,8992,0,205445,6162349,1385220897,827137602,,,0.25528205,0.905105,0.082729,0.5971160295021163
512,4,,1351,20,9213,0,219558,5391419,1364411795,863304003,,,0.249121167,0.878257,0.100914,0.6327298006097932
512,4,,1497,25,8897,0,212920,5322955,1289750716,879455859,,,0.237997132,0.815182,0.09643,0.6818804968199762
512,4,,1393,34,9385,0,220459,7118845,1381788142,884145906,,,0.252765118,0.874324,0.108912,0.6398563420296018
512,4,,1563,28,9812,0,228010,5659788,1359951965,942594981,,,0.246914806,0.856555,0.100064,0.6931090253617892
512,8,,1878,34,12641,0,345189,16317578,2370677293,1168350971,,,0.263859252,1.440759,0.127447,0.49283425224084265
512,8,,2117,36,12456,0,355389,14160585,2232146499,1253458741,,,0.257581231,1.392997,0.134516,0.5615485997722589
512,8,,2361,32,12264,0,340940,14440226,2199641358,1263252505,,,0.266934364,1.40061,0.130804,0.5742993058416571
512,8,,1897,44,13285,0,332709,15145787,2271214025,1213918640,,,0.257086775,1.353496,0.154685,0.5344800739331468
512,8,,2000,36,13385,0,342022,15206857,2223526833,1220289526,,,0.263308868,1.344849,0.147108,0.5488080952697907
