input,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
256,,445,5,6077,0,87290,702625,425276820,306833925,,,0.178013026,0.229071,0.055501,0.7214922388669103
256,,417,9,6063,0,87949,668368,424251888,308028150,,,0.177598197,0.238793,0.061461,0.7260501572594062
256,,494,11,6125,0,84999,708983,429346284,313122755,,,0.176536531,0.235694,0.046531,0.7293011880359025
256,,475,8,6082,0,84008,653691,419092114,307242184,,,0.177761843,0.245297,0.051103,0.7331137326053336
256,,479,7,6138,0,88461,660526,428631896,309544853,,,0.179229314,0.236537,0.050392,0.7221694323000172
512,,594,12,6698,0,100394,840833,657018562,529285025,,,0.221749158,0.390876,0.066336,0.8055861061045639
512,,619,9,6754,0,104490,820407,662852567,531011774,,,0.223189936,0.390278,0.068399,0.8011008788927266
512,,736,13,6832,0,108391,873579,669259882,532565294,,,0.234666448,0.396769,0.078558,0.7957526042178037
512,,574,17,6705,0,100228,824685,660368222,530116569,,,0.22004448,0.39153,0.071746,0.8027590537207892
512,,590,14,6697,0,98539,833886,656241319,528873413,,,0.222493813,0.382228,0.06704,0.805913004389777
1024,,639,10,6778,0,103578,859019,1047623829,929831065,,,0.410867586,0.601331,0.070038,0.8875619657177538
1024,,610,10,6782,0,102356,819707,1047410632,929997815,,,0.409152544,0.595288,0.06525,0.8879018281723915
1024,,643,10,6791,0,103244,877527,1051560537,931766694,,,0.4112899,0.590726,0.069914,0.8860799366418217
1024,,632,10,6842,0,108227,873728,1048035918,927932297,,,0.411109092,0.58784,0.060498,0.8854012358381786
1024,,629,9,6784,0,105512,834117,1053794314,923621063,,,0.405269934,0.554539,0.077966,0.8764718605228686
2048,,680,10,7687,0,114328,870821,2528517925,2457669299,,,1.150948316,1.336801,0.070883,0.9719801764901469
2048,,664,14,7672,0,115083,878795,2524781608,2459776417,,,1.146782044,1.331692,0.072819,0.974253143006894
2048,,699,9,7701,0,119030,878456,2522595598,2453686077,,,1.143426558,1.313518,0.05724,0.972683088381414
2048,,652,8,7711,0,118025,854835,2531661622,2456411286,,,1.146559877,1.328607,0.074362,0.9702763057487309
2048,,612,10,7746,0,121166,894273,2526414343,2458564069,,,1.14851887,1.33868,0.067386,0.9731436475620103
4096,,750,11,9438,0,126666,971549,8333498768,8485649843,,,4.060085877,4.248933,0.072049,1.0182577665438974
4096,,749,11,9677,0,133151,1005626,8355628914,8497267594,,,4.072098296,4.26009,0.079001,1.016951288940403
4096,,749,10,9484,0,130188,989858,8344598998,8499639828,,,4.064181805,4.252365,0.073075,1.0185797819688112
4096,,727,12,9465,0,133614,992945,8330313116,8499999615,,,4.056191058,4.243795,0.083897,1.020369762413142
4096,,789,16,9517,0,140605,995682,8337589649,8495568253,,,4.06025114,4.223351,0.082947,1.0189477547649455
8192,,1220,17,16257,0,208423,1375722,31579191834,32745383702,,,15.596222555,15.967756,0.134938,1.0369291232698492
8192,,1130,22,16718,0,205265,1378003,31604681573,32758533576,,,15.592792513,15.947117,0.122993,1.0365088950614754
8192,,1218,11,16652,0,213878,1417545,31694359163,32857811028,,,15.615932855,15.990827,0.146943,1.0367084836458285
8192,,1145,14,16885,0,201960,1398181,31630936301,32771681626,,,15.609743131,15.9858,0.112984,1.0360642288342232
8192,,1257,12,16841,0,207197,1449376,31676417468,32824861125,,,15.606564572,16.02757,0.125996,1.0362554780116842
16384,,3013,75,64904,0,725942,3797684,124138528416,129140867191,,,61.614455998,61.997515,0.641808,1.0402964239936587
16384,,3036,102,64938,0,736401,3931908,124106685047,128999620334,,,61.668280835,61.9441,0.598397,1.0394252355152909
16384,,2998,80,62971,0,654446,3825612,124243114416,129139830244,,,61.638363787,62.04984,0.619918,1.0394123718728143
16384,,2911,83,66200,0,647104,3846483,124071528998,128998088445,,,61.671216572,61.947018,0.618399,1.0397074130284911
16384,,3075,93,63892,0,721328,3678838,124072342349,128991908473,,,61.641200268,61.987955,0.593028,1.039650787845706
