input,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
256,,279,5,5705,0,50798,543927,513699592,332381095,,,0.21769463,0.293956,0.04143,0.6470339867429756
256,,253,8,5671,0,50975,523428,453291908,291078802,,,0.19669222,0.24359,0.049322,0.6421442714128486
256,,257,6,5672,0,51252,525430,451136597,290429644,,,0.198678841,0.247805,0.044784,0.6437731851756642
256,,249,5,5707,0,50828,521039,512516428,330863290,,,0.215042667,0.283936,0.048308,0.6455662139282684
256,,270,6,5702,0,50676,534371,455014973,292593622,,,0.198969452,0.245843,0.049168,0.6430417444746374
512,,350,10,5712,0,56324,580525,591172429,393478054,,,0.255671725,0.327102,0.053364,0.6655893182731633
512,,276,5,5682,0,53917,546038,661449300,437984803,,,0.282159099,0.379443,0.053926,0.6621592962604995
512,,263,7,5674,0,52965,544282,660723186,438236916,,,0.284018303,0.378796,0.055822,0.6632685597929054
512,,289,5,5682,0,68498,530268,663788315,436859822,,,0.280717793,0.377256,0.052756,0.6581312326957729
512,,355,8,5778,0,56202,587130,637171077,421242741,,,0.269067263,0.364175,0.044387,0.6611140339001922
1024,,270,4,5667,0,52891,528861,790974157,582739201,,,0.366739143,0.417737,0.048852,0.7367360815051256
1024,,258,5,5703,0,50866,552219,783624858,578173108,,,0.363894103,0.403771,0.049848,0.7378187433661019
1024,,278,5,5671,0,51362,528481,872025830,644167944,,,0.390671712,0.481708,0.048677,0.7387028248922397
1024,,270,5,5669,0,53375,542738,857881869,639430280,,,0.384137564,0.458776,0.062832,0.7453593590284865
1024,,288,5,5672,0,51019,523507,839612717,612409024,,,0.385260042,0.44831,0.051804,0.7293946501765528
2048,,268,5,5660,0,54042,583252,1891425880,1660350663,,,0.910193546,0.960859,0.0603,0.8778301494954696
2048,,299,4,5670,0,53245,548816,1880549565,1660056121,,,0.905843432,0.960279,0.053791,0.8827505277692588
2048,,300,8,5661,0,53371,536929,1822785739,1621330356,,,0.88466359,0.913262,0.052783,0.8894793948132814
2048,,277,10,5660,0,53575,535978,1859938954,1657687278,,,0.887350525,0.939026,0.052168,0.8912589708575994
2048,,308,6,5692,0,52990,540332,1883622210,1660002561,,,0.907765477,0.967742,0.052931,0.8812821128287716
4096,,407,10,6397,0,70800,629669,6055474672,5767980249,,,3.001694281,3.071223,0.057891,0.9525232226088981
4096,,341,6,6252,0,61979,582436,6023930451,5748853970,,,2.990737489,3.041381,0.048973,0.9543360463342773
4096,,350,5,6271,0,62613,619792,6050585827,5764848616,,,2.999128504,3.059094,0.054965,0.9527752817380207
4096,,331,9,6269,0,61270,591197,6042860205,5707123476,,,3.002977235,3.046312,0.053987,0.944440758579488
4096,,345,9,6322,0,65485,573689,6049868346,5757872002,,,2.995444004,3.053342,0.056969,0.9517350911953217
8192,,560,9,6560,0,76783,696653,22836610096,22074793917,,,11.40324804,11.470112,0.062956,0.9666405751204975
8192,,576,14,6569,0,75613,705825,22841866315,22018676442,,,11.42201471,11.474543,0.06197,0.9639613566751584
8192,,584,8,6562,0,76522,708299,22816943029,22013469459,,,11.404849591,11.431903,0.078978,0.9647860991291078
8192,,561,8,6610,0,84311,711892,22799665725,22074982886,,,11.385114849,11.452754,0.062009,0.9682151989533171
8192,,605,6,6562,0,78716,756370,22894426250,22081769221,,,11.425622049,11.506476,0.062975,0.9645041539750314
16384,,1569,16,6723,0,120073,1107760,89921725999,87302050845,,,45.014366732,45.098748,0.081999,0.970867161134906
16384,,1529,7,6622,0,118097,1107362,89862291944,87269247539,,,44.997914486,45.04857,0.090999,0.9711442436098122
16384,,1483,10,6666,0,119161,1099610,89840265845,87290684667,,,44.971375251,45.063542,0.077019,0.971620952431299
16384,,1491,8,6703,0,132828,1083992,89968678052,87300219063,,,45.037397089,45.120763,0.086993,0.9703401334022305
16384,,1514,10,6675,0,126110,1105839,89914581669,87306258757,,,45.003513858,45.090743,0.085997,0.9709911021818247
