input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
1000,1,,20944,17,14641,0,350404,2100749,3727676768,2983511075,,,1.151670936,2.157994,0.476837,0.8003674300872216
1000,1,,20058,28,14787,0,343740,2034364,3605228645,2881369823,,,1.149739689,2.121166,0.428069,0.7992197185596255
1000,1,,18273,20,15300,0,340731,2008233,3638419823,2842225590,,,1.138556957,2.148974,0.463504,0.7811703234555514
1000,1,,18840,21,15767,0,343309,2024673,3804833268,3049623313,,,1.191888221,2.359553,0.468433,0.801512996285124
1000,1,,17096,16,15038,0,328827,2005383,3643961072,2918420919,,,1.140632296,2.216849,0.434977,0.8008924522890732
1000,2,,9715,13,14703,0,394447,6529878,4082509343,2870921369,,,0.839722625,2.416259,0.277976,0.7032246904523496
1000,2,,11176,26,14219,0,358740,9602477,4043040391,2843653038,,,0.836400515,2.333836,0.28335,0.7033451964343732
1000,2,,9554,28,15364,0,352976,13544815,4082076135,2696587646,,,0.841449023,2.456091,0.31711,0.6605921978963776
1000,2,,9765,23,15860,0,426027,5322436,4079600793,2966510721,,,0.805775489,2.395536,0.292507,0.7271571096098667
1000,2,,9821,24,15427,0,385704,15209836,4215243735,2773568992,,,0.859629906,2.503356,0.309776,0.6579854372288154
1000,4,,5954,40,14132,0,395919,19595893,5519172961,2906017736,,,0.735018786,3.262859,0.224642,0.5265313764462037
1000,4,,5853,31,16828,0,413155,20592903,6167189691,3232917575,,,0.779673364,3.663024,0.250368,0.5242124431032034
1000,4,,5599,34,16130,0,379114,20328381,4990508605,2874808413,,,0.626016521,2.947075,0.220855,0.5760551960815625
1000,4,,5858,31,16634,0,408482,16751708,5648543997,3117457974,,,0.715592321,3.274899,0.233206,0.5519046989198835
1000,4,,5532,42,16698,0,528463,17876101,5307380586,2926890176,,,0.669651618,3.045698,0.218336,0.5514754648876428
1000,8,,7732,60,16942,0,642620,40666849,9731399695,3275777658,,,0.730189684,5.257939,0.286905,0.3366193724098186
1000,8,,5343,59,17375,0,449223,32004950,8567839622,3305661882,,,0.656336155,4.697382,0.218013,0.38582210076760937
1000,8,,8395,38,18349,0,552325,36036084,8953817771,3366416600,,,0.671878312,4.887112,0.216199,0.3759755543499323
1000,8,,5173,37,16985,0,491193,35229279,9602189394,3240037545,,,0.729665997,5.339186,0.212359,0.3374269567130765
1000,8,,5694,46,18174,0,508813,42726771,9883449042,3480717642,,,0.73678208,5.548217,0.254964,0.3521764140441854
1000,16,,7191,79,17657,0,676216,41373688,15321366749,3194782826,,,0.665580754,7.975514,0.26868,0.208518135381657
1000,16,,5747,72,18589,0,651529,42094854,12425252404,3307551410,,,0.573170122,6.630054,0.207598,0.2661959131659343
1000,16,,6959,78,19319,0,649860,38989931,13111487868,3336444420,,,0.590096746,6.875729,0.260834,0.25446726211316967
1000,16,,6959,71,18912,0,637080,38373745,13875075949,3273178937,,,0.606403081,7.12094,0.262355,0.2359034969632655
1000,16,,6982,78,18545,0,691371,43575353,14181624275,3245002091,,,0.627492581,7.392595,0.237492,0.22881737860735984
1000,32,,10635,1057,20793,0,941106,47060372,26356431295,3989225787,,,0.662770115,13.073573,0.358549,0.15135682605697776
1000,32,,7618,880,20996,0,851236,38869737,24533403854,3902220082,,,0.627105156,12.286001,0.259168,0.15905742656919455
1000,32,,8185,1101,17804,0,796724,36162861,22074683786,3617885723,,,0.589341167,10.969729,0.321549,0.1638929806684027
1000,32,,9398,1124,17016,0,843273,37248999,21502468429,3555601474,,,0.588313659,10.658134,0.303548,0.1653578279042895
1000,32,,8525,1118,19964,0,821970,40460425,23084196687,3755155799,,,0.601722509,11.487734,0.32242,0.16267214536058505
2000,1,,57358,24,25387,0,590143,2690706,8401523850,6431567130,,,3.189359045,4.785252,1.33838,0.7655238793376752
2000,1,,74342,19,24674,0,618397,2733000,8323459441,6299249720,,,3.089333881,4.24242,1.021949,0.7568066817230977
2000,1,,69688,24,25581,0,607156,3010320,8476974568,6452429331,,,3.198154347,4.615835,1.305715,0.7611712503370578
2000,1,,60617,23,26246,0,607614,2853239,8607734300,6565266695,,,3.241549485,4.933806,1.370045,0.7627171641438794
2000,1,,63247,20,25532,0,590046,2678912,8371435327,6422947627,,,3.179807591,4.745176,1.335762,0.7672456844149971
2000,2,,27478,24,21918,0,557170,18716761,8309556585,5912931143,,,1.816656225,4.597309,0.697487,0.7115820299814469
2000,2,,27659,35,23237,0,672527,16508883,8317820046,6032569672,,,1.794160261,4.630372,0.72972,0.7252584978561821
2000,2,,27709,31,22975,0,546646,18990457,8589642295,6050188072,,,1.866657255,4.837542,0.774329,0.704358559322289
2000,2,,37913,24,23192,0,579557,21300293,8517222388,6078140358,,,1.801776121,4.616526,0.645082,0.7136294065261878
2000,2,,28066,25,21956,0,551991,19225124,8265927851,5935772589,,,1.808850539,4.631535,0.734796,0.7181011854926727
2000,4,,17292,35,20832,0,523815,20771718,9245752890,6253500648,,,1.134465355,5.02902,0.461664,0.6763646749377918
2000,4,,21138,45,22013,0,607349,19602485,9100581866,6432725218,,,1.08871462,5.019218,0.38205,0.7068476843258584
2000,4,,20855,37,21325,0,566644,28236139,9626186410,6333542779,,,1.170161315,5.26824,0.403623,0.6579493175428752
2000,4,,16366,26,20175,0,525172,20529059,9050255917,6018127909,,,1.124919714,4.920331,0.445187,0.6649677052441743
2000,4,,17870,30,21042,0,593169,19994959,9629037261,6342131228,,,1.166678461,5.249052,0.426472,0.6586464519861411
2000,8,,9837,48,20609,0,559881,29957328,12877835234,6347370876,,,0.935006124,7.104934,0.302806,0.49289113897355213
2000,8,,11057,53,21890,0,609850,27781726,12343353661,6502421228,,,0.882599826,6.745303,0.361319,0.5267953431930755
2000,8,,10812,44,20930,0,581229,28229188,12418682240,6445803952,,,0.888151462,6.773059,0.331252,0.5190408955982756
2000,8,,9506,56,21380,0,574881,31597024,12692725542,6498011994,,,0.914407758,6.9211,0.315102,0.5119477272630055
2000,8,,16174,38,20925,0,593123,32111274,12403364284,6324629693,,,0.888392823,6.668094,0.322018,0.5099124357057382
2000,16,,7500,67,22852,0,724287,37026985,18028450464,6789231831,,,0.74876591,9.37324,0.263921,0.3765843240137047
2000,16,,11909,75,22509,0,771757,45820228,18355759170,6804090923,,,0.754316633,9.510885,0.309378,0.37067880766927713
2000,16,,11769,70,21400,0,724585,36767230,16476432363,6452341307,,,0.700497295,8.469627,0.269592,0.3916103416592528
2000,16,,11444,64,21367,0,705412,36189758,16954897814,6402103281,,,0.711318608,8.669463,0.284228,0.37759609944175865
2000,16,,11883,104,21478,0,777031,36713725,16268020500,6443461579,,,0.678594341,8.467212,0.271352,0.39608147647711656
2000,32,,11183,1031,25050,0,963258,43364328,30931381347,7190757123,,,0.760891088,15.362924,0.378013,0.23247449062592296
2000,32,,10197,1009,24867,0,956525,44301033,27915878847,6978291479,,,0.684186194,13.889508,0.309124,0.24997570440989098
2000,32,,10521,1031,24705,0,954394,42432702,30179012674,7154935607,,,0.711496761,15.007466,0.337313,0.23708315723543077
2000,32,,10918,1043,22523,0,878668,42016767,28893868789,6710900448,,,0.706033311,14.333173,0.355087,0.2322603628128492
2000,32,,10573,993,23630,0,937929,44574781,29890412731,6988795799,,,0.713175874,14.835517,0.374775,0.2338139610816336
3000,1,,119832,39,34173,0,868893,3597988,15258421094,12215604734,,,6.190136616,8.305188,2.415679,0.8005811780095312
3000,1,,120162,40,31049,0,846809,3432157,15214076402,12152342247,,,6.182416495,8.460463,2.548283,0.7987564887870872
3000,1,,120100,18,34685,0,874561,3605779,15286096824,12211443609,,,6.210817891,8.363007,2.652793,0.7988594962860219
3000,1,,119175,44,34184,0,884533,3608391,15413842073,11908443980,,,6.247881412,8.413425,2.353089,0.772581159428102
3000,1,,120220,33,30354,0,840022,3413649,15485780137,11811393448,,,6.349657709,8.447111,2.538811,0.7627251157840715
3000,2,,60862,38,28562,0,687556,3883749,14661946534,11299090062,,,3.284259471,7.892952,1.23815,0.7706405173281885
3000,2,,60004,31,28388,0,736198,29148953,15281128947,11123063772,,,3.451321649,8.325586,1.37828,0.7278954199377845
3000,2,,59744,22,29606,0,711753,19475215,14724027448,11028051730,,,3.314378173,7.860643,1.367157,0.7489833721749797
3000,2,,60482,30,29766,0,759276,23055388,15399698444,11196784989,,,3.454454316,8.439695,1.302036,0.7270781976488941
3000,2,,59836,25,28698,0,726944,19979023,14850948479,11076739515,,,3.360478801,8.137024,1.353953,0.7458607462454722
3000,4,,31952,47,27285,0,704769,20168518,16089853582,11036231411,,,1.982415699,8.607908,0.764541,0.6859124823451734
3000,4,,31943,29,27075,0,681055,26601396,15467682096,10935007829,,,1.89950768,8.112168,0.696137,0.7069584027608011
3000,4,,30616,39,27015,0,672545,24458879,15688489986,10992544059,,,1.958953503,8.493566,0.783665,0.7006757226992184
3000,4,,30734,40,27571,0,800780,26780872,16049956031,11032325203,,,1.982433033,8.664538,0.743308,0.6873741698538862
3000,4,,30607,39,27278,0,1299073,23161779,15565591712,11187971561,,,1.929757423,8.374166,0.741452,0.7187630106200745
3000,8,,16350,38,27666,0,777120,34101905,18490455691,10966852425,,,1.312689717,9.786282,0.491918,0.5931088237234726
3000,8,,22973,41,28148,0,731720,30551494,18664503539,11240692401,,,1.278199752,9.817212,0.451101,0.6022497398611358
3000,8,,18106,26,26558,0,768830,30287924,18446822581,10945147302,,,1.287988356,9.917276,0.496114,0.5933350989819443
3000,8,,20963,52,27729,0,796447,26073487,18341702417,11086758510,,,1.259678132,9.506418,0.474015,0.6044563507760459
3000,8,,16433,38,27609,0,784730,29345886,19245510357,11060668200,,,1.344632788,10.238557,0.468673,0.5747142057979773
3000,16,,19876,87,25642,0,880329,48280479,22988362404,11119760585,,,0.904093178,11.744501,0.386186,0.48371260160163254
3000,16,,19872,66,25612,0,838161,40690048,26730878191,11562880736,,,1.010086312,13.553429,0.434917,0.4325664369640163
3000,16,,19222,63,25923,0,822981,45431246,22825209533,11121117129,,,0.893575644,11.667396,0.381004,0.48722957451590637
3000,16,,19245,58,24850,0,796591,36023697,23982673126,29132246408,,,0.938353752,12.205502,0.363205,1.214720571595385
3000,16,,19758,65,24960,0,826152,40847722,24568948431,11026120664,,,0.957845035,12.547919,0.424052,0.448782767197628
3000,32,,12531,1035,25546,0,981402,49301396,38743341894,11629090786,,,0.858932839,19.324884,0.31077,0.30015714229858276
3000,32,,11234,898,25452,0,971265,46678031,35198446531,11486568101,,,0.804755113,17.558189,0.33266,0.32633735954464754
3000,32,,12086,854,27293,0,1012721,45545703,36205410723,12026812183,,,0.8236716,18.031998,0.342094,0.33218273022821415
3000,32,,12588,1013,26785,0,1094598,51863110,34972418449,11873656121,,,0.799773163,17.37358,0.372298,0.33951487050617496
3000,32,,13223,1044,26685,0,1086528,44044771,37857643414,11610636727,,,0.847033596,18.828892,0.380078,0.3066920093263468
4000,1,,161149,44,39902,0,1077829,4218746,23881432662,19292133836,,,10.292875402,12.788616,3.419157,0.8078298362182238
4000,1,,160919,45,39518,0,1044660,4078014,24091371769,19319127450,,,10.300100202,13.192767,3.460061,0.8019106439949273
4000,1,,161156,45,37210,0,1037566,4240429,23937868698,19274976420,,,10.289630715,12.919445,3.386889,0.8052085448029221
4000,1,,161311,62,39059,0,1077599,4133810,23559073689,19146684564,,,10.187760066,12.608024,3.366249,0.812709566460578
4000,1,,161322,54,37539,0,1119131,25830111,24238833609,19248692955,,,10.487345292,13.067325,3.631522,0.7941262053077036
4000,2,,80988,37,33713,0,858178,24082238,23935233913,17756303273,,,5.540209101,12.967864,1.87164,0.7418479108054998
4000,2,,80998,41,33945,0,904281,23248576,23855583752,17873744966,,,5.540224471,12.852792,1.80698,0.749247855420914
4000,2,,80686,34,36715,0,905523,27890452,23130943990,18243109335,,,5.377841976,12.349142,1.828601,0.7886884920428187
4000,2,,81139,39,32345,0,833106,14163618,23749504680,18004311600,,,5.522066534,12.683207,1.814362,0.7580920883441347
4000,2,,80783,48,33041,0,846349,23255212,22953420901,18214654509,,,5.323964669,12.358324,1.78421,0.7935485776852744
4000,4,,41631,28,32626,0,854748,22984173,24034198830,17613414858,,,3.023335892,12.916619,1.013048,0.7328480130577334
4000,4,,41525,19,32267,0,835469,27045303,23923314641,17503756136,,,3.000694575,12.758171,1.067891,0.7316609925784239
4000,4,,42395,30,33825,0,840116,22297157,24910274234,17750985311,,,3.078691655,13.417259,0.998521,0.7125969447085293
4000,4,,41449,32,32546,0,878622,20010976,22850795274,17938623119,,,2.863207179,12.166143,1.002155,0.7850327703653646
4000,4,,41406,30,32172,0,813780,27154699,24616332617,17536597531,,,3.057713943,13.096249,1.000948,0.7123968384668825
4000,8,,31236,58,31326,0,1493349,22461893,25245691553,17569566546,,,1.709734229,13.157529,0.605383,0.6959431675347459
4000,8,,23849,46,31693,0,1072718,29164372,27307164851,17718409933,,,1.834383903,14.4362,0.640137,0.6488557134978861
4000,8,,28388,51,31339,0,970994,32975026,26957057189,17649679077,,,1.82413361,14.15206,0.584005,0.6547331540403477
4000,8,,30782,41,31742,0,1018797,32170411,27661475038,17839998325,,,1.83846677,14.455797,0.615631,0.6449402391048298
4000,8,,25874,59,31199,0,962423,25668254,26498512742,17555564628,,,1.815639794,13.854163,0.650623,0.6625113189909154
4000,16,,28487,71,30021,0,1331070,39353331,31943460312,18186087649,,,1.185215555,16.180588,0.486476,0.5693211527922085
4000,16,,27203,76,28591,0,894923,38682246,30124023058,17601746656,,,1.146824216,15.381515,0.488253,0.5843092943498968
4000,16,,26902,56,29191,0,978508,39484890,31542366427,18102185365,,,1.163346865,15.95071,0.431722,0.5739006744118185
4000,16,,29404,88,29270,0,931256,33211507,31186314429,18160583309,,,1.167507413,15.797791,0.500164,0.5823254091260159
4000,16,,29159,80,29893,0,990815,38408560,31128347940,17732346588,,,1.144123009,15.730137,0.501406,0.5696526722901954
4000,32,,17049,968,28243,0,1101107,42869633,46424370119,18171544998,,,0.984633008,23.120273,0.385837,0.39142254275977717
4000,32,,17741,867,28895,0,1046375,43513056,43113039367,18084830909,,,0.940143601,21.440105,0.422877,0.4194747383744572
4000,32,,17410,1016,28805,0,1145878,44856035,43938214843,18049110850,,,0.948198489,21.891571,0.388418,0.4107838908452032
4000,32,,16618,975,28648,0,1150687,42066193,44731244879,17927937554,,,0.958404079,22.233617,0.419277,0.40079227847326554
4000,32,,17806,1032,29615,0,1104145,48910308,43927853823,18092194327,,,0.947828093,21.85137,0.397115,0.4118615582700556
5000,1,,201598,42,40087,0,1293526,28669325,36189302815,27493224506,,,16.20488755,18.941586,4.429556,0.7597058348027753
5000,1,,201419,32,39356,0,1255785,4316536,35637957291,27485175334,,,15.982461385,18.847797,4.116162,0.77123318571744
5000,1,,201534,54,40228,0,1289671,5171627,35825769325,27650781733,,,15.998156289,19.017065,4.195437,0.7718126436353925
5000,1,,201284,93,38800,0,1237885,4723899,35776004205,27506869474,,,15.966755131,18.995538,4.144928,0.7688636583443738
5000,1,,201369,52,39490,0,1250196,4372357,35725916141,27564032454,,,15.970087456,18.786804,4.233401,0.7715416546691939
5000,2,,102121,44,39711,0,1083788,33521583,34102280525,27371062591,,,7.984964675,17.970286,2.293971,0.8026167801574027
5000,2,,101579,49,43429,0,1041749,19285022,33790589725,27235017327,,,7.959724149,17.69081,2.378409,0.8059941406364431
5000,2,,102186,33,40482,0,1020091,25358804,34001650317,27355952686,,,7.970227084,17.866199,2.29589,0.8045477919735763
5000,2,,102157,41,40387,0,1036085,17212153,33837967387,27422795611,,,7.963383985,17.75571,2.39371,0.8104149784580558
5000,2,,101400,43,40407,0,1064793,25934074,34735625936,26451055578,,,8.18384135,18.239009,2.261714,0.7614964424920907
5000,4,,55994,45,37465,0,974956,26859887,34607355315,26893126929,,,4.279309965,17.989593,1.270067,0.7770928082835503
5000,4,,52080,27,36540,0,930542,24804914,33559445385,26682923274,,,4.189989181,17.524112,1.205704,0.7950942862102964
5000,4,,52617,32,36979,0,903997,23195173,34027241455,26735549129,,,4.224392863,17.702152,1.245068,0.7857101541527237
5000,4,,57999,44,39114,0,993450,26612608,34135595534,26853317085,,,4.217040242,17.694949,1.236971,0.7866661373537003
5000,4,,53700,24,37712,0,953179,21069758,35072138084,26020034386,,,4.367838751,18.338517,1.157392,0.7419004317239047
5000,8,,34206,43,37799,0,1056772,26214580,36547314060,25998496627,,,2.432873784,18.945008,0.846827,0.7113654531306479
5000,8,,34657,48,37418,0,981388,24408854,37376154660,25997648743,,,2.475115046,19.254235,0.831898,0.6955677752163925
5000,8,,31089,53,36866,0,1063431,24942437,36794208299,26033053488,,,2.49343124,19.137422,0.86641,0.707531285262293
5000,8,,37819,51,38512,0,1269408,34324739,38492271276,26060886634,,,2.555839109,19.901462,0.847831,0.6770420598757707
5000,8,,32448,36,38779,0,1111544,35298015,37202030845,26943937750,,,2.471273051,19.411406,0.823045,0.7242598626472915
5000,16,,38660,63,36572,0,1202567,37773259,42389296284,26861556315,,,1.521578861,21.27659,0.650463,0.6336872434737492
5000,16,,40827,73,36977,0,1120603,29749240,42590397161,27011882689,,,1.522530217,21.601912,0.602081,0.6342247194101013
5000,16,,38310,70,36539,0,1123221,46566016,43013970889,26904843067,,,1.54725779,21.677523,0.661303,0.6254908001037495
5000,16,,39390,77,36629,0,1203270,42300774,42588156052,26851753848,,,1.529585159,21.444876,0.644309,0.6304981557598807
5000,16,,39474,60,36935,0,1227851,36219576,44446684559,26197882431,,,1.588037957,22.367171,0.656914,0.5894226462768908
5000,32,,25522,939,33140,0,1221639,42150337,56846177088,26423705829,,,1.159186237,28.332813,0.419552,0.46482819395392444
5000,32,,24675,1100,31958,0,1239738,45833215,58629384034,26372596782,,,1.197647468,29.1958,0.447068,0.44981875925399734
5000,32,,23585,1162,32780,0,1330153,45896941,56823139195,26410528272,,,1.160947582,28.244304,0.493921,0.46478474519626545
5000,32,,24583,870,32750,0,1214475,46373148,54825838914,26518569534,,,1.127950661,27.297018,0.458091,0.4836874375164075
5000,32,,24570,769,33242,0,1185113,43958770,50991315596,27116754472,,,1.068184962,25.33193,0.495882,0.5317916228489536
6000,1,,241896,60,45048,0,1478937,4457847,47872901274,39205523396,,,21.81443093,25.117963,4.906707,0.818950227637294
6000,1,,241486,39,46504,0,1492759,36365045,48544673108,39267931212,,,22.101013067,25.336759,5.251708,0.8089029897191495
6000,1,,241429,83,46961,0,1516927,7476117,48278881123,39562543034,,,21.890639446,25.36463,4.980487,0.8194585730602703
6000,1,,241447,74,43958,0,1590275,30704104,48403310901,39216900693,,,22.069320477,25.331232,5.180829,0.8102111190949499
6000,1,,241576,57,47617,0,1467449,5416712,47796091442,39146485190,,,21.836846362,25.02642,4.942316,0.8190310966641238
6000,2,,135865,49,47430,0,1624837,6663116,48271977450,37351963286,,,11.462855226,25.055888,2.978806,0.773781503454858
6000,2,,130897,74,46826,0,1222497,17776711,46893298442,38211018945,,,11.129838179,24.468011,2.888289,0.8148503136809905
6000,2,,124074,42,48220,0,1223520,28388611,48910342260,37631302714,,,11.455949527,25.356855,2.768114,0.7693935673963939
6000,2,,123125,47,47752,0,1147239,27495061,46697549287,37974047761,,,11.115106797,24.231635,2.749703,0.8131914488191673
6000,2,,126214,46,44719,0,1144029,20108798,48067465376,37115002428,,,11.416919126,24.972343,2.841195,0.7721439467979823
6000,4,,65929,32,39986,0,1034748,20515606,46526683507,37313865787,,,5.76018803,23.934114,1.563368,0.8019885144271262
6000,4,,65644,37,40174,0,1030107,26962380,46988201804,37570151695,,,5.805505781,24.441999,1.530397,0.7995656410031367
6000,4,,65004,49,43747,0,1165506,16143119,48231631561,36533370549,,,6.009132867,25.058698,1.571267,0.7574566600094202
6000,4,,64195,47,41825,0,1115855,29438551,48134760208,36534290548,,,5.950660517,25.040293,1.491753,0.7590001568539652
6000,4,,66822,43,42197,0,1105806,23925050,48123423767,36302208320,,,5.977907511,24.908167,1.503756,0.7543563088063937
6000,8,,40138,210,42329,0,1289317,29442987,48740180125,36144842108,,,3.22142391,25.125891,0.990622,0.7415820379674889
6000,8,,40250,122,45572,0,1270891,31495324,49513517366,37602191561,,,3.246212986,25.551921,1.085949,0.7594328490752854
6000,8,,41500,211,42802,0,1245465,33942605,50594665848,36214407571,,,3.34723558,26.205512,1.067914,0.715775209975649
6000,8,,42630,252,46159,0,1271061,30068668,49697518314,37438923057,,,3.285092037,25.616956,1.10915,0.7533358672047271
6000,8,,43224,118,42978,0,1224927,25303377,50239424241,36174431114,,,3.332574335,25.87358,1.087386,0.7200407182309692
6000,16,,48853,199,44318,0,1488349,25760138,54425100546,37718490086,,,1.908823855,27.33487,0.824776,0.6930348259829193
6000,16,,42421,201,41921,0,1300103,30562656,51977326668,37390115724,,,1.861412852,26.194461,0.788482,0.7193543439204876
6000,16,,50522,168,42729,0,1364391,34074490,54676117883,37443440694,,,1.915325128,27.378258,0.790356,0.6848225906258423
6000,16,,49533,220,42529,0,1388930,34669162,53863041527,37499848356,,,1.893304777,27.012914,0.784304,0.6962074047972653
6000,16,,49327,181,44663,0,1398620,30014807,51910991262,37569584630,,,1.804040243,25.960723,0.771734,0.7237308268759987
6000,32,,31778,1085,44110,0,1601524,51664495,70843876263,37853425787,,,1.390049567,35.159577,0.584258,0.5343217760484106
6000,32,,32935,1360,47603,0,1710252,50462906,72653755287,37883592261,,,1.433531267,36.063174,0.549353,0.521426485270453
6000,32,,29718,1042,46828,0,1770205,48880645,71004143688,37418643195,,,1.422398678,35.381354,0.523715,0.5269923873657518
6000,32,,31057,1084,43586,0,1655162,46952626,68696745709,38470077627,,,1.358119538,34.133141,0.541954,0.5599985447630893
6000,32,,32389,1172,43926,0,1633201,47941707,69449478630,37824110616,,,1.39879387,34.493828,0.558969,0.5446277115701941
7000,1,,282407,282,56421,0,1805034,34439181,64217251363,52316627185,,,29.592210042,33.570387,6.049602,0.8146818195202796
7000,1,,282373,223,52675,0,1771512,40651122,64251154941,52154624157,,,29.635302706,33.430471,6.064833,0.8117305316128886
7000,1,,282441,242,52711,0,1711774,41356314,64486053897,52173933330,,,29.620942108,33.75787,6.050196,0.8090731278631893
7000,1,,282440,250,52641,0,1763423,40385762,64171748796,52144810394,,,29.597902831,33.283434,6.006679,0.8125820376154426
7000,1,,282545,260,54477,0,1790925,7616689,63356602878,52059506228,,,29.272811583,32.916811,5.884387,0.821690303191385
7000,2,,151477,185,49240,0,1391548,23537622,65362227357,50427112468,,,15.65602721,33.747335,3.331495,0.7715023570505586
7000,2,,164252,190,52087,0,1462163,25476205,64124237317,49446734434,,,15.336888159,32.976523,3.74088,0.7711083437851846
7000,2,,150263,164,51664,0,1431429,24252084,62208382922,51010753436,,,14.83891067,32.120873,3.301815,0.8199980619968831
7000,2,,151352,212,51452,0,1366011,24744354,62110204617,51019064928,,,14.805568793,31.991656,3.371535,0.8214280606964177
7000,2,,149455,196,53155,0,1346779,32634818,62212342230,50805368954,,,14.865923569,32.16193,3.228857,0.8166445295721508
7000,4,,78748,262,57474,0,1427903,27974782,62324039177,50769872049,,,7.650392471,31.951513,1.902019,0.8146113878276372
7000,4,,79954,145,54343,0,1356557,34737743,63757517411,48649912389,,,7.956717315,32.838868,1.918363,0.7630459021073254
7000,4,,77066,199,52614,0,1419238,28492950,64055093899,48896199437,,,7.914001359,32.763058,1.925049,0.7633459957782271
7000,4,,76919,176,53020,0,1324859,29296442,59624721274,50371602382,,,7.355763442,30.647014,1.830423,0.844810697739313
7000,4,,83546,191,50076,0,1279793,33808809,63959916636,48690495052,,,7.924776458,32.780201,1.83833,0.7612657678886722
