input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
1000,1,,694,8,7739,0,115992,1001889,1084058165,1268505710,,,0.420573826,0.653904,0.07827,1.1701454321872111
1000,1,,639,9,7671,0,112387,892975,1053779645,1248040199,,,0.42039768,0.6066,0.076327,1.1843464664759207
1000,1,,639,14,7890,0,116177,951790,1141081005,1273713320,,,0.443658606,0.667042,0.070426,1.116233917152972
1000,1,,622,14,7728,0,115474,876460,1063242666,1250124045,,,0.424417412,0.640552,0.068737,1.1757655001779246
1000,1,,642,7,7764,0,113076,888744,1057870008,1246916052,,,0.435834397,0.64256,0.073834,1.1787044179061366
1000,2,,788,25,9315,0,161050,3024220,1700365177,1502469071,,,0.400900515,1.049512,0.093777,0.8836155264311203
1000,2,,724,11,8846,0,144905,1093736,1665366175,1467950259,,,0.385477255,0.980546,0.09177,0.8814579526331499
1000,2,,838,14,8986,0,157188,2321011,1650525481,1440151215,,,0.393193123,0.988437,0.089322,0.8725410371292535
1000,2,,737,15,8988,0,158433,2951099,1686048233,1478305492,,,0.414478228,1.050955,0.097878,0.8767871897529518
1000,2,,747,15,8472,0,145313,1047523,1571210021,1385695851,,,0.395883021,0.935472,0.07762,0.881929107171854
1000,4,,1148,14,8953,0,230195,14265073,2425901223,1476099374,,,0.397032803,1.423264,0.092602,0.608474640271864
1000,4,,1312,23,9369,0,227483,15799162,2548512618,1508943787,,,0.389195951,1.408749,0.093452,0.5920880188477058
1000,4,,1253,28,9366,0,217411,16679706,2593223305,1515289489,,,0.406175331,1.583013,0.073651,0.5843266509592008
1000,4,,1306,17,9482,0,224484,15907544,2594855431,1507239513,,,0.419514258,1.539446,0.100377,0.5808568350257352
1000,4,,1218,16,9277,0,194977,17253034,2593459816,1479023222,,,0.40962807,1.539786,0.082202,0.5702896234888106
1000,8,,1952,18,9483,0,247705,28433673,4236326228,1543082071,,,0.426980597,2.44368,0.101488,0.3642500572314281
1000,8,,1830,23,9625,0,263931,27524833,3885917862,1592208613,,,0.42299114,2.288063,0.096212,0.4097381029511838
1000,8,,1883,18,9331,0,396747,29627729,4482268383,1601674638,,,0.431316934,2.544116,0.091616,0.35733572850628653
1000,8,,1979,27,9555,0,228399,21576418,3414000153,1528743326,,,0.359041134,1.891455,0.094016,0.4477865429082188
1000,8,,1928,29,9448,0,275079,28761956,4501230772,1526470913,,,0.413699736,2.4791,0.081232,0.33912300664419254
1000,16,,2865,41,9347,0,298521,27354839,5682833971,1586215976,,,0.367719435,3.056742,0.111905,0.27912411027571793
1000,16,,2856,41,9206,0,922679,36451588,7185670368,1575915616,,,0.392174855,3.803695,0.122049,0.2193136527689938
1000,16,,2353,34,8913,0,276225,24321670,5254737799,1486170160,,,0.341092895,2.827192,0.113087,0.28282479865747534
1000,16,,2863,33,9484,0,296279,24687053,5179177748,1524098557,,,0.356764777,2.85345,0.136349,0.29427423254367907
1000,16,,2621,35,10187,0,292869,36253393,6341721646,1597656475,,,0.371198055,3.359796,0.108186,0.25192787766200864
1000,32,,3456,593,11204,0,372765,26860492,9771995746,1727121913,,,0.352588474,4.921166,0.145178,0.17674198371473585
1000,32,,3326,600,11337,0,380151,24675138,9418438984,1706964840,,,0.346576663,4.784458,0.148818,0.18123649183264698
