input,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
1000,,478,4,6319,0,86807,745570,1252790167,1206187797,,,0.530270157,0.713103,0.057329,0.9628011368323584
1000,,462,12,6289,0,85943,714197,1248508896,1204830614,,,0.527744025,0.703435,0.061387,0.9650156421472547
1000,,482,10,6367,0,86780,734223,1257147568,1209340206,,,0.530572696,0.736682,0.049584,0.9619715590938486
1000,,488,3,6369,0,85277,751587,1255829713,1210797973,,,0.538096921,0.730842,0.067985,0.9641418422148768
1000,,496,3,6354,0,84092,747143,1252050957,1208709990,,,0.533774785,0.723282,0.065296,0.9653840231041012
2000,,516,8,6797,0,93539,754859,2844378887,3292613538,,,1.328638214,1.51336,0.069924,1.1575861264645928
2000,,504,11,6760,0,93686,741035,2849485598,3294909048,,,1.335658525,1.540808,0.064991,1.156317143807512
2000,,515,6,6726,0,91828,732337,2847437192,3293206971,,,1.332044802,1.528561,0.063939,1.1565512244668328
2000,,494,3,6778,0,90326,726524,2845867392,3292395576,,,1.325677858,1.527471,0.057979,1.1569040726406412
2000,,555,6,6754,0,93291,740731,2849688121,3294236127,,,1.331984857,1.525478,0.064104,1.1559988276345137
3000,,543,4,7480,0,97960,747877,5484423316,6775666199,,,2.654409272,2.840133,0.074871,1.2354382236019215
3000,,569,4,7557,0,99360,755834,5485525874,6774864797,,,2.652601224,2.836048,0.059979,1.2350438139597772
3000,,571,11,7560,0,99372,758207,5481452515,6775318214,,,2.651347212,2.847486,0.065171,1.2360443140680932
3000,,551,5,7592,0,100909,743297,5437820938,6742753806,,,2.629680026,2.779853,0.069021,1.2399734899104542
3000,,548,9,7536,0,99191,766231,5482434383,6775649363,,,2.649793831,2.848535,0.059094,1.2358833484646925
4000,,562,8,7668,0,104020,782979,9168184509,11644162925,,,4.497010256,4.701348,0.063991,1.2700620186656848
4000,,602,5,7747,0,103205,773558,9168178827,11645617585,,,4.497921187,4.688854,0.077964,1.27022146979769
4000,,593,6,7657,0,104100,777321,9164935853,11645573706,,,4.496721443,4.675325,0.085877,1.2706661446176954
4000,,722,12,7759,0,108642,885230,9145394992,11628678371,,,4.486804944,4.690079,0.060988,1.2715337479870765
4000,,621,11,7692,0,100241,795072,9168215445,11644518941,,,4.498090626,4.691359,0.066005,1.270096564686477
5000,,814,5,7908,0,123531,885788,13917937391,17907306180,,,6.878760068,7.096308,0.071083,1.286635057834052
5000,,786,7,7889,0,119774,888377,13914198870,17912250410,,,6.873849087,7.088157,0.071051,1.287336092961851
5000,,667,14,7832,0,114994,822607,13908620873,17907481701,,,6.871636504,7.0697,0.067939,1.2875095140282928
5000,,633,11,7747,0,115657,815542,13913672241,17907750319,,,6.879197598,7.074877,0.070087,1.2870613888855655
5000,,681,7,7996,0,114997,807978,13863785615,17875616795,,,6.853507606,6.990676,0.078917,1.2893748714391096
6000,,742,7,8315,0,115343,869706,19703045091,25562213552,,,9.778734903,9.982996,0.076015,1.2973737528356144
6000,,728,11,8285,0,117412,846546,19705421467,25561935709,,,9.778645454,9.979958,0.07107,1.2972031961766313
6000,,764,11,8262,0,116355,862856,19712718004,25561007182,,,9.779851779,9.984095,0.075053,1.2966759417353455
6000,,859,8,8305,0,119332,905210,19704379797,25560952036,,,9.779910584,9.992743,0.073968,1.2972218511486298
6000,,749,10,8225,0,119925,923129,19698964481,25560975157,,,9.777091274,9.972856,0.073042,1.297579635805426
7000,,884,4,8484,0,123345,910271,26554775781,34600623110,,,13.203973833,13.416781,0.068024,1.3029905955657446
7000,,841,5,8587,0,120995,887730,26475696712,34555978653,,,13.167249987,13.331283,0.075995,1.3051961966816776
7000,,836,10,8574,0,119551,871222,26535301352,34600614186,,,13.197382642,13.400876,0.069004,1.3039465324704935
7000,,839,8,8427,0,122406,890160,26557225207,34600346325,,,13.210201462,13.42653,0.061043,1.3028599959260796
7000,,864,5,8630,0,118618,985513,26541445383,34602605975,,,13.201849157,13.411267,0.070037,1.303719728736523
8000,,1046,7,8808,0,133651,1123513,34442111109,45031816954,,,17.157146692,17.374735,0.073032,1.3074639011379539
8000,,931,10,8680,0,125798,1051592,34429522808,45031063503,,,17.153843763,17.351851,0.080994,1.3079200590179727
8000,,942,7,8779,0,124678,1032334,34389976948,44996794202,,,17.132975244,17.314247,0.072042,1.3084275767337161
8000,,955,8,9044,0,125881,928120,34434295399,45034945799,,,17.156024541,17.353439,0.084036,1.3078515264264083
8000,,916,13,8681,0,123055,1024352,34433289970,45028724858,,,17.155215114,17.353572,0.074993,1.3077090483433698
9000,,1076,12,8811,0,131211,1149910,43375535565,56859824922,,,21.636662785,21.85311,0.070006,1.310873149607415
9000,,1060,6,8727,0,129325,1059015,43378831472,56857041336,,,21.63865986,21.847172,0.075017,1.3107093807425372
9000,,1092,9,8788,0,129823,1080260,43375826061,56855401504,,,21.634196567,21.831052,0.077985,1.3107623915690618
9000,,1186,12,8822,0,137048,1193191,43382778320,56858090366,,,21.641560517,21.875236,0.071994,1.3106143167365496
9000,,1056,4,8698,0,130803,1098815,43374627630,56857874167,,,21.636020608,21.844257,0.080011,1.3108556147620811
10000,,1223,4,8847,0,138095,1197763,53370815079,70067811940,,,26.645277538,26.846733,0.079996,1.3128488263910705
10000,,1211,8,8873,0,137546,1151221,53386448913,70071522993,,,26.651749042,26.847803,0.101991,1.3125338811575658
10000,,1214,4,8984,0,135828,1206821,53371067040,70068784499,,,26.645647719,26.837108,0.096996,1.312860851114061
10000,,1210,8,8827,0,138508,1150059,53380942858,70067998670,,,26.653924382,26.861421,0.08502,1.3126032422542566
10000,,1212,7,8748,0,134578,1259676,53381168658,70067403207,,,26.652743937,26.85384,0.092975,1.3125865350739059
