input,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
1000,1553.73,941,15,11033,2647255896,4056621356,555981466,18894680,1.015434755,1.462777,0.093432,1.532387315532869
1000,2053.27,944,11,11569,3599050954,4291076391,582265514,34406837,1.543563112,1.951311,0.104283,1.1922799776510193
1000,1519.42,909,9,10959,2605689822,4011003088,546528971,18288904,1.019111742,1.431347,0.090274,1.539324847545112
1000,1539.25,931,10,10884,2612554075,4018091334,547918453,18473950,1.019129895,1.432456,0.108579,1.5379935567458063
1000,1565.03,926,15,10891,2606032310,4012722930,546911229,18360254,1.017768124,1.458409,0.108806,1.539782494101157
2000,6128.13,1103,23,19358,11754630950,15034056619,1907740286,100529163,5.338485682,5.990394,0.139939,1.278990100408044
2000,3572.07,943,15,15769,6542163221,12877761026,1642092750,18320135,2.988323051,3.454756,0.118991,1.9684255178261318
2000,3842.07,1059,12,16611,7223702937,13477994706,1687882099,27742233,3.241318341,3.736265,0.107151,1.8658013519583356
2000,3619.8,1067,15,16096,6602646212,12925842035,1650670046,19330077,3.007051018,3.497448,0.124801,1.9576760014049954
2000,3596.35,1015,16,16152,6579767515,12895927108,1644657756,18859013,3.005720467,3.493522,0.105347,1.9599365902520038
3000,7376.17,1217,16,22738,14032426007,28612795922,3537242074,30158053,6.576318552,7.192462,0.185805,2.0390484088586436
3000,7479.4,1215,17,23420,14073034792,28318435939,3579735794,33344165,6.477149538,7.317788,0.163173,2.012247987555462
3000,11561.45,1309,15,21622,22407643787,30971949347,3816846215,189169482,10.872586534,11.406192,0.159016,1.3822046459417863
3000,7439.63,1086,12,23507,14241507722,28777491237,3575663558,32596232,6.591650784,7.301946,0.139845,2.0206772905473414
3000,11522.3,1223,19,21317,22372195309,30973876543,3817476391,189202337,10.865236653,11.375723,0.148983,1.384480875264828
4000,21105.37,1722,10,25257,41415917627,54530921812,6681000529,334314274,20.28221018,20.946973,0.164007,1.316665787852785
4000,11922.52,1364,8,27222,23243163764,49717639382,6077857933,33537022,11.165151645,11.771318,0.154161,2.1390220318889974
4000,11866.14,1378,24,24916,23106032767,49494244280,6034969329,28772400,11.18128453,11.702929,0.167084,2.142048562775675
4000,11712.9,1286,7,24197,22827496291,49369208591,6009873555,26658865,11.105610344,11.574599,0.141933,2.162707988719042
4000,11943.01,1419,11,25925,23109582200,49707155403,6077106011,31328649,11.083457688,11.780155,0.166115,2.150932672551735
5000,31799.52,1932,18,26521,62853717975,85105957440,10241405833,500018291,31.126905569,31.602922,0.204818,1.3540321906470323
5000,17231.7,1551,13,28144,33804895157,74959078914,9262099659,24881082,16.593386969,17.072053,0.164971,2.217403088099156
5000,17754.84,1596,10,28985,34648525007,75167364089,9305870945,27771104,16.914824543,17.548364,0.212028,2.169424645747951
5000,17240.5,1585,15,27405,33806348134,74940594044,9258427847,24809753,16.61183942,17.053639,0.192142,2.2167609984655554
5000,17395.77,1541,12,28978,33951087032,75155224267,9302215876,26786978,16.579407434,17.244297,0.156111,2.213632341025304
6000,24757.66,1629,12,31467,48650972459,114346164106,13256390899,23274826,23.978129988,24.538865,0.22487,2.350336659814227
6000,24933.05,1742,18,32669,49035158997,110409504556,13283368440,27986975,24.1030052,24.740824,0.197022,2.251639574835577
6000,24863.58,1751,10,32874,48801682895,107558174448,13270562885,25353846,24.020608372,24.649407,0.220994,2.2039849461629926
6000,24850.76,1563,14,31074,48919303649,110376784732,13277779183,26823992,24.040731709,24.66201,0.195095,2.2563032688274234
6000,45250.62,2185,11,29281,89774123999,126683530589,14613283079,707717544,44.653427843,45.047783,0.210975,1.411136360299223
