input,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
1000,766.79,516,3,6360,1253336731,1208812754,105697001,13063905,0.528800207,0.707039,0.061263,0.9644756465690784
1000,772.43,502,5,6365,1253266828,1206504463,105330276,12998140,0.534101328,0.713753,0.060063,0.9626876224956622
1000,768.55,513,11,6366,1253265097,1207721362,105514802,13022681,0.530009275,0.709803,0.061121,0.9636599350695872
1000,780.44,458,7,6296,1249025457,1207265590,105429010,13044678,0.5316267,0.718771,0.062805,0.9665660401347609
1000,784.35,628,6,6458,1252764536,1208801543,105730353,12958087,0.533636697,0.71381,0.072386,0.9649072178077684
2000,1602.54,488,10,6747,2852079512,3294911862,137210046,13147257,1.332812498,1.55,0.054069,1.1552664812242444
2000,1588.85,499,13,6897,2852100385,3294455878,137109978,13023254,1.329977902,1.527925,0.062709,1.1550981498850714
2000,1592.13,498,11,6759,2847168616,3294033531,137032813,13114348,1.32763771,1.531778,0.06191,1.1569506324594863
2000,1590.18,528,10,6757,2845515801,3294280628,137068298,13091572,1.330354788,1.517215,0.075119,1.157709483406239
2000,1578.39,518,16,6748,2843069062,3292599915,136747839,13007375,1.326749737,1.512435,0.067063,1.158114644138743
3000,2837.7,512,7,7500,5433065796,6740656962,183208071,11944961,2.625172787,2.769355,0.070008,1.2406728015262931
3000,2924.05,534,7,7562,5486040774,6776509580,189691788,13272728,2.651849984,2.858099,0.066908,1.2352277095926667
3000,2908.87,550,8,7530,5489019666,6775644114,189418331,13142254,2.651134911,2.836082,0.074791,1.2343996790482623
3000,2909.53,558,8,7473,5480801686,6775150628,189357835,13142207,2.64739681,2.850936,0.059998,1.236160513763205
3000,2919.35,554,7,7530,5488314271,6777244276,189711457,13228187,2.653160573,2.862843,0.058057,1.2348498903954255
4000,4700.9,581,10,7610,9129243555,11612731671,256267635,12233898,4.47409947,4.632767,0.069951,1.27203657138053
4000,4770.25,734,9,7715,9168020218,11646348795,262156368,13342508,4.495297206,4.712208,0.060117,1.2703232015276518
4000,4785.84,726,7,7795,9182302100,11647805507,262434651,13381459,4.506715729,4.709069,0.078867,1.2685060217088697
4000,4699.87,734,8,7757,9122508914,11611080434,255951362,12128944,4.472989062,4.631799,0.070087,1.272794638345694
4000,4761.7,581,5,7678,9169259144,11646764324,262231471,13397036,4.495341788,4.694608,0.068979,1.2701968764424312
5000,7162.0,668,8,7808,13914319642,17908898202,355260022,13945359,6.880458385,7.095898,0.068018,1.287084001429899
5000,7081.94,632,5,7970,13866600782,17876793009,349638637,12769807,6.852739466,7.015023,0.069029,1.2891979288972941
5000,7147.38,789,6,7849,13909344582,17908769550,355261871,13857857,6.870164732,7.074308,0.074971,1.287535113133629
5000,7158.03,667,7,7832,13913317567,17909170626,355348623,13905465,6.879940405,7.079996,0.079988,1.287196280812096
5000,7129.85,663,4,7853,13888013282,17891979016,352287475,13346622,6.864034526,7.057019,0.075,1.2883037085793594
6000,10038.44,730,6,8288,19703824787,25560411712,468995492,14108250,9.77194849,9.970347,0.07103,1.2972309685205892
6000,10006.56,749,8,8225,19675104134,25543534683,466004768,13539113,9.75610273,9.937261,0.072023,1.2982668101287926
6000,10053.97,762,8,8277,19702155963,25560318344,469020771,14149929,9.774881052,9.980287,0.075971,1.2973361083934893
6000,10033.17,864,9,8363,19679765957,25544581636,466276931,13601914,9.763173287,9.968343,0.068036,1.2980124708705651
6000,10047.07,721,3,8220,19700332445,25558937590,468734829,14158627,9.774610342,9.971524,0.07894,1.297386105607925
7000,13477.37,848,3,8612,26541787954,34600947118,602990499,14372794,13.200735903,13.388866,0.091889,1.3036404019942989
7000,13480.65,819,8,8527,26545955360,34601974162,603180045,14471946,13.20200159,13.410725,0.073042,1.303474434909168
7000,13468.66,859,6,8543,26535294652,34598819875,602598432,14328743,13.20041325,13.399982,0.072016,1.3038792419209952
7000,13414.84,809,6,8550,26482961204,34557134126,595185725,12945544,13.172014266,13.352066,0.066034,1.3048818015403985
7000,13486.3,832,4,8658,26545565120,34602458893,603270153,14464622,13.203190944,13.415062,0.075073,1.3035118573132114
8000,17437.72,947,5,8845,34439490616,45030507833,757269782,14664979,17.159389969,17.369857,0.072011,1.3075253735628596
8000,17428.47,960,6,8897,34434847503,45030062333,757207805,14613371,17.156403236,17.34389,0.089035,1.3076887397011685
8000,17429.91,974,4,8681,34443209003,45030469999,757327610,14642457,17.159084347,17.347185,0.087,1.3073831185438571
8000,17437.47,962,11,8931,34438327602,45031962976,757545108,14647706,17.158594831,17.358514,0.083045,1.3076117834881382
8000,17446.49,942,7,8826,34444292522,45031370067,757444851,14728045,17.160508161,17.371454,0.079024,1.3073681231291918
9000,21894.18,1041,8,8730,43355034104,56841349873,929715095,14760515,21.626033109,21.81061,0.088957,1.3110668933312113
9000,21916.51,1083,7,8837,43383700731,56856687477,932431863,15202512,21.64062161,21.831648,0.089998,1.3105541140793648
9000,21926.99,1062,15,8734,43386965676,56857337105,932522083,15270418,21.643570259,21.845526,0.085998,1.310470465475563
9000,21932.61,1058,4,8843,43401615469,56858661556,932745608,15297124,21.649605499,21.828531,0.109912,1.310058645089186
9000,21909.09,1100,10,8711,43403286961,56860329032,933097358,15378597,21.649486518,21.834905,0.078985,1.3100466119787613
10000,26907.44,1196,14,8830,53359064963,70051830872,1125097481,15015668,26.63997755,26.831687,0.080977,1.3128384262463186
10000,26940.82,1222,14,8800,53404144602,70067794652,1127844735,15504287,26.663610667,26.863607,0.082995,1.31202915380796
10000,26917.16,1202,9,8915,53377714754,70068720382,1128080147,15529950,26.646816839,26.836909,0.085993,1.3126961449159682
10000,26942.03,1379,8,8950,53368282900,70069174727,1128106555,15538199,26.64258351,26.868401,0.080033,1.3129366529984423
10000,26893.85,1246,4,8790,53346078830,70049997340,1124768049,14964803,26.630497142,26.813985,0.085974,1.3131236423811208
