input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
1000,1,710.5,655,8,7749,1069347418,1254013526,122660900,11236355,0.424502421,0.636057,0.076126,1.1726904698057634
1000,1,668.49,648,7,7708,1054337943,1248449236,121569133,10806568,0.410830072,0.604843,0.065015,1.1841072820045517
1000,1,716.96,659,12,7794,1132897261,1259539673,124611882,12908033,0.427308668,0.630077,0.090011,1.1117863166940785
1000,1,704.73,646,7,7762,1079118381,1259037612,123792678,11295873,0.414638026,0.642945,0.063488,1.1667279829236825
1000,1,713.09,639,7,7737,1123194951,1241777106,121279878,12736682,0.429849806,0.636042,0.078881,1.1055757550320398
1000,2,1093.37,933,17,8657,1603654416,1406036415,153342407,16908175,0.415754268,1.004516,0.090327,0.8767702074534742
1000,2,1134.31,830,16,8946,1689908987,1433963185,157591268,16231259,0.42230912,1.044369,0.091715,0.8485446234271077
1000,2,1100.3,717,10,8913,1694462803,1429096484,158229081,15891269,0.385878765,1.019198,0.082258,0.8433920658924019
1000,2,997.0,714,11,7972,1514822895,1326466495,137107292,15473559,0.392860574,0.921387,0.077527,0.8756578075089101
1000,2,1052.54,752,15,9228,1683557148,1480720989,167102397,17866830,0.383568507,0.960628,0.093768,0.8795192909008397
1000,4,1667.48,1289,23,9399,2628215723,1525271249,175309538,17934713,0.411332481,1.564813,0.103987,0.5803447698954353
1000,4,1577.72,1115,27,9248,2580562322,1520529950,174895974,17808721,0.403149359,1.474533,0.107292,0.5892242698566379
1000,4,1613.38,1164,21,9365,2564723816,1498341149,170823330,18132545,0.411091074,1.527564,0.087402,0.5842115005337479
1000,4,1358.55,1134,23,8537,2212278265,1402676273,152939859,16023498,0.356926632,1.280825,0.078975,0.6340415196367714
1000,4,1649.6,1287,28,9355,2542622337,1491504632,170498953,18046752,0.410410443,1.53633,0.114875,0.586600931760791
1000,8,2627.21,2001,26,9898,4428911554,1648758998,199062293,19796152,0.427361383,2.511047,0.117955,0.3722718274901906
1000,8,2561.84,1926,27,9409,4393839332,1544103147,179123744,17809652,0.419388433,2.467124,0.096356,0.3514245811753774
1000,8,2429.5,2003,19,9115,4131395098,1555492836,181498447,17535842,0.421454021,2.331178,0.100541,0.3765054658541399
1000,8,2608.84,1840,22,9471,4550282078,1533194480,176742109,17773771,0.428647865,2.506353,0.104722,0.336944930823693
1000,8,2635.92,1924,25,9441,4535890203,1558799427,181982293,18273617,0.42866079,2.547294,0.090548,0.34365898583017357
1000,16,3565.56,2622,26,9773,6668291015,1511640927,173604972,14930235,0.377403025,3.448262,0.119282,0.2266909053008689
1000,16,2857.0,2811,35,9043,5000598099,1492247128,170203988,12758977,0.339667943,2.717243,0.145477,0.2984137294093708
1000,16,4360.95,2525,43,10243,8053187515,1606560429,190115410,19037388,0.428889089,4.252074,0.111269,0.19949373164446924
1000,16,3347.57,2496,27,10426,5944176098,1545836462,180061017,14969396,0.357185228,3.222905,0.128319,0.26005899497495
1000,16,3925.01,2759,30,9136,7210771213,1551149433,180019295,15615600,0.39993265,3.798421,0.131325,0.21511560791216022
1000,32,5168.42,3765,596,11245,9593944545,1774760866,223310868,12751750,0.35967085,4.982635,0.176189,0.1849876093900228
