InputSize,Threads,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec
1000,1,2611.49,18175,13,14963,3672451143,2945718894,384934783,36161018,1.156079688,2.140009,0.50365
1000,1,2568.16,17835,11,14785,3631724229,2904271003,376489356,35685836,1.148074385,2.145218,0.456429
1000,1,2607.89,18402,20,14857,3718371424,2997191078,395125837,36846353,1.145068489,2.171806,0.468228
1000,1,2574.21,18124,15,14892,3675924718,2954021150,386842327,36071873,1.140383689,2.165484,0.440852
1000,1,2633.96,34728,18,15912,4070405958,3167515691,424869736,35951188,1.192734113,2.215008,0.453069
1000,2,2745.32,9858,28,15642,4188064369,2963959835,398492263,40129142,0.835116498,2.465024,0.297869
1000,2,2727.03,9940,29,15573,4142245775,3020980361,406028321,42373209,0.837939762,2.444885,0.301602
1000,2,2902.93,10062,21,16116,4292365605,3075595110,418396682,42311302,0.843556335,2.616182,0.304513
1000,2,2868.03,10095,26,16881,4318155695,3148147434,432854725,42471639,0.82758382,2.526958,0.358988
1000,2,2789.46,9748,24,15697,4243968603,2848265901,376272350,37275215,0.854129144,2.499797,0.307542
1000,4,2947.9,6359,42,16615,4685864689,2914642697,394404134,36110020,0.597755454,2.74774,0.209642
1000,4,3571.93,5927,32,17157,5811825182,3132120456,426215889,40809965,0.719861319,3.364625,0.217853
1000,4,3297.68,7960,26,15707,5365283948,3053644296,409251154,39588893,0.672243811,3.060808,0.24801
1000,4,3732.54,6147,31,16967,5982656673,3164877948,431640680,41684557,0.737175369,3.503484,0.239606
1000,4,3157.08,5602,23,16024,4940404030,2924572628,388888375,37385359,0.626699181,2.952832,0.21331
1000,8,5475.77,6975,40,16670,9543452953,3192444996,436562458,39568234,0.70700116,5.277888,0.208192
1000,8,5624.69,5308,36,18519,9942624980,3428759072,484763362,44949601,0.737777587,5.407861,0.224492
1000,8,5497.36,5485,37,17146,9462145092,3252254827,457034472,43397785,0.711598565,5.279877,0.224761
1000,8,5264.68,5519,67,14757,9091397535,2970530334,399972100,39131581,0.705719077,5.047009,0.228181
1000,8,5230.89,6005,48,17077,9089310796,3340356561,463859126,45181930,0.670019471,4.9908,0.24964
1000,16,8587.13,7657,58,18241,15998744344,3357211772,475527595,35853341,0.686050288,8.349943,0.246677
1000,16,6822.09,7080,62,17199,12613468226,3345312185,464328522,31610365,0.563965329,6.585054,0.244923
1000,16,7431.0,6664,58,18460,13734391169,3322206286,460853343,30904238,0.612258239,7.20067,0.239887
1000,16,7076.82,7059,55,17531,13172768142,3356799982,473187883,33548945,0.592291524,6.835601,0.247933
1000,16,8296.03,7402,75,17830,15243568277,3492940660,491365132,36371021,0.658067936,8.04681,0.258411
1000,32,12677.39,7755,890,20765,24863867885,3705638411,538666177,25741042,0.632787877,12.353037,0.313696
1000,32,11845.86,7974,1037,19566,23161310863,3648125974,529257686,25957744,0.598229341,11.492542,0.343329
1000,32,12662.41,8316,1129,18628,24767921750,3773320979,543233152,25876351,0.625865197,12.38673,0.259798
1000,32,11921.33,8156,1040,18816,23297963376,3676645298,524365546,26143237,0.607325066,11.603981,0.301739
